abandon	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船
scrutiny	n:: 详细检查， 细看； 监视	
chase	v:: 追捕； 追求； 雕镂	chase after::追逐；追赶¦cut to the chase::开门见山；提到关键问题；转入（或切入）正题¦jpmorgan chase::摩根大通公司¦chase the dragon::吸食海洛因，服用毒品¦chase down::找出¦chase off::五同花；赶走¦chase away::赶走；驱逐¦car chase::飞车追逐；汽车追赶¦in chase of::adj. 追求（追赶）¦wild goose chase::徒劳的搜索；劳而无功的事¦chase up::追上¦chase bank::大通银行¦jpmorgan chase bank::美国摩根大通银行
inalienable	adj:: 不可剥夺的， 不可分割的	
incompatible	adj:: 不兼容的， 不能和谐共存的， 不协调的， 合不来的	be incompatible with::与…不相容
dredge	v:: 挖掘； 疏浚； 挖出， 吸出； 重提旧事	dredge up::v. 疏浚；回忆起¦dredge pump::吸泥泵；挖泥泵；排泥泵；泥浆泵¦grab dredge::抓斗式挖泥船
summarise	v:: 总结， 概括	
routine	adj:: 例行的； 常规的¦n::例行公事；惯例	routine maintenance::日常维修；例行维护¦routine work::日常工作；常规作业¦daily routine::日常生活；日常工作¦service routine::服务程序¦routine analysis::常规分析；例行分析¦routine examination::常规检查¦routine operation::例行操作¦routine test::定期试验；常规试验；例行程序试验；定期测验¦routine inspection::例行检查；常规检查；日常检验¦routine check::例行检查；程序校验¦routine testing::常规测试；例行检查¦working routine::工作程序；操作程序¦complete routine::完整程序¦executive routine::[计]执行例行程序；管理程序¦routine practice::例行实作
and so forth	::等等	
finitude	n:: 有限； 限定， 界限	
dissertation	n:: 专题论文	doctoral dissertation::博士论文¦academic dissertation::学位论文；学术论文
currency	n:: 货币； 通用， 流行	foreign currency::n. 外币¦reserve currency::储备货币¦currency exchange::货币兑换；外汇兑换¦single currency::单一货币；统一货币¦local currency::n. 本国货币¦currency system::币制¦currency board::货币发行局；货币委员会¦paper currency::n. 纸币，钞票¦hard currency::硬通货；强势货币（等于hard money）¦currency crisis::货币危机¦domestic currency::本国货币¦currency appreciation::货币升值¦currency value::币值¦currency devaluation::[经]货币贬值¦currency depreciation::货币贬值¦currency risk::通货风险¦national currency::本国货币¦electronic currency::电子货币¦foreign currency exchange::外币兑换¦strong currency::强势货币；硬通货
tariff	n:: 关税， 税率； 价目表	import tariff::进口关税¦tariff barrier::关税壁垒¦tariff rate::关税税率；协定费率¦export tariff::出口关税¦tariff policy::[经]关税政策¦tariff system::关税制度；收捷制¦tariff quota::关税配额¦preferential tariff::优惠税率；特惠关税¦tariff level::关税水平；关税税率水平¦customs tariff::关税率；海关税则¦protective tariff::保护性关税；保护性税则¦tariff reform::关税改革¦tariff structure::关税结构；价格结构¦tariff concession::关税减让¦ad valorem tariff::从价税¦tariff act::关税法
enlist	v:: 征募； 从军， 参军； 谋取	enlist in::v. 应募，参军
binoculars	n:: 双筒望远镜	binocular vision::双眼视觉；双目镜观察
correspondence	n:: 通信， 信件； 符合， 一致； 对应	correspondence with::通信；符合¦by correspondence::用写信的办法¦correspondence analysis::对应分析，一致性分析¦in correspondence with::与……一致；和……保持通信联系¦correspondence address::通讯地址；通信地址¦business correspondence::商业通信；业务书信¦one-to-one correspondence::一一对应¦correspondence principle::n. 对应原理¦one to one correspondence::一一对应；精确套合¦correspondence course::函授课程；函授教育¦correspondence theory::对应理论¦correspondence school::函授学校¦correspondence theory of truth::真理符合论；对应的真理理论¦commercial correspondence::商业信函；商业通信
inhibit	v:: 抑制， 约束； 起抑制作用	
refresh	v:: 复原， 更新； 精神振作， 精力恢复	refresh oneself::可以提神；清醒头脑¦refresh rate::刷新率
intimate	adj::亲密的，密切的；私人的，个人的；小圈子内的¦n::至交，密友['ɪntɪm3ɪt]¦vt:: 暗示， 提示， 透露	intimate relationship::亲密的关系¦intimate friend::知交，知己¦intimate contact::亲密接触
notice board	::[管理] 布告牌；警告牌	
entrust	vt:: 委托， 交付， 托付	entrust with::委托；信托
disclose	vt:: 揭露； 透露； 公开	
declaration	n:: 宣布； 宣言， 声明	customs declaration::报关单；申报关税¦declaration of independence::独立宣言¦declaration form::n. 申报单¦tax declaration::申报纳税，纳税申报¦export declaration::出口申报单¦joint declaration::联合声明；联合公报¦customs declaration form::n. 报关单；通关申报表格¦import declaration::进口报单；进口声明书¦declaration of war::宣战¦custom declaration::海关申报表¦variable declaration::变数宣告；变量声明¦final declaration::最后声明；确定申告¦declaration of conformity::符合标准声明¦function declaration::功能说明；函数说明
religion	n:: 宗教； 宗教信仰	freedom of religion::宗教自由¦christian religion::基督教¦primitive religion::原始宗教¦organized religion::有组织的宗教；组织宗教¦philosophy of religion::宗教哲学；宗教哲学文化
diagram	n:: 图解， 图表	block diagram::框图；方块图¦phase diagram::[物理]（表示物质的各种相态平衡关系的）相图¦flow diagram::流程图；作业图¦circuit diagram::电路图；线路图¦schematic diagram::原理图，示意图¦ladder diagram::梯形图¦wiring diagram::[电]接线图；布线图¦network diagram::网络图¦structure diagram::结构图¦system diagram::系统图¦sequence diagram::顺序图，循序图；程序表¦data flow diagram::数据流程图¦state diagram::状态图，平衡图¦indicator diagram::示功图；指示图¦activity diagram::活动图；行为图¦forming limit diagram::成形极限图¦control diagram::控制图， 流程图¦diagram paper::图表纸；绘图纸；电报纸¦force diagram::力图；力线图¦frame diagram::框架图；构架图解
clientele	n:: 顾客， 主顾， 客户	
oxide	n:: 氧化物	zinc oxide::n. 氧化锌¦nitric oxide::氧化一氮¦iron oxide::氧化铁¦metal oxide::n. 金属氧化物；金属氧化物电阻；金属绝缘膜¦oxide film::氧化膜；氧化物保护膜¦ethylene oxide::环氧乙烷；乙撑氧¦aluminum oxide::氧化铝；铝氧土（等于alumina）¦propylene oxide::氧化丙烯¦magnesium oxide::[化]氧化镁¦ferric oxide::三氧化二铁，氧化铁¦aluminium oxide::氧化铝¦calcium oxide::氧化钙，生石灰¦nitrogen oxide::氧化氮；氮的氧化物¦tin oxide::二氧化锡¦titanium oxide::三氧化钛¦copper oxide::[医]氧化铜¦nitrous oxide::[化]一氧化二氮；笑气（等于laughing gas）¦oxide layer::氧化层¦manganese oxide::氧化锰¦cobalt oxide::氧化钴
prosperous	adj:: 繁荣的， 兴旺的； 成功的	thriving and prosperous::繁荣昌盛
contrived	adj:: 不自然的； 人为的	
chart	n::图，图表；海图¦vt:: 记录； 用图表表示； 制图	
evoke	vt:: 唤起	
preface	n::序言，	
attend	v:: 出席， 参加； 随同， 陪同； 专心， 注意	attend a meeting::参加会议¦attend school::上学；去上学¦attend class::上课¦attend on::照料；侍候¦attend a lecture::听关于……的讲座；上课¦attend university::上大学¦attend by::伴着
consortium	n:: 集团； 财团； 社团， 协会	
embryo	n:: 胚， 胚胎； 事物的萌芽期	embryo transfer::胚胎移植；胚胎转移；胚胎植入¦in embryo::未发展的；在筹划中的；在萌芽时期的¦embryo sac::胚囊¦embryo culture::胚培养，胚胎培养¦mature embryo::成熟胚¦somatic embryo::体细胞胚
tilt	v::倾斜，倾侧；倾向于，偏向¦n:: 倾斜， 倾侧	tilt angle::倾斜角¦tilt table::倾斜台；摆动升降台¦at full tilt::全速地；全力以赴地
secure	v::得到某物，获得；防护，保卫¦adj:: 安全的； 可靠的， 放心的	secure communication::保密通信；安全通信¦secure electronic transaction::安全电子交易¦secure sockets layer::安全套层；安全套接层¦secure operating system::安全操作系统
avenue	n:: 林阴道， 大街； 方法， 途径	fifth avenue::（美国纽约的）第五大道¦park avenue::派克大街（美国纽约市的豪华大街街名，意译为公园大道或林荫大道）；林荫大道（别克汽车的旗舰品牌）¦madison avenue::美国广告业；美国广告业作风；麦德逊大道（美国广告业中心）¦pennsylvania avenue::宾夕法尼亚大道（在美国首都华盛顿）¦avenue of stars::星光大道¦seventh avenue::第七大道¦avenue to success::成功之道
immense	adj:: 巨大的， 广大的	
inherent	adj:: 内在的； 生来就有的	inherent quality::固有性质¦inherent law::内在规律¦inherent characteristic::固有特性¦inherent stress::固有应力¦inherent viscosity::比浓对数粘度；特性黏度¦inherent risk::固有风险¦inherent defect::固有缺点¦inherent regulation::固有变动率；内不等率；自行调节；自平衡¦be inherent in::天生...；固有...¦inherent vice::固有缺陷；内在缺陷¦inherent reliability::固有可靠性；本质可靠性¦inherent moisture::内在水分，固有水分；内在潮湿；结构水
advantageous	adj:: 有利的	
encroach	vi:: 侵入， 侵占， 侵犯； 侵蚀， 蚕食	encroach on::侵犯；蚕食
given	adj:: 规定的， 特定的； 假设的	given up::已放弃¦given time::给定时间¦given year::计算年¦given name::教名；名字（等于first name）¦given value::给定值，已知值¦given price::已知价格
definite	adj:: 明确的， 肯定的； 清楚的	definite integral::定积分¦positive definite::[计]正定的¦definite time::定时¦definite value::定值¦positive definite matrix::正定矩阵¦definite condition::定解条件¦definite article::定冠词the¦definite form::定号形式¦definite quantity::定量
facsimile	n:: 复制品； 副本	in facsimile::一模一样，逼真¦facsimile transmission::传真发送¦facsimile machine::n. 传真机
stipulate	v:: 规定， 明确要求； 讲定， 约定	stipulate for::v. 制订；规定
adapt	v:: 使适合； 改编； 适应	adapt to something::（使）适合；（使）适应¦adapt for::调整，使适合于；为…改编
batch	n:: 一批， 一组， 一群； 一批生产量	a batch of::一批¦first batch::首批¦batch production::批量生产；成批生产；间歇生产¦batch process::分批工艺，分批法；批流程¦batch number::批号；批数¦batch processing::成批处理；整批处理；分批加工¦batch distillation::分批蒸馏；间歇式蒸馏¦master batch::母料¦batch quantity::批量；批次数量¦batch file::[计]批处理文件¦batch culture::分批培养物¦production batch::生产批次¦batch test::批量试验¦batch annealing::分批退火，箱式炉退火¦batch control::批量控制，成批控制¦batch mode::批处理模式；成批处理方式¦batch manufacturing::批量生产¦batch size::批量大小¦batch operation::分批操作；成批操作¦batch job::[计]成批作业
insufficient	adj:: 不足的， 不够的	insufficient funds::存款不足¦insufficient memory::内存空间不足
solicitor	n:: 法务官； 初级律师， 事务律师	
intrinsic	adj:: 固有的， 内在的； 本质的	intrinsic value::内在规定¦intrinsic viscosity::特性粘度；固有粘度；本征粘度¦intrinsic quality::内在质量¦intrinsic motivation::内在动机；内在激励¦intrinsic safety::内在安全，本质安全¦intrinsic property::本征性质，固有特性¦intrinsic factor::内在因素；[医]（造血）内因子¦intrinsic activity::[化]固有活性；内在活性¦intrinsic function::内部函数；内在函数；固有功能
guilty	adj:: 内疚的； 有罪的	guilty of::有……之过错；对……感到内疚¦plead guilty::服罪；[经]被告服罪¦feel guilty::感到内疚¦feel guilty about::感到愧疚¦guilty conscience::内疚¦be found guilty::被认定有罪¦guilty party::有罪一方当事人¦guilty feeling::罪恶感
proximity	n:: 接近， 邻近； 亲近	close proximity::极为贴近¦in close proximity to::与…靠得很近，接近¦proximity sensor::近距离传感器¦proximity effect::邻近效应，接近效应；近距离效果¦proximity switch::接近开关，引发开关¦in the proximity of::在……附近
maritime	adj:: 海的， 海事的； 海运的	maritime law::海商法；海洋法¦maritime court::海事法庭¦maritime navigation::海上航行；水运；航海学；海洋船舶驾驶¦maritime arbitration commission::海事仲裁委员会¦maritime lien::（法）海上留置权¦maritime climate::海洋性气候；海岸气候¦maritime rights::海洋权
receipt	n::收到，接到；发票，收据；	on receipt of::在收到…后¦official receipt::正式收据¦acknowledge receipt::证实收到¦acknowledge receipt of::收到¦in receipt of::已收到…¦deposit receipt::存单，存款收据¦warehouse receipt::仓单；栈单；仓库收据¦courier receipt::专递收据；快邮收据¦trust receipt::信托收据¦tax receipt::税单；报税收据¦place of receipt::收货地；收货地点¦return receipt::回执¦cargo receipt::货运收据¦goods receipt::货物收据¦acknowledgement of receipt::回执，接收确认¦bank receipt::水单；银行收据
arousal	n:: 唤起， 激起	
capsule	n:: 胶囊； 航天舱， 太空舱	soft capsule::软胶囊剂¦in a capsule::[口语]概括地说，简单扼要地讲¦time capsule::时代文物密藏器¦space capsule::n. 太空舱；太空船¦articular capsule::关节囊
impossible	adj:: 不可能的， 办不到的	nothing is impossible::没有什么不可能¦mission impossible::不可能的任务，棘手的任务¦impossible dream::不可能实现的梦；不可能的梦想¦next to impossible::几乎不可能的¦impossible is nothing::没有不可能；一切皆有可能
effort	n:: 努力， 艰难的尝试； 成就	in an effort to::企图（努力想）；试图要¦great effort::巨大努力¦make every effort::尽一切努力¦spare no effort::不遗余力；抽出；宽容；节省¦joint effort::共同努力¦make an effort::努力，作出努力¦concerted effort::齐心协力¦make effort::作出努力¦best effort::尽力而为，尽最大努力；尽力服务¦relief effort::救灾工作¦research effort::研究工作；研究计划¦without effort::毫不费力¦team effort::团队合作，团队努力的结果¦development effort::研制计划，发展工作¦design effort::设计工作¦marketing effort::营销效能；市场效能¦put effort into something::对某事付出极大的力气
trespass	vi:: 侵犯； 擅闯； 利用； 冒犯， 触犯	trespass on::侵犯；非法侵入；妨碍；打扰
internationalist	adj:: 国际主义者的¦n::国际主义者	
booming	adj:: 发展迅速的； 激增的	booming market::繁荣的市场
surroundings	n:: 周围的事物， 环境	surrounding ground::周围土地
impoverished	adj:: 穷困的， 赤贫的； 贫乏的， 贫瘠的； 枯竭的	
ozone	n:: 臭氧	ozone layer::【气】臭氧层¦ozone generator::臭氧发生器¦ozone hole::臭氧层空洞（等于ozone low）¦ozone depletion::臭氧消耗；臭氧枯竭¦atmospheric ozone::大气臭氧¦ozone resistance::耐臭氧；抗臭氧性¦ozone treatment::臭氧处理
agriculture	n:: 农业； 农学	ministry of agriculture::农业部¦modern agriculture::现代农业¦ecological agriculture::生态农业¦department of agriculture::农业部；农学系¦sustainable agriculture::可持续农业；永续农业¦food and agriculture organization::联合国粮食农业组织¦organic agriculture::有机农业¦precision agriculture::精准农业；精细农业¦intensive agriculture::集约农业；精耕细作
weapon	n:: 武器， 兵器	nuclear weapon::核武器¦secret weapon::秘密武器¦lethal weapon::致命凶器¦biological weapon::生物武器，细菌武器¦chemical weapon::化学武器¦automatic weapon::自动武器¦natural weapons::天然武器(爪、牙、拳等)¦weapon control system::武器管理系统；武器控制系统¦conventional weapon::[军]常规武器
minimal	adj:: 最小的， 最低限度的	
lava	n:: 岩浆， 熔岩	lava flow::熔岩流；岩浆流
ecology	n:: 生态， 生态学； 生态环境	landscape ecology::景观生态学；园林生态¦ecology environment::生态环境¦restoration ecology::恢复生态学¦agricultural ecology::农业生态学¦microbial ecology::微生物生态学¦human ecology::人类生态学¦population ecology::种群生态学，群体生态学¦media ecology::传媒生态；传播媒介生态学¦plant ecology::植物生态学¦ecosystem ecology::生态系统；生态学¦physiological ecology::生理生态学¦social ecology::社会生态学¦global ecology::社会生态学；全球生态学¦aquatic ecology::水域生态学；水生生物生态学¦freshwater ecology::淡水生态学
courageous	adj:: 勇敢的， 有胆量的	
venomous	adj:: 有毒的； 分泌毒液的； 恶意的， 狠毒的	
extrusion	n:: 挤出， 推出， 挤压	extrusion process::挤压过程；压铸工艺¦cold extrusion::冷挤制法¦extrusion die::挤压模；挤制模型¦hot extrusion::热挤压¦extrusion forming::挤压成形；挤压成型；加压成型¦aluminum extrusion::挤压铝制品；铝挤压件；喷铝配件¦extrusion molding::挤出成形¦extrusion line::挤塑生产流水线¦extrusion press::挤压机；滚压挤压机；挤压器；冲床¦extrusion moulding::挤压成形；挤塑法¦backward extrusion::反挤压；反向挤压；逆向挤制¦sheet extrusion::全张挤压；板的挤压¦extrusion stress::挤压应力¦extrusion coating::挤压涂层；热压涂料¦impact extrusion::冲击挤压，冲击挤压加工；冲环压
steady	adj::稳步的；稳定的¦v:: 稳定， 平稳； 镇定	steady state::定态；恒稳态¦steady growth::稳步增长，增长平稳¦steady flow::稳定流¦go steady::成为关系相当确定的情侣¦steady increase::稳定的增长¦steady stream::稳恒流；稳定流¦smooth and steady::安稳的，平稳的¦go steady with::仅与（同一异性）经常约会
inductive reasoning	::[计][数] 归纳推理；归纳法	
enclose	vt:: 围住； 附上； 把…装入信封	
overview	n:: 综览， 概述	market overview::市场概述
headmaster	n:: 校长	
technician	n:: 技术员， 技师	maintenance technician::修理行业的技术人员¦laboratory technician::化验员；实验室技师¦engineering technician::工程技术员¦lab technician::实验室技术员；实验技师¦computer technician::计算机技术人员¦skilled technician::n. 技师
sundial	n:: 日规； 日晷	
generic	adj:: 一般的， 普通的， 通用的； 种的， 属的	generic term::通用术语；地理通名¦generic type::类属型¦generic name::属名；总名称；通用名称¦generic algorithm::n. 泛型算法；通用算法¦generic drug::学名药；通用名药；副厂药¦generic programming::泛型编程；范型程序设计
disposable	adj:: 一次性的； 可动用的	disposable income::可支配收入¦disposable chopsticks::一次性筷子¦disposable diaper::一次性尿片，纸尿裤
endorse	vt:: 支持， 赞同	
clarity	n:: 清楚	
infrastructure	n:: 基础结构， 基础设施	infrastructure construction::基础设施；基础设施建设¦transportation infrastructure::运输基本设施¦physical infrastructure::基础设施建设
seclude	vt:: 使隔离， 使孤立	
typical	adj:: 典型的	typical of::是……的典型特征¦typical form::典型式，代表式¦typical project::样板工程¦typical method::典型的方法¦typical curve::标准曲线，典型曲线¦typical analysis::典型分析¦typical data::典型数据[资料]¦typical section::典型横切面；标准断面¦typical environment::典型环境¦typical value::典型值；范值；代表值；平均数
nocturnal	adj:: 夜晚的； 夜晚发生的； 夜晚活动的	nocturnal emission::[医]梦遗；夜间遗精¦nocturnal enuresis::夜尿症，\t夜遗尿
notorious	adj:: 著名的， 众所周知的； 声名狼藉的	
aggravation	n:: 加重； 恶化； 愤怒， 恼怒	
continually	adv:: 连续地， 持续地	
unload	v:: 从…卸下货物； 摆脱	
circus	n:: 马戏团； 环形广场	piccadilly circus::皮卡迪利广场（戏院及娱乐中心）¦circus wagon::大篷车；（马戏团的）大篷车¦circus act::马戏节目
trap	n::陷阱，圈套，诡计¦vt:: 诱捕， 诱骗， 使中圈套； 使陷入困境， 使受限制	on trap::可得的；随时可用的¦steam trap::疏水阀；疏水器；汽水分离器；凝汽阀¦ion trap::离子阱¦trap door::[建]天窗；陷阱门；[建]地板或屋顶上的活门¦set a trap::设陷阱¦gas trap::气体收集器；气体分离器；气阱¦fall into a trap::落入圈套¦sand trap::分沙器；[美]沙坑障碍¦poverty trap::贫困陷阱¦condensate trap::[化]冷凝阱；冷凝槽¦stratigraphic trap::地层圈闭；地层封闭¦fault trap::[地质]断层圈闭；断层封闭¦cold trap::冷阱；冷却抽集器¦booby trap::恶作剧；[军]诡雷；诱杀装置¦steel trap::捕兽夹¦death trap::危险建筑；危险场所
tram	v:: 乘电车¦n::有轨电车，电车轨道	peak tram::山顶电车
odour	n:: 气味	
deprive	vt:: 剥夺； 使丧失	deprive of::vt. 剥夺；失去
redevelopment	n:: 重新规划； 重新建设	
floral	adj:: 花的， 像花的； 绘有花的， 饰以花的； 植物群的	floral arrangement::花卉摆设；插花艺术¦floral organ::花器；花瀑
pest	n:: 害虫	pest control::害虫防治¦pest management::病虫害控制；病虫害治理；有害生物管理¦insect pest::害虫
pedal	v::骑车；	brake pedal::刹车踏板；制动踏板¦foot pedal::脚踏开关¦accelerator pedal::（汽车等的）油门踏板；[机]加速踏板¦gas pedal::（美）油门；加速器；汽车加速踏板¦clutch pedal::离合器踏板；离合皮板
heritage	n:: 遗产； 传统	cultural heritage::文化遗产¦natural heritage::自然遗产¦heritage preservation::遗产维护¦heritage foundation::传统基金会；遗产基金会
ambulance	n:: 救护车； 野战医院	ambulance officer::救护主任
slope	vi:: 倾斜¦n::斜坡；倾斜	slope stability::坡面稳定性¦rock slope::岩石边坡；石坡；岩石坡；石流坡¦slope protection::边坡保护，护坡；护坡工程¦side slope::边坡；侧坡；侧面斜坡¦steep slope::陡坡，急坡；高倾斜¦slope angle::斜角；倾斜角；坡度角¦north slope::阿拉斯加北坡；北坡油田¦gentle slope::缓坡；平缓坡度；平缓倾斜¦slope failure::边坡破坏；滑坡；山泥倾泻；斜坡崩塌¦northern slope::北坡（美国阿拉斯加州北冰洋之间）¦at the slope::[英国英语](士兵)扛着枪；(枪)在扛着¦continental slope::大陆坡¦longitudinal slope::纵坡；纵向坡度¦slope efficiency::斜率效能；斜度效率¦slippery slope::n. 灾难性的急剧下滑¦slope toe::坡脚¦abrupt slope::陡坡¦upstream slope::上游坡；上游坡度¦unstable slope::不稳定斜坡，不稳定边坡；不稳坡¦back slope::反向斜面；后坡
philosophy	n:: 哲学； 哲理	business philosophy::经营理念，经营哲学¦management philosophy::管理哲学；经营哲学¦design philosophy::设计原则；设计原理¦philosophy of life::人生哲学¦political philosophy::政治哲学¦philosophy of science::科学哲学¦natural philosophy::自然哲学（从前用以指自然科学，特别是物理学）¦moral philosophy::道德哲学；伦理学¦company philosophy::企业文化；企业理念；公司经营思想¦doctor of philosophy::D.）；博士学位（等于doctorate）；哲学博士（等于Ph.D.，D.Ph或D.Phil）¦practical philosophy::实践哲学，实际哲学¦philosophy of education::教育哲学¦analytic philosophy::分析哲学；解析哲学¦philosophy of law::法律哲学¦analytical philosophy::分析哲学；语言分析学派¦philosophy of mind::精神哲学¦existential philosophy::存在哲学；现代实存哲学¦contemporary western philosophy::当代西方哲学¦philosophy of religion::宗教哲学；宗教哲学文化¦philosophy of marxism::n. 马克思主义哲学
brunt	n:: 冲击； 冲力	bear the brunt::首当其冲；承受打击¦bear the brunt of::首当其冲
latent	adj:: 潜在的， 潜伏的， 不易察觉的	latent heat::潜伏热¦latent energy::潜能¦latent period::[医]潜伏期；等待周期；反应时间差（介于受刺激与作出反应之间的时间）¦latent image::潜像；潜象；隐像¦latent variable::潜变量¦latent infection::潜伏性感染¦latent heat of vaporization::[化]汽化潜热¦latent demand::[经]潜在需求
apparently	adv:: 显然； 看来， 似乎	
corporal	adj::肉体的，身体的¦n:: 下士	corporal punishment::体罚；肉刑
standpoint	n:: 立场； 观点	from the standpoint of::从…角度来看；从…立场来看
repaint	v:: 重新油漆， 重画	
muddle	n:: 一团糟， 凌乱， 混乱； 糊涂， 困惑¦vt:: 将…弄成一团糟； 使困惑， 使糊涂； 混淆	muddle through::终于应付过去；混过去¦muddle along::得过且过，混日子
valuable	adj::贵重的，有价值的¦n:: 贵重物品， 财宝	valuable experience::宝贵的经验¦valuable information::有价值的情报¦most valuable player::最有价值球员；最优秀选手¦valuable consideration::n. 与受益价值相等的回报
infection	n:: 传染， 感染， 侵染， 传播； 传染病	infection rate::感染率¦virus infection::病毒感染¦nosocomial infection::院内感染，医院感染¦bacterial infection::细菌感染¦fungal infection::真菌感染；霉菌感染¦viral infection::病毒性感染¦urinary tract infection::尿路感染；尿道发炎¦cross infection::交叉传染¦upper respiratory tract infection::上呼吸道感染¦chronic infection::慢性感染；慢性传染¦urinary infection::泌尿系感染；尿道感染¦acute infection::急性感染；急性传染¦secondary infection::继发感染¦latent infection::潜伏性感染¦local infection::[医]局部感染；局部传染¦systemic infection::系统感染；全身感染¦opportunistic infection::机会性感染¦persistent infection::持续感染；持续性感染
pirate	n::侵犯版权者；海盗¦vt:: 盗用， 盗版	pirate ship::海盗船¦pirate software::盗版软件
disqualify	vt:: 使丧失资格	
imprecise	adj:: 不精确的， 不严密的	
formulate	vt:: 系统阐述， 明确表达； 构想出， 规划	
smart	adj:: 漂亮的， 时髦的； 高明的	smart card::智能卡¦smart phone::智能电话¦little smart::小灵通（中国网通和中国电信联合推出的移动通信产品）¦smart money::抚恤金；罚款；因掌握内情而下的赌注；（英）伤兵抚恤¦smart for::v. 受罚¦a smart guy::精明的家伙¦play it smart::干得好，做得对¦street smart::n. 熟悉都市生活方式和世态的；街头智慧
triangle	n:: 三角	golden triangle::金三角¦love triangle::三角恋爱¦equilateral triangle::等边三角形¦right triangle::直角三角形¦isosceles triangle::等腰三角形¦regular triangle::正三角形；等边三角形¦iron triangle::铁三角；铁三角架¦triangle belt::三角皮带，三角带¦triangle inequality::三角形公理；三角不等式¦triangle trade::三角贸易¦right-angled triangle::直角三角形
layer	n:: 层， 层次	boundary layer::边界层¦thin layer::薄层；薄膜层¦surface layer::表层¦double layer::双层¦soil layer::土层；土壤层次¦single layer::单层¦application layer::[计]应用层¦layer thickness::层厚度¦oil layer::油层；含油地层；含油层；油膜¦ozone layer::【气】臭氧层¦outer layer::外层¦layer structure::[化]层型结构¦thin layer chromatography::薄层色谱；薄层色谱法；薄层层析法¦top layer::顶层；上层¦network layer::[计]网路层，网路阶层¦physical layer::物理层¦protective layer::保护层¦upper layer::上层¦bottom layer::底层¦inner layer::内层
linguistic	adj:: 语言的； 语言学的	linguistic competence::语言能力¦linguistic context::语言语境；语言的前后关系¦linguistic form::语言形态¦linguistic analysis::语言分析¦linguistic expression::语言表达式¦linguistic meaning::言内意义；语学意义；语言学意义¦applied linguistic::应用语言学
sanitation	n:: 卫生， 卫生设施	environmental sanitation::环境卫生¦food sanitation::食品卫生¦sanitation worker::环卫工人
elite	adj:: 卓越的， 精锐的¦n::精英，中坚	elite education::精英教育，英才教育
ornament	n::装饰；	
entice	v:: 怂恿， 引诱	
predatory	adj:: 食肉的； 掠夺的	predatory pricing::掠夺性订价；掠夺性价格
barrel	n:: 桶， 圆筒	in the barrel::[美国俚语、黑人用语]¦on the barrel::现付的；以现金¦gun barrel::枪筒；炮筒；油水分离罐¦pump barrel::泵壳，泵筒¦core barrel::钻管；心管¦barrel plating::滚镀；筒式电镀¦water barrel::防水层；提水筒¦pork barrel::放猪肉的桶；（为讨好或报答支持者的）政治拨款¦barrel theory::筒体理论¦machine barrel::机筒¦over a barrel::受人摆布；处于困境¦barrel distortion::负畸变；桶形畸变；桶形失真
chain	n::链，链条；一连串，一系列；¦vt:: 用链条拴住	supply chain::供应链；供给链；供需链¦supply chain management::供应连锁管理¦value chain::价值链¦industrial chain::产业链；工业链锁¦chain reaction::连锁反应；链式反应¦food chain::食物链¦markov chain::n. [统]马尔可夫链¦chain store::连锁商店¦polymerase chain reaction::聚合酶链反应¦in chains::在囚禁中；上着镣铐¦side chain::侧链；侧锁¦long chain::长链¦key chain::钥匙扣；钥匙链¦chain link::链连¦chain length::[化]链长¦production chain::生产链；流水线¦cold chain::（新鲜食品的）低温运输系统¦retail chain::连锁店；零售联营¦chain wheel::链轮；滑轮¦chain transfer::链转移；链传递
desire	v&n:: 想望， 期望； 要求	desire for::渴望¦sexual desire::性欲¦a burning desire::强烈的愿望¦sincere desire::诚心诚意¦desire under the elms::榆树下的欲望（尤金奥尼尔的戏剧）
efficient	adj:: 有效的， 效率高的； 有能力的， 能胜任的	energy efficient::节能¦efficient production::有效生产¦efficient market::有效市场¦efficient market hypothesis::有效市场假说；有效率市场假说¦efficient performance::经营效果¦efficient frontier::有效边界；效率前缘¦efficient market theory::有效市场理论；效率市场理论¦efficient allocation of resources::资源有效配置¦efficient point::有效点¦efficient markets hypothesis::有效市场假说
unfortunately	adv:: 不幸地	
consistent	adj:: 一致的， 协调的； 相符的， 相容的	consistent with::符合；与…一致¦consistent quality::始终如一的质量¦consistent policy::一贯的政策¦consistent principle::一致性原则¦self consistent field::自洽场
reverse	adj::相反的；倒转的，颠倒的¦v:: 颠倒， 倒退¦n::相反，颠倒；背面，后面	in reverse::adv. 相反，向相反方向，倒（退），逆（行、转等）¦reverse engineering::逆向工程¦reverse osmosis::反渗透，逆向渗透¦reverse side::背面，反面¦reverse circulation::反循环；逆行循环¦reverse flow::逆流，反向流；资本倒流¦reverse order::[计]倒序¦reverse direction::反向¦reverse engineer::反向工程，还原工程；逆向工程¦reverse transcriptase::逆转录酶；反转录酶¦reverse osmosis membrane::反渗透膜；逆渗透膜¦reverse voltage::反向电压¦forward and reverse::正反向¦reverse process::反转过程¦peak reverse voltage::反峰电压；反向峰值电压¦reverse current::反向电流¦reverse rotation::反转¦reverse mortgage::反向抵押贷款；反向抵押；反向贷款；倒按揭¦reverse fault::逆断层；逆向断层¦just the reverse::正好相反，恰恰相反
