abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。
humanity	hjʊ'mænəti	hjuː'mænəti	n:: 人类， 人； 人性； 人道， 博爱； 人文学科	crime against humanity::违反人道罪；危害人类罪	We want a clean healthy environment for all humanity .::我们希望全人类拥有一个干净健康的生存环境。¦crimes against humanity::反人类罪
innovation	,ɪnə'veʃən	ˌɪnə'veɪʃn	n:: 新方法， 新事物； 革新， 创新	technological innovation::技术革新；工艺革新¦innovation ability::创新能力¦continuous innovation::连续创新¦financial innovation::金融创新¦institutional innovation::制度创新，体制创新¦innovation theory::创新理论¦innovation management::创新管理¦disruptive innovation::破坏性创新	We must encourage innovation if the company is to remain competitive.::公司要想保持竞争力，就必须鼓励革新。
litter	'lɪtɚ	'lɪtə	vi::乱扔废弃物¦vt::乱扔东西¦n:: 废弃物， 被胡乱扔掉的东西； 一窝； 杂乱的东西		I hate people who litter in the forest.::我讨厌那些在森林里乱扔垃圾的人。
charge	tʃɑrdʒ	tʃɑːdʒ	v::索价；控告；使充电，使充满；向前冲¦n:: 费用； 管理； 控告， 指责； 电荷， 充电	in charge::负责，主管；在…看管下¦in charge of::负责；主管¦charge of::负责；管理¦free of charge::免费¦take charge::掌管，负责；主持；不受控制¦charge for::索价，要价；为…收费¦take charge of::接管，负责¦person in charge::负责人¦service charge::服务费¦electric charge::n. 电荷（等于charge，electricity）；电费¦charge for trouble::手续费¦space charge::空间电荷¦charge density::[化]电荷密度¦no charge::免费；不需付钱¦charge transfer::[物]电荷转移¦charge with::vt. 装；控告¦take in charge::逮捕；负责照料；引为己责¦extra charge::附加费；附加负载¦charge distribution::电荷分布¦charge at::冲击；猛攻	They have the evidence to charge him.::他们有证据来指控他。
shutter	'ʃʌtɚ	'ʃʌtə	n:: 百叶窗； 快门	shutter speed::快门速度¦put up the shutters::关店，打烊；停业¦rolling shutter::滚动式帘子¦roller shutter::卷闸，卷帘百页¦shutter button::快门按钮¦fire shutter::防火活门，防火卷帘门；防火闸；防火板；防火百叶窗¦shutter door::百叶窗¦electronic shutter::电子快门；电子开闭器¦shutter release::快门线；快门释放；快门掣；快门启放器	She opened the shutters and gazed out over village roofs.::她打开了百叶窗，朝村里的房顶望去。
alternate	ˈɔltɚˌnet;(for adj.)ˈɔ:ltərnət	ˈɔ:ltəneɪt;(for adj.)ɔ:lˈtɜ:nət	adj:: 交替的， 轮流的； 间隔的¦v:: 轮流， 交替	alternate with::相间¦alternate between::在两种状态中交替变化；时而…时而…¦alternate name::又名¦alternate current::交流电¦every alternate::每隔¦alternate energy::替代能源¦alternate days::隔日¦on alternate days::隔日地¦alternate stress::交变应力；反复应力¦alternate form::复本；更替卷；变形¦alternate route::替换路线	alternate blue and red stripes::蓝红相间的条纹
biography	baɪ'ɑɡrəfi	baɪ'ɒgrəfi	n:: 传记		...recent biographies of Stalin.::…近年的斯大林传记。
procedure	prə'sidʒɚ	prə'siːdʒə	n:: 程序； 手续； 步骤	working procedure::运行程序；办理手续¦criminal procedure::刑事诉讼程序¦civil procedure::民事诉讼；民事诉讼法；民事诉讼程序¦design procedure::设计程序；计算方法¦welding procedure::焊接工艺；焊接程序¦operation procedure::n. 操作规程；作业流程¦construction procedure::施工程序，施工步骤¦administrative procedure::管理程序，行政程序¦operating procedure::操作程序，作业程序¦production procedure::生产程序¦civil procedure law::民事诉讼法¦calculation procedure::计算方法；计算程序；计算方案¦control procedure::控制程序¦test procedure::试验程序；检验法；检查法¦general procedure::一般程序；通用过程，通用程序¦legal procedure::法律程序，法定程序¦stored procedure::存储过程；预存程序¦rules of procedure::议事规则；程序规则¦procedure control::过程控制；工序技术检查¦standard procedure::标准程序；标准流程	On board, we were given the usual talk on safety procedures (= what to do if an accident happens, or to prevent an accident ) .::在飞机上，我们听了例行的飞行安全讲解。
sample	'sæmpl	'sɑːmpl	n::样品，试样，样本¦vt:: 从…抽样； 品尝， 体验	sample preparation::样品制备；样品处理；样品加工¦sample data::样本数据；抽样资料¦sample size::样本量；样本大小¦small sample::小样本，小试样；小包货样¦water sample::水样¦standard sample::标准样品¦sample survey::抽样检查；先行甸；样品鉴定¦test sample::试样；试棒¦random sample::随机样本；随意抽取调查；随机样品¦blood sample::血液样本；血样；血液样品¦soil sample::土壤样本¦sample design::样品设计¦sample solution::样品溶液，试料溶液¦core sample::矿样；岩芯样本；土芯样本¦sample order::照样品定货；试购¦sample space::样本空间；试样空间；取样空间¦representative sample::代表性样本¦sample room::样品间；样品陈列室¦control sample::对照试样¦sample introduction::进样；样品导入	They took a blood sample to test for hepatitis.::他们取了血样做肝炎化验。
plunge	plʌndʒ	plʌndʒ	n&v:: 纵身投入， 猛冲， 猛跌	plunge into::投入；跳入；突然或仓促地开始某事¦take the plunge::冒险尝试；采取决定性步骤¦plunge pool::n. 瀑布下的水潭	At least 50 people died when a bus plunged into a river.::一辆公共汽车冲进了河里，至少有50人死亡。
skeptical	'skɛptɪkl	'skeptɪkl	adj:: 表示怀疑的		I think going in they were very skeptical we would get to this point given our history in Seattle.::我想鉴于西雅图过去的历史，在开始的时候他们对我们能达到这个地步还是有怀疑的。¦Though this is a skeptical age, and our faith has weakened, our confidence in some aspects of the traditional culture should and would never be lost.::尽管这是一个怀疑的时代，我们的信心削弱了，我们的信心在某些方面的传统文化应该也不会丢失。¦As much as we would like to have the remains of actual dinosaur tissue, there are sound reasons for being skeptical of the identifications made in the reading.::尽管我们都希望这些化石是真正的恐龙组织，但是还是有一些很有说服力的理由让我们怀疑阅读部分的发现。
ultraviolet	,ʌltrə'vaɪələt	ˌʌltrə'vaɪələt	adj:: 紫外的	ultraviolet radiation::紫外线；紫外线照射¦ultraviolet light::紫外线¦ultraviolet ray::紫外线¦ultraviolet irradiation::紫外线照射¦ultraviolet spectrum::[化]紫外光谱¦ultraviolet absorption::紫外吸收；紫外线吸收；紫外光吸收¦ultraviolet lamp::紫外线灯¦ultraviolet spectrophotometer::紫外分光光度计¦ultraviolet laser::紫外线激光器，紫外激光器；紫外雷射¦ultraviolet detector::[化]紫外光检测器¦solar ultraviolet radiation::太阳紫外辐射；阳光紫外缐照射	This is the energy of an ultraviolet photon, a "large" energy on the atomic scale .::这是一个紫外光子的能量，在原子尺度上，它是一个“大”能量。¦Objective To study the mechanisms of ultraviolet blood irradiation and oxygenation for psoriasis.::目的研究紫外线照射充氧自血回输治疗银屑病的机制。¦The synergistic effect of oxygen and (or ) ozone in atmosphere with ultraviolet also led to the adhesion failure of adhesive.::大气中的氧和（或）臭氧与紫外线协同作用是导致该压敏粘合剂失粘的原因。
planetary	'plænətɛri	'plænətri	n:: 行星的	planetary gear::行星齿轮¦planetary gear transmission::行星齿轮传动¦planetary transmission::行星齿轮变速箱¦planetary motion::行星运动¦planetary gear train::行星轮系¦planetary nebula::行星状星云¦planetary boundary layer::行星边界层；地表边界层¦planetary system::行星系	These disks are the remnants of planetary formation.::这些圆盘是行星形成的剩余物质。¦OK, this is the Bohr model, Bohr model of the atom is planetary or nuclear.::好的，这就是波尔模型，波尔的原子模型是行星模型或者核心模型。¦One question that has baffled planetary scientists is how oceans formed on the surface of terrestrial planets like Earth -- rocky planets made of silicate and metals.::一个困扰着行星科学家的问题是：海洋是怎样在像地球这样由硅酸盐和金属组成的石质行星的表面形成的？
visa	'vizə	'viːzə	n:: 签证	visa application::签证申请¦student visa::学生签证¦visa office::签证办事处¦immigrant visa::移民签证¦entry visa::入境签证¦apply for a visa::申请签证¦visa fee::n. 签证费¦visa card::签证卡，通行卡¦transit visa::过境签证¦exit visa::[法]出境签证	I was still in New York, trying to get a visa to visit Russia.::我仍在纽约，正在办理去俄罗斯的签证。
diagnose	,daɪəɡ'nos	'daɪəgnəuz	vt:: 诊断； 判断		The soldiers were diagnosed as having flu.::这些士兵被诊断为患了流感。
petition	pə'tɪʃən	pə'tɪʃn	v:: 请愿， 正式请求¦n::请愿书，申请书；诉状	file a petition::提交请愿书	...couples petitioning for divorce.::…申请离婚的几对夫妇。
vicinity	və'sɪnəti	və'sɪnəti	n:: 周围地区， 邻近地区	in the vicinity of::在…附近；在…上下¦in the vicinity::在附近¦immediate vicinity::紧邻	There were a hundred or so hotels in the vicinity of the station.::在车站附近有大约一百家左右的旅馆。
naive	naɪ'iv	naɪ'iːv	adj:: 幼稚的； 天真的； 轻信的		a naive young girl::天真的小女孩¦Jim can be so naive sometimes.::吉姆有时候非常幼稚。
essential	ɪ'sɛnʃl	ɪ'senʃl	adj::必要的，本质的¦n:: 要素； 必需品	essential oil::香精油，精油¦essential condition::必要条件¦essential hypertension::原发性高血压；特发性高血压¦essential element::必需元素¦essential component::主要部件；主要成分¦essential difference::本质区别¦essential requirements::基本要求；基本规范¦essential amino acid::必需氨基酸¦essential nutrients::基本营养物；必需营养素（essential nutrient的复数形式）¦essential qualities::固有性；本质（essential quality 的复数）¦essential point::本质点¦essential information::[计]基本信息¦be essential for::对…必不可少的¦essential drugs::基本药物¦essential mineral::知矿物；主成份矿物；基本矿物¦essential fatty acid::必需脂肪酸¦essential parameter::基本参数；本质参数¦essential water::组成水份¦essential goods::主要货物；必需品	Window locks are fairly cheap and absolutely essential.::窗锁相当便宜，绝对有必要安装。¦Even in small companies, computers are an essential tool.::即使在小公司里，计算机也是不可或缺的工具。
expenditure	ɪk'spɛndɪtʃɚ	ɪk'spendɪtʃə	n:: 经费， 支出额； 花费， 支出， 消耗	revenue and expenditure::收支¦public expenditure::市政开支；公用事业费用¦energy expenditure::能量消耗¦capital expenditure::资本支出；基本建设费用¦government expenditure::政府支出，政府开支¦consumption expenditure::消费支出¦military expenditure::军费开支¦tax expenditure::税式支出；税收优惠造成的财政收入减少¦educational expenditure::教育开支，教育经费¦household expenditure::住户开支¦operating expenditure::营运开支；业务开支¦item of expenditure::支出项目¦maintenance expenditure::维修费，维修费用¦expenditure account::开支帐目¦revenue expenditure::营业支出；收益支出¦additional expenditure::附加费用；追加支出¦development expenditure::发展开支	huge cuts in public expenditure ::大幅度削减公共开支¦government expenditure on education::政府的教育开支¦{"GLOSS":["spending by a company on buildings, machinery, equipment etc"],"COLLOINEXA":["capital expenditure"]}::〔公司的〕资本开支
vent	vɛnt	vent	n::通风口，排放口；开衩¦vt:: 表达， 发泄	give vent to::发泄；吐露¦vent on someone::拿某人出气¦air vent::通气孔¦vent gas::排出气¦vent hole::通气孔，通风孔；风眼¦vent pipe::[机]通气管¦vent system::排气系统；通风系统；通气管系统¦hydrothermal vent::深海热泉；深海热液喷口¦gas vent::气孔；排气孔；通气管；气体出口¦vent on::迁怒¦volcanic vent::火山口，火山道¦vent valve::排气阀¦vent air::通风空气	a blocked air vent::堵塞的通风口¦a volcanic vent::火山口
haunt	hɔnt	hɔːnt	vt::常出没于；使苦恼，使担忧；萦绕在心头，缠绕¦n:: 常去的地方		The pub is said to be haunted by the ghost of a former landlord.::据说这个酒吧里经常有一位前任房主的鬼魂出没。
precede	prɪ'sid	prɪ'siːd	vt:: 在…之前， 先于		a type of cloud that precedes rain::下雨前出现的一种云¦Lunch will be preceded by a short speech from the chairman.::午餐开始之前主席会发表一段简短的讲话。
gasp	ɡæsp	gɑːsp	vi::喘气，倒抽气¦vt::喘着气说出¦n:: 喘气， 倒抽气	last gasp::最终喘息；奄奄一息¦gasp for breath::呼吸十分困难， 上气不接下气	‘My leg!’ he gasped. ‘I think it’s broken!’::“我的腿！”他倒抽一口气喊道，“我觉得腿断了！”
stroll	strol	strəul	n&vi:: 散步， 闲逛		I used to stroll along the beach on Sundays.::我过去常在星期天沿海滩散步。
furnish	'fɝnɪʃ	'fɜːnɪʃ	vt:: 供应， 提供； 装备	furnish with::供给，提供；用…装饰	Will these finds furnish more information on prehistoric man?::这些发现是否能提供更多有关史前人类的资料？
differentiate	,dɪfə'rɛnʃɪet	ˌdɪfə'renʃieɪt	vi::区分，区别¦vt:: 区分， 区别； 使不同， 使有差异	differentiate from::将…区别开来	What differentiates these two periods of history?::这两个历史时期的差别在哪里？
contact	'kɑntækt	'kɒntækt	n::接触，联系，交往¦vt:: 与…接触， 与…取得联系	contact us::联系我们；联络我们；联系方式¦contact with::与…联系¦in contact with::接触；与…有联系¦contact information::联系方式；联系信息¦eye contact::目光接触；眼神交会¦close contact::近距离接触；紧密接触¦direct contact::直接接触¦contact angle::接触角；交会角¦make contact::接触点；接通¦contact surface::接触面；接触表面¦contact stress::接触应力，接面应力¦contact area::接触面积，接触面¦contact pressure::接触压力¦come into contact with::v. 接触到；联系；开始做某事¦contact resistance::接触（接点）电阻；瞬变电阻¦contact zone::接触区；接触地带¦contact person::联系人¦contact point::接触点¦contact details::联系方式¦come in contact with::接触	The town is cut off from contact with the outside world.::小镇与外界的联系被切断了。¦Contact the Women's Alliance for further details.::请联系妇女联合会获取详情。
garment	'gɑrmənt	'gɑːmənt	n:: 衣服	garment industry::制衣业；成衣业¦garment factory::服装厂，成衣工厂¦garment leather::衣服革¦garment design::衣服设计¦fur garment::裘皮服装¦garment bag::保护衣服用的塑胶套¦silk garment::丝绸服装；绸衣	She pulled the garment on and zipped it up.::她穿上衣服并拉好拉链。
discharge	dɪs'tʃɑrdʒ	dɪs'tʃɑːdʒ	v::释放，排出；卸货¦n:: 释放， 放电	discharge of::v. 卸下¦discharge standard::排放标准¦partial discharge::局部放电；部分放电；部份履行¦electrical discharge machining::电火花加工；[电]放电机械制作¦pollutant discharge::污染物排放¦water discharge::排水；排水量¦gas discharge::气体放电¦glow discharge::辉光放电¦discharge from::解雇；释放¦discharge capacity::放电容量；排流能力¦corona discharge::电晕放电¦electric discharge::放电¦zero discharge::零排放；无出料；空转¦flood discharge::泄洪；洪水流量¦pollution discharge::排污¦electrostatic discharge::静电放电¦arc discharge::弧放电¦discharge process::放电过程；放电作用；排出过程¦discharge valve::卸料阀；排出阀¦after discharge::后放；后续放电	Hospitals now tend to discharge patients earlier than in the past.::与过去相比，现在医院更趋向于让病人早些出院。
exclude	ɪk'sklʊd	ɪk'skluːd	vt:: 把…排除在外		a special diet that excludes dairy products::不包含奶制品的特别食谱¦The judges decided to exclude evidence which had been unfairly attained.::法官裁决不接纳以不正当手段获取的证据。
scary	'skɛri	'skeəri	adj:: 可怕的， 骇人的； 惊慌的， 害怕的； 胆小的， 易受惊的		a scary moment::恐怖的一刻¦a scary movie::恐怖片¦The book is both scary and funny.::这本书既恐怖又有趣。
criticism	'krɪtə'sɪzəm	'krɪtɪsɪzəm	n:: 批评， 批判； 评论， 评论文章	literary criticism::n. 文艺评论¦textual criticism::校勘；考订；版本鉴定¦new criticism::新批评主义¦come under heavy criticism::遭到严厉的批评¦adverse criticism::反向批评；逆向评论¦criticism and praise::批评和赞扬	Despite strong criticism , the new system is still in place.::尽管遭到了猛烈的批评，新制度依然原封不动。¦There has been widespread criticism of the decision.::这一决定受到了普遍的批评。¦We try to give students constructive criticism .::我们设法对学生提出有建设性的批评。¦Another criticism levelled at him was that his teaching methods were old-fashioned.::还有一个针对他的批评是，他的教学方法已经过时。¦The government’s economic strategy has attracted a lot of criticism .::政府的经济政策招致了大量的批评。¦You must learn to accept criticism .::你必须学会接受批评。¦Many employees find it hard to take even mild criticism .::有许多员工甚至连轻微的批评也很难接受。¦His actions provoked severe criticism from civil rights groups.::他的行为招致了民权组织的严厉批评。¦the storm of criticism that followed his announcement::他的声明引来的批评浪潮
enlighten	ɪn'laɪtn	ɪn'laɪtn	vt:: 启发， 开导		A few dedicated doctors have fought for years to enlighten the profession.::少数富有献身精神的医生为启蒙这一行业而奋斗多年。
utmost	'ʌt'most	'ʌtməust	adj::最远的¦n:: 极限	to the utmost::极度；尽力¦do one's utmost::尽全力，竭力¦utmost good faith::最大诚信；绝对信任¦at the utmost::至多	It is a matter of the utmost urgency to find out what has happened to these people.::当务之急是弄清楚这些人出了什么事。¦Security matters are treated with the utmost seriousness.::安全问题受到极为严肃的对待。
prospective	prə'spɛktɪv	prə'spektɪv	adj:: 预期的； 未来的； 可能的	prospective study::前瞻研究；预期研究；远景调查¦prospective market::未来的市场¦prospective customer::潜在顾客¦prospective buyer::准买家¦prospective student::未来学生；欲申请的学生¦prospective earnings::预期收益¦prospective oil::石油储量	the prospective costs of providing pensions::提供养老金可能产生的成本
deduct	dɪ'dʌkt	dɪ'dʌkt	v:: 减去， 扣除	deduct from::扣除¦deduct money::扣钱；扣款	The company deducted this payment from his compensation.::公司从他的补偿金中扣除了这笔款项。
plaster	'plæstɚ	'plɑːstə	n::灰浆，灰泥；石膏；橡皮膏，膏药¦vt:: 在…上抹灰泥， 厚厚地涂抹	in plaster::上石膏¦adhesive plaster::橡皮膏¦plaster cast::石膏绷带；石膏模型¦plaster board::n. 灰泥板；灰胶纸柏板；糊墙纸板¦plaster mold::石膏模型¦gypsum plaster::石膏灰泥，石膏抹面；石膏胶凝材料；粉饰用石膏粉¦sticking plaster::橡皮膏¦plaster of paris::熟石膏；烧石膏¦plaster model::n. 石膏模型；石膏像¦wall plaster::刷墙粉¦gypsum plaster board::石膏板；石膏灰泥板¦plaster work::抹灰泥工作；抹灰工事	The ceiling he had just plastered fell in and knocked him off his ladder.::他刚抹过灰泥的那块天花板脱落了，把他从梯子上砸了下来。
consultancy	kən'sʌltənsi	kən'sʌltənsi	n:: 顾问； 顾问服务公司	consultancy service::咨询服务；顾问服务¦consultancy company::点子公司	a management consultancy::管理咨询公司¦a consultancy firm::咨询公司
metropolitan	,mɛtrə'pɑlɪtən	ˌmetrə'pɒlɪtən	adj:: 大都市的， 大都会的； 首都的	metropolitan area::大城市区域，大都市区；大都会区¦metropolitan museum::大都会博物馆¦metropolitan police::都市警察¦metropolitan museum of art::大都会艺术博物馆¦metropolitan area network::城域网¦metropolitan park::都市公园¦metropolitan opera::n. 纽约大都会歌剧院	a metropolitan area of South Australia::南澳大利亚的一个都市区
portray	pɔr'tre	pɔː'treɪ	vt:: 描写， 描绘； 扮演， 饰演		His most famous painting portrayed the death of Nelson.::他最著名的画作描绘的是纳尔逊之死。¦Religion was portrayed in a negative way.::对宗教的描写是负面的。
garbage	'ɡɑrbɪdʒ	'gɑːbɪdʒ	n:: 垃圾， 废物； 废话； 无用的资料	garbage disposal::垃圾处理¦garbage in::无用输入；无用数据输入¦garbage collection::碎片帐集¦garbage can::n. 垃圾桶，垃圾箱¦garbage collector::n. 清除垃圾的人；清洁工¦domestic garbage::生活垃圾¦garbage truck::垃圾车¦garbage bin::n. 垃圾桶¦garbage bag::垃圾袋¦household garbage::生活垃圾；家庭垃圾¦garbage out::无用输出¦garbage dump::垃圾场；垃圾堆¦garbage power::垃圾发电¦garbage incinerator::垃圾焚烧炉	Can you take out the garbage when you go?::你走的时候把垃圾带出去好吗？
suspicious	sə'spɪʃəs	sə'spɪʃəs	adj:: 猜疑的， 疑心的； 可疑的； 表示怀疑的	suspicious of::对…起疑	His reluctance to answer my questions made me suspicious .::他不愿回答我的问题，这引起我的怀疑。¦She gave him a suspicious glance.::她向他投去怀疑的一瞥。¦You’ve got a very suspicious mind!::你真是疑心太重！
scrub	skrʌb	skrʌb	v::用力擦洗，把…擦净；取消¦n:: 矮树丛， 灌木丛	body scrub::身体角质；身体磨砂膏¦scrub typhus::恙虫病；洪水热	She was on her hands and knees scrubbing the floor.::她正趴着擦地板。¦He scrubbed the dirt off his boots.::他把靴子上的脏土擦掉。¦The table needs to be scrubbed clean .::这桌子要擦干净。
complain	kəm'plen	kəm'pleɪn	vi:: 抱怨， 诉苦； 控告， 投诉	complain about::抱怨¦complain of::n. 抱怨；抗议	Miners have complained bitterly that the government did not fulfil their promises.::矿工们已愤愤地抱怨政府没有兑现他们的承诺。¦The couple complained about the high cost of visiting Europe.::这对夫妇抱怨了游览欧洲的高昂花费。¦I shouldn't complain, I've got a good job to go back to.::我不该抱怨，我已有可回去干的一份好工作。¦"I wish someone would do something about it," he complained.::“我希望有人能对此做点什么，”他抱怨道。
homogeneous	,homə'dʒinɪəs	ˌhɒmə'dʒiːniəs	adj:: 同种类的， 同性质的， 有相同特征的	homogeneous catalysis::均相催化¦homogeneous distribution::均匀分布；单一分布¦homogeneous catalyst::均相催化剂¦homogeneous product::同质产品¦homogeneous solution::齐次解¦homogeneous system::均匀系；均相系统；同机种系统¦homogeneous reaction::均匀反应；单相反应¦homogeneous nucleation::均匀的核化（作用）¦homogeneous medium::均匀介质¦homogeneous coordinates::齐次坐标，齐性坐标¦homogeneous transformation::齐次变换，齐性变换¦homogeneous equation::齐次方程	The unemployed are not a homogeneous group.::失业者并不都是同一类人。
affirm	ə'fɝm	ə'fɜːm	vt:: 断言， 坚持声称； 证实， 确认		The general affirmed rumors of an attack.::将军证实了袭击的传闻。
profound	prə'faʊnd	prə'faund	adj:: 深度的， 深切的， 深远的； 知识渊博的， 见解深刻的； 深奥的		a profound sense of guilt::强烈的内疚感
marble	'mɑrbl	'mɑːbl	n:: 大理石； 弹子； 弹子游戏	white marble::汉白玉；白色大理石¦artificial marble::人造大理石¦marble arch::大理石拱门（有名的伦敦标志）¦marble tile::大理石饰面砖¦marble statue::n. 大理石塑像	The columns were of white marble.::柱子是白色的大理石。¦a marble statue::大理石雕像
anxiety	æŋ'zaɪəti	æŋ'zaɪəti	n:: 焦虑， 忧虑； 渴望， 热望	anxiety disorder::焦虑症；焦虑性障碍；焦虑症候群¦anxiety for sth::渴望¦test anxiety::考试焦虑；测验焦虑¦trait anxiety::特质焦虑，特质性焦虑¦anxiety neurosis::焦虑性神经机能病¦generalized anxiety disorder::广泛性焦虑，广泛性焦虑障碍¦performance anxiety::表现焦虑；作业焦虑	his feelings of anxiety::他焦虑的心情
adjust	ə'dʒʌst	ə'dʒʌst	vi:: 适应¦vt::调整，调节；校正	adjust and control::调控¦adjust price::调整价格	They’ll soon settle in – kids are very good at adjusting.::他们很快就会习惯的——小孩子适应能力很强。
aspiration	æspəˈreʃən	ˌæspə'reɪʃn	n:: 强烈的愿望； 志向， 抱负	aspiration biopsy::针吸活组织检查¦aspiration pneumonia::[医]吸入性肺炎	a high level of political aspiration::崇高的政治抱负
vigorous	'vɪɡərəs	'vɪgərəs	adj:: 朝气蓬勃的； 有力的， 用力的		Your dog needs at least 20 minutes of vigorous exercise every day.::你的狗每天需要进行至少20分钟的剧烈运动。¦Environmentalists have begun a vigorous campaign to oppose nuclear dumping in the area.::环保人士已经发动了一场积极的运动，反对在该地区倾倒核废物。¦a vigorous debate::一场激烈的辩论¦Vigorous efforts are being made to find a solution to the problem.::正积极地寻找办法解决这个问题。¦The measures provoked vigorous opposition in right-wing circles.::这些举措激起了右翼群体的强烈反对。
vocal	'vokl	'vəukl	adj::喜欢畅所欲言的，直言不讳的；嗓音的，发声的¦n:: 声乐节目	vocal music::声乐；通过口头传唱的音乐¦vocal cord::[医]声带；[医]声襞¦vocal tract::声道¦vocal fold::声襞¦vocal cord paralysis::n. 声带麻痹¦vocal concert::演唱会	vocal music::声乐¦Allison’s vocal style is influenced by country and blues music.::艾利森的演唱风格受到乡村音乐和布鲁斯音乐的影响。¦a female vocal group::女子歌唱组合
deem	dim	diːm	vt:: 认为， 视为		French and German were deemed essential.::法语和德语被认为是必需的。
origin	'ɔrɪdʒɪn	'ɒrɪdʒɪn	n:: 起源， 起因； 出身， 血统	country of origin::原产地；原产国¦certificate of origin::[商]原产地证书¦place of origin::原产地；起运地点¦origin of life::生命的起源；生命起源¦point of origin::原点，起始点；起火点¦plant origin::植物来源¦ethnic origin::种族本源¦animal origin::动物来源¦fever of unknown origin::无明显病因的发烧¦marine origin::海成；海相成因¦data origin::数据源¦humble origin::卑微的出身¦noise origin::噪声源	The tradition has its origins in the Middle Ages.::这一传统源于中世纪。¦old folk tales of unknown origin::起源不明的古老民间传说
clash	klæʃ	klæʃ	vi::发生冲突；不协调；砰地相撞，发出刺耳的撞击声¦n:: 冲突； 不协调； 刺耳的撞击声	clash with::与…冲突，不调和	Troops clashed near the border.::军队在边境附近发生了冲突。
overturn	'ovətɝn	ˌəuvə'tɜːn	vi:: 倾覆， 翻转， 翻倒¦vt::使翻转，使倾覆，使倒下；颠覆，推翻		Leslie jumped to her feet, overturning her chair.::莱斯莉一跃而起，碰倒了椅子。¦His car overturned, trapping him inside.::他的汽车发生侧翻，把他困在了里面。
compel	kəm'pɛl	kəm'pel	vt:: 强迫， 迫使屈服		...the introduction of legislation to compel cyclists to wear a helmet.::…强制骑车人戴头盔的法律的引入。
depress	dɪ'prɛs	dɪ'pres	vt:: 使沮丧， 使不景气； 按下		Several factors combined to depress the American economy.::几个因素加在一起造成了美国经济的不景气。
capable	'kepəbl	'keɪpəbl	adj:: 有能力的， 有才能的	capable of::有…能力的；可…的¦capable person::有行为能力人	I don’t think he’s capable of murder.::我认为他没有能力杀人。¦The company isn’t capable of handling an order that large.::那家公司没有能力应付那么大的订单。¦I’m perfectly capable of looking after myself, thank you!::我完全能够自己照顾自己，多谢了！
burden	'bɝdn	'bɜːdn	n::重担，精神负担¦vt:: 加重压于， 烦扰； 负担， 装载	heavy burden::重负；重炉料¦burden of proof::举证责任；提供证据之责任¦tax burden::课税负担¦financial burden::n. 财政负担，经济负担¦economic burden::经济负担¦beast of burden::驮兽（如马、驴等）¦burden of persuasion::说服责任；举证责任	His family responsibilities had started to become a burden.::家庭责任已开始成为他的负担。
salute	sə'lut	sə'luːt	vi::敬礼，致意¦vt::向…敬礼，向…致意；赞扬，颂扬¦n:: 敬礼， 致意		The two soldiers saluted Lieutenant Cecil.::那两名士兵向塞西尔中尉行了礼。¦The men jumped to their feet and saluted.::这些人赶紧起立敬礼。
clasp	klæsp	klɑːsp	n::扣子，钩子；紧抱，紧握¦vt:: 抱紧， 握紧； 扣住， 扣紧		the firm clasp of her hand::她有力的握手
symposium	sɪm'pozɪəm	sɪm'pəuziəm	n:: 讨论会， 专题报告会； 专题论文集	annual symposium::年会	He had been taking part in an international symposium on population.::他那时在参加一个有关人口的国际研讨会。
hover	'hʌvɚ	'hɒvə	vi:: 翱翔； 逗留在近旁， 徘徊； 彷徨， 犹豫	hover over::在…盘旋	Judith was hovering in the doorway.::朱迪丝在门口徘徊。
random	'rændəm	'rændəm	adj:: 任意的， 随机的	at random::胡乱地；随便地；任意地¦random sampling::随机抽样；随意采样¦random variable::随机变数，随机变量；无规变量¦random vibration::随机振动¦random number::随机数¦random noise::随机噪声；不规则噪声¦random access::随机存取¦random process::随机过程；随机程序¦random sample::随机样本；随意抽取调查；随机样品¦random field::随机场¦random walk::随机游动；无规行走¦random error::随机误差；偶然误差¦random selection::随机选择；随机抽样¦random signal::随机信号¦random number generator::随机数发生器；随机数生成程序¦random access memory::随机存取存储器¦simple random sampling::简单随机抽样¦random sequence::随机序列¦random copolymer::[机]无规共聚物¦stratified random sampling::分层随机抽样	The company has introduced random drug testing of its employees.::公司已实行对雇员的随机毒品测试。¦A few random shots were fired.::胡乱放了几枪。¦We looked at a random sample of 120 families.::我们研究了随机抽样的120个家庭。¦a random selection of women who were in the shop::对店内女性的随机选择
dine	daɪn	daɪn	vi::进餐¦vt:: 宴请	dine in::在家吃饭¦dine out::外出进餐¦dine together::会餐¦wine and dine::吃喝；以好酒好菜款待	He was dining with friends at the Ritz.::他和朋友在里茨饭店一起进餐。
