revolt	n. 反抗；造反，起义 v. 起义；反抗
serial	 adj. 连续的， 按顺序排列的 n. 连续剧； 连载故事
ambassador	 n. 大使
growth	 n. 生长； 增长； 发展
comic	 adj. 可笑的； 喜剧的 n. 喜剧演员
weave	 vt. 编， 编织
pope	 n. 教皇， 罗马主教
vague	 adj. 不明确的， 含糊的； 暧昧的
fare	 vi. 过活； 进展 n. 车费， 船费
accuracy	 n. 准确， 准确度
psychiatry	 n. 精神病学；精神病治疗法
resolution	 n. 坚决， 决心 A；决定， 决议
spouse	 n. 配偶
setting	 n. 落山；底座；环境； 背景
score	 v. 得， 记分数 n. 得分， 分数；二十 A <
isle	 n. 小岛， 岛
quote	 v. 引用， 援引 n. 引文
graduate	 vi. 接受学位， 毕业 n. 毕业生， 获学位者
quota	 n. 定额， 限额， 配额
unanimous	 adj. 全体一致的， 一致同意的
thermal	 adj. 热的， 由热造成的；保暖的
scorn	 vt. 轻蔑， 藐视 n. 轻蔑， 藐视
sulfur	 n. 硫
rag	 n. 破布， 碎布
grief	 n. 悲伤， 悲痛；悲伤的事； 悲痛的缘由
ashamed	 adj. 羞耻的， 惭愧的， 害臊的
rap	 vt. 敲击， 急敲；责备， 训斥 n. 敲击， 急敲；说唱音乐
unlikely	 adj. 未必的； 不可能的； 靠不住的
rat	 n. 鼠 <
appendix	 n. 附录； 附属物
handwriting	 n. 笔迹， 手迹， 书法
raw	 adj. 未煮过的， 生的；未加工过的；未经训练的
sprinkle	 vt. 洒， 喷， 淋
courtyard	 n. 庭院， 院子
nationality	 n. 国籍， 民族
municipal	 adj. 市的， 市政的， 市立的
institute	 vt. 设立， 设置， 制定 n. 学会， 研究所， 学院
endure	 v. 忍受， 容忍 <；持久， 持续
poster	 n. 招贴， 海报， 广告
fate	 n. 命运
criterion	 n. 标准， 准则 A
throat	 n. 咽喉， 嗓子
essence	 n. 本质， 实质
manual	 adj. 手的； 手工做的； 体力的 n. 手册， 指南 <
maneuver	 v. 演习；谨慎地运用技巧移动， 运动；熟练而巧妙地引导某人
vocabulary	 n. 词汇， 词汇量 A；词汇表
retire	 vi. 退休， 引退 <；退却， 撤退；就寝
aspect	 n. 样子， 外表， 面貌；方面
vegetarian	 n. 素食主义者
aggressive	 adj. 侵略的， 好斗的 <；敢作敢为的， 有进取心的； 积极的 A；强有力的
saint	 n. 圣人， 圣徒
instalment	 n. 分期付款， 分期交付；一集； 一期
signify	 vi. 要紧， 有重要性 vt. 表示， 意味
oblige	 vt. 迫使； 责成；感激， 施恩于
civilise	 vt. 使文明， 教化
swing	 v. 摇摆， 摇荡；回转， 旋转 n. 秋千；摇摆， 摆动
turbulent	 adj. 吵闹的； 狂暴的； 汹涌的；动乱的， 无秩序的
invasion	 n. 侵入， 侵略
precedent	 n. 先例， 范例； 惯例
spin	 v. 旋转；纺纱；织网， 吐丝 n. 旋转； 自转
shallow	 adj. 浅的；浅薄的 n. 浅滩， 浅处
spit	 vi. 吐， 吐痰 < n. 唾液， 口水
scout	 vi. 搜索， 侦察 n. 侦察员， 侦察机
register	 v. 注册， 登记 <；指示； 自动记下；把挂号 n. 登记， 注册
restless	 adj. 得不到休息的；不平静的；不安的， 坐立不安的
fleet	 n. 舰队， 船队
communicate	 vi. 交流；通讯， 通话 vt. 传达， 传递
saddle	 n. 鞍； 马鞍； 鞍状物
rural	 adj. 农村的
acclaim	 vt. 向…欢呼， 为…喝彩 n. 称赞
acid	 adj. 酸的； 尖酸的 n. 酸
transmission	 n. 播送； 发射；传动， 传送
shortage	 n. 不足， 缺少
blush	 n. /
tiresome	 adj. 使人厌倦的； 讨厌的
dubious	 adj. 有问题的， 靠不住的；半信半疑的， 可疑的；结果未定的， 不能确定的
intuition	 n. 直觉
swift	 adj. 快速的， 敏捷的
pose	 vi. 摆姿势；假装， 冒充 vt. 造成； 提出， 陈述
finite	 adj. 有限的
amend	 vt. 修改， 修正
erupt	 vi. 爆发
remedy	 n. 药品；治疗措施， 补救办法 vt. 治疗， 医治 A；纠正， 补救 <
consent	 vi. 同意； 赞成， 答应 n. 同意； 赞成， 答应
retreat	 vi. 撤退， 退却 n. 撤退， 退却
parachute	 v. 跳伞 n. 降落伞 A
mutual	 adj. 相互的， 彼此的； 共有的 <
shell	 n. 壳， 贝壳 A；炮弹； 弹壳 A
pharmacy	 n. 药剂学， 制药；药店
therefore	 adv. 因此， 从而 conj. 所以
exchange	 vt. 交换， 互换； 调换， 更换 n. 交换， 调换； 兑换；交流， 交易；交换台， 交易所
hesitate	 vi. 犹豫， 踌躇；含糊， 支吾
rifle	 n. 步枪
paste	 n. 糊， 糨糊 vt. 粘， 贴
overtake	 v. 追上， 赶上； 超过；袭击； 压倒
directory	 n. 人名地址录； 号码簿 <
monarch	 n. 君主， 帝王
overnight	 adv. 一夜间； 一下子； 突然 adj. 一夜间的； 一下子的； 突然的
behave	 vi. 举止， 举动， 表现；运转， 开动
undo	 vt. 松开， 解开
laser	 n. 激光 <
mixture	 n. 混合；混合物； 混合剂
scope	 n. 范围；机会； 余地
archaeology	 n. 考古学
democratic	 adj. 民主的
colonel	 n. 上校
recorder	 n. 记录员；录音机
embrace	 v. 拥抱 vt. 包含
identify	 vt. 确认； 识别； 鉴定；把…和…看成一样， 打成一片
nitrogen	 n. 氮 <
label	 n. 标签， 标记；称号， 外号 vt. 贴标签于…； 把…称为 <
message	 n. 消息， 信息， 通讯；启示， 要旨
modify	 vt. 更改， 修改； 改造 <；缓和； 减轻； 降低
clone	 v. 克隆 n. 无性繁殖系， 克隆；复制品， 翻版
pledge	 n. 誓约； 保证 vt. 发誓； 保证
exempt	 adj. 被免除的， 被豁免的 vt. 使…免除
reservoir	 n. 水库， 蓄水池
crab	 n. 螃蟹； 蟹肉
aesthetic	 adj. 美学的， 艺术的；审美的
arithmetic	 n. 算术
rib	 n. 肋骨， 肋状物
faulty	 adj. 有缺点的， 有错误的
rid	 vt. 使摆脱， 使去掉
carbohydrate	 n. 碳水化合物
variation	 n. 变化， 变动；变种， 变异
eject	 vt. 喷射； 排出；驱逐 A
obedience	 n. 服从， 顺从 <
defect	 n. 缺点， 缺陷
reinforce	 vt. 增援， 加强
rim	 n. 边， 轮缘；边界
slack	 adj. 懈怠的， 懒散的；松弛的， 不紧的 <；萧条的 n. 淡季， 萧条
casual	 adj. 偶然的， 碰巧的；临时的； 非正式的  <
odds	 n. 不平等， 差异；机会
rip	 vt. 扯破， 撕坏 n. 裂口， 裂缝 A
property	 n. 财产， 资产， 所有物；性质， 特性
decline	 vi. 下倾， 下降， 下垂； 衰落 vt. 拒绝， 谢绝 n. 倾斜； 下降； 衰落，衰退；斜面， 倾斜
viewpoint	 n. 观点
Catholic	 adj. （罗马）天主教的
whistle	 vi. 吹口哨； 鸣笛 n. 口哨； 汽笛；口哨声； 汽笛声
handle	 n. 柄， 把手， 拉手 vt. 处理， 对待； 操纵 A；触， 摸
tough	 adj. 坚韧的； 吃苦耐劳的；棘手的， 困难的；强健的；粗暴的， 粗鲁的
script	 n. 剧本， 脚本； 广播稿；笔迹， 手迹
melody	 n. 【音】旋律； 曲调； 歌曲
system	 n. 系统， 体系；制度， 体制 A
likelihood	 n. 可能性
spot	 v. 认出， 认清， 发现；玷污， 弄脏；用点做记号 n. 点； 斑点， 污点；地点， 场所
partial	 adj. 部分的， 不完全的；偏袒的， 不公平的
aid	 vt. 帮助， 援助， 救援 n. 帮助， 援助， 救护；助手； 辅助物， 辅助设备 A
confident	 adj. 确信的， 自信的
retain	 vt. 保留； 保持
epoch	 n. 时期， 时代
drastic	 adj. 激烈的； 严厉的
skilled	 adj. 熟练的， 有技能的；需要技能的
retail	 n. 零售
local	 adj. 地方的， 当地的；局部的
crew	 n. 工作人员
spear	 n. 矛， 枪； 渔叉
extravagant	 adj. 奢侈的；过分的；放肆的
accommodate	 vt. 留宿， 收容；供应， 供给；调和； 适应
bubble	 vi. 冒泡， 起泡； 沸腾 n. 泡， 水泡， 气泡；泡沫； 幻想的计划 <
yield	 vi. 屈服， 服从 vt. 出产， 生长 n. 产量， 收获
electronic	 adj. 电子的
cathedral	 n. 大教堂 A
outcome	 n. 结果， 成果
sacred	 adj. 神圣的； 宗教的； 庄严的
polar	 adj. 地极的， 近地极的； 磁极的；正好相反的， 截然对立的
tender	 adj. 嫩的；脆弱的； 敏感的；温柔的， 温厚的 v. 提出， 提供；投标
synthesis	 n. 综合， 合成
incidentally	 adv. 附带地， 顺便提及 <
vapor	 n. 蒸汽
historian	 n. 历史学家
curriculum	 n. 课程， 全部课程
analogue	 n. 类似物； 模拟 A
meditate	 vi. 沉思， 冥想 vt. 内心策划
prototype	 n. 原型， 蓝本
meantime	 adv. 同时， 当时 n. 其间， 其时
recollect	 v. 回忆， 追想
powerful	 adj. 强大的， 有力的； 有权的 A
sham	 v. 假冒； 虚伪 n. 假冒； 虚伪
meditation	 n. 沉思， 冥想， 默念<
cite	 vt. 引用， 引证， 举
acquaintance	 n. 熟人； 相识
atom	 n. 原子；微粒， 微量
moan	 vi. 呻吟；抱怨， 发牢骚 n. 呻吟声， 呜咽声 A vt. 以呻吟声说出
royal	 adj. 王室的， 皇家的；一流的； 高贵的
shed	 vt. 流出；发散， 散发；脱落； 摆脱 n. 棚， 小屋
glove	 n. 手套
precision	 n. 精确， 准确 <；精确度
statical	 adj. 静态的； 静力的
correspond	 vi. 通信；符合， 一致；相当于， 对应
spur	 n. 靴刺， 马刺；刺激， 刺激物 A vt. 刺激， 激励 <
mode	 n. 方式， 式样 <
elapse	 vi. 消逝， 过去 A
rear	 adj. 后方的， 后部的； 背后的 n. 后部， 尾部 vt. 饲养； 抚养 A
symmetry	 n. 对称；匀称； 整齐 A
reap	 v. 收割， 收获
insect	 n. 昆虫 <
buffet	 n. 自助餐
presume	 vt. 假定， 假设； 认为；揣测
complement	 vt. 补充， 补足 n. 补充， 补足；余数；补语
qualify	 v. 具有资格， 证明合格；限制， 限定； 修饰
pregnant	 adj. 怀孕的， 妊娠的；充满的
border	 n. 边界， 国界；边 vt. 交界， 与…接壤； 接近 <
applicable	 adj. 能应用的， 适用的
admission	 n. 允许进入； 接纳， 收容 <；入场费， 入场券；承认
adhere	 vi. 黏附， 胶着；坚持
expense	 n. 花费， 消费； 消耗
April	 n. 四月
rumour	 n. 传闻， 谣言
panorama	 n. 概观， 全景； 综述
contemporary	 adj. 同时代的；现代的， 当代的 <
mobilize	 vt. 动员
mock	 v. 嘲笑， 讥笑 adj. 仿制的， 假装的；模拟的， 演习的 n. 模拟考试
amplifier	 n. 放大器； 扩音机
gear	 v. 调整， 使适合 n. 齿轮， 传动装置
facilitate	 vt. 使变得容易， 使便利
rob	 vt. 抢劫， 盗取；剥夺
outing	 n. 远足， 郊游， 短途旅行
rod	 n. 杆， 棒
dumb	 adj. 哑的， 无言的
quiver	 v. 颤抖， 抖动 n. 颤抖， 抖动
telegraph	 v. 打电报传达， 电告 n. 电报机； 电报
rot	 v. 腐烂， 腐败， 腐朽 n. 荒唐
predict	 vt. 预言， 预测， 预告
dump	 vt. 倾倒， 倾卸 n. 垃圾场； 堆存处
universal	 adj. 普遍的， 全体的； 通用的；宇宙的； 全世界的
chemist	 n. 化学家， 药剂师
undermine	 vt. 暗中破坏， 逐渐削弱； 侵蚀…的基础
guilt	 n. 罪过， 内疚
abroad	 adv. 到国外， 在国外；到处
poultry	 n. 家禽
blossom	 vi. 开花；成长， 发展 n. 花
subjective	 adj. 主观的； 个人的
radical	 adj. 基本的， 重要的， 根本的；激进的， 极端的
blunt	 adj. 率直的；钝的 vt. 使钝； 使迟钝； 使减弱
analogy	 n. 比拟， 类比
application	 n. 请求； 申请；应用， 运用；施用， 敷用
productive	 adj. 生产的， 能产的； 多产的
semester	 n. 学期
hypothesis	 n. 假说， 假设； 【逻】 前提
collapse	 n. /
honorable	 adj. 可敬的；荣誉的， 光荣的
dull	 adj. 单调的， 枯燥无味的；迟钝的， 愚笨的；不锋利的 vt. 使迟钝
comprehend	 vt. 理解， 了解
accurate	 adj. 精确的， 准确的
concession	 n. 迁就， 让步 A
legend	 n. 传说， 传奇
erect	 adj. 直立的， 垂直的 < vt. 树立； 建立； 使竖立
identification	 n. 识别， 鉴别
jam	 v. 阻塞； 卡住不动 n. 果酱；阻塞； 卡住
protein	 n. 蛋白质
ape	 n. 猿 < vt. 模仿
annual	 adj. 每年的， 年度的 n. 年刊； 年鉴
exclusive	 adj. 专有的， 专用的， 独占的；排他的 <
jar	 n. 罐， 坛； 广口瓶
poverty	 n. 贫穷， 贫困
repertoire	 n. 常备剧目； 全部节目
resort	 vi. 求助； 诉诸； 凭借 < n. 胜地； 常去之地；手段
testify	 v. 证明； 证实 <
lightning	 adj. 闪电般的， 快速的 n. 闪电
jaw	 n. 下颌， 下巴
margin	 n. 页边空白， 边缘；余地； 幅度；差额， 差距
apt	 adj. 恰当的， 适宜的；易于…的， 有…倾向的
reed	 n. 芦苇， 苇丛； 芦笛， 牧笛
shabby	 adj. 破旧的， 破烂的；衣衫褴褛的；卑鄙的； 不公正的
refine	 vt. 精炼； 精制； 提纯 <
demand	 v. 要求， 请求， 需要； 查问 n. 要求， 请求， 需要
mount	 v. 登上， 爬上 <；安装， 装配； 固定； 镶嵌 n. 支架， 底座， 底板；山峰
reel	 n. 卷筒； 线轴 vt. 卷， 绕
pathetic	 adj. 可怜的， 引起怜悯的；令人难过的
turkey	 n. 火鸡
gently	 adv. 文雅地， 有礼貌地；轻轻地， 温和地
centimetre	 n. 厘米
overtime	 adv. 超过； 在加班时间内 adj. 超时的， 加班的
telescope	 n. 望远镜
accuse	 v. 控告； 谴责
devil	 n. 魔鬼； 恶棍
predecessor	 n. 前任， 前辈；原有事物； 前身
odor	 n. 气味； 名声
acquire	 vt. 取得， 获得； 学到 <
trolley	 n. 手推车， 小车；〈英〉无轨电车； 〈美〉有轨电车
automobile	 n. 汽车
fertile	 adj. 肥沃的， 富饶的 <；能繁殖的
notion	 n. 概念， 意念；看法， 想法， 观点
tractor	 n. 拖拉机； 牵引车
grace	 n. 优美， 优雅；恩惠， 恩泽
patience	 n. 耐心， 忍耐
captive	 adj. 被俘虏的， 被监禁的 n. 俘虏
dividend	 n. 红利， 股息；回报， 效益；被除数
stitch	 v. 缝， 缝合 n. 一针， 针脚 A <
vice	 adj. 副的 < n. 邪恶， 坏事；恶习
esteem	 vt. 尊重， 尊敬 n. 尊重， 尊敬
shear	 vt. 剪， 修剪 <
thoughtful	 adj. 认真思考的， 沉思的；体贴的， 关心的；富有思想性的； 颇有创见的
bowel	 n. 肠
holder	 n. 持有者， 占有者；支持物
suppress	 vt. 镇压， 压制 <；抑制， 忍住 <；查禁； 禁止发表 <
wrinkle	 n. 皱纹 vt. 使起皱纹
ownership	 n. 所有， 所有制
tumor	 n. 肿瘤， 肿块
supervise	 v. 管理， 监督
canteen	 n. 食堂； 小卖部
fabulous	 adj. 寓言式的；极为巨大的；极好的
dilemma	 n. 窘境， 困境
rub	 v. 擦， 摩擦
engagement	 n. 约会， 约定；婚约； 订婚
rug	 n. 地毯； 围毯
dusk	 n. 薄暮， 黄昏
organisation	 n. 组织， 机构； 体制， 结构
occasional	 adj. 偶然的， 非经常的； 特殊场合的；临时的； 不时的
bomb	 n. 炸弹 vt. 投弹于， 轰炸
repeated	 adj. 重复的， 再三的 <
debate	 n. /
spacecraft	 n. 宇宙飞船
extinguish	 vt. 熄灭， 扑灭
mobilise	 vt. 动员
vulnerable	 adj. 易受攻击的
view	 n. 景象， 风景；视点， 见解；观察， 观看；眼界， 视野 vt. 看待， 考虑；观看， 观察
preach	 vi. 讲道， 布道 vt. 宣讲；竭力鼓吹， 宣传， 说教
jet	 v. 喷出， 喷射 n. 喷气发动机； 喷气式飞机；喷口， 喷嘴
donate	 vt. 捐赠， 赠送
helpful	 adj. 有帮助的， 有益的， 有用的
taboo	 n. 禁忌， 忌讳；禁止 A
mold	 n. 模子， 铸型 vt. 浇铸， 造型； 塑造， 形成
bold	 adj. 大胆的， 勇敢的；冒失的， 冒昧的；黑体的， 粗体的
significant	 adj. 有意义的； 重大的， 重要的
rein	 n. 缰绳；控制
bleed	 vi. 出血， 流血
catalogue	 n. 目录 vt. 编目
overlap	 v. 重叠， 与…交叠 n. 重叠
volunteer	 adj. 志愿的， 义务的， 无偿的 v. 自愿 n. 志愿者， 志愿兵
senate	 n. 参议院， 上院
instability	 n. 不稳定
assassinate	 vt. 暗杀
crow	 vi. 鸡啼， 鸣叫 n. 乌鸦；鸡啼， 鸣叫
neighborhood	 n. 邻居； 四邻； 街道， 住宅区
mourn	 v. 哀悼， 悲悼
bolt	 n. 螺栓， 插销 vt. 闩， 关窗， 拴住
whiskey	 n. 威士忌酒
mood	 n. 心情， 情绪；语气
novelty	 n. 新奇， 新颖
boom	 vi. 迅速发展， 兴旺；发出隆隆声 n. 繁荣， 迅速增长
absence	 n. 缺席， 不在场；缺乏， 没有 A
abolish	 vt. 废除， 取消
attract	 v. 吸引， 引诱； 引起
description	 n. 描写， 形容；种类
edition	 n. 版， 版本， 版次
cautious	 adj. 小心的， 谨慎的
disappear	 vi. 不见， 消失
recession	 n. 衰退， 衰退期A
situated	 adj. 坐落在…的
negative	 adj. 否定的； 消极的； 反面的；【数】负的； 【电】阴性的 n. 负数；底片
ally	 v. 结盟 n. 同盟国， 同盟者；支持者
hence	 adv. 从此， 今后； 因此
boot	 n. 靴
learned	 adj. 博学的， 有学问的 A
substance	 n. 物质， 实质；大意；财产， 财物
frown	 vi. 皱眉
bond	 n. 结合， 黏结， 联结；公债， 债券； 契约
awe	 n. 敬畏； 惊惧 vt. 使敬畏； 使惊惧
momentum	 n. 动力， 冲力， 势头；动量
target	 n. 目标， 对象， 靶子 vt. 把…作为目标
discourse	 vi. 演讲， 谈话 n. 演讲， 谈话， 论文
obstruct	 vt. 妨碍， 阻止 A；阻塞， 截断
grind	 vt. 磨， 碾
guidance	 n. 引导， 指导
stairway	 n. 楼梯
cape	 n. 斗篷； 披肩；海角， 岬
delicate	 adj. 纤弱的；精致的；微妙的； 灵敏的 A
fancy	 adj. 花式的； 奇特的； 异样的 n. 爱好， 喜爱， 迷恋；想象， 设想 vt. 想象， 幻想
rebel	 vi. 反抗， 反叛， 起义 n. 叛逆者， 起义者
bounce	 v. 跳起， 弹起 n. 跳起， 弹回
usage	 n. 用法； 【语】惯用法
tissue	 n. 组织；织物， 薄绢， 纸巾
loosen	 v. 解开， 放松
rent	 vt. 租， 租赁 n. 租金
carpenter	 n. 木工， 木匠
Thanksgiving	 n. 感恩节
proficiency	 n. 熟练， 精通 <
axe	 n. 斧
cast	 vt. 投， 扔， 掷， 抛；铸造 n. 演员表； 全体演员
hijack	 vt. 劫持
largely	 adv. 主要地， 基本上；大量地， 大规模地
slice	 n. 薄片， 切片 A；一份， 部分
frost	 n. 霜， 霜冻； 严寒
princess	 n. 公主； 王妃
incline	 v. 倾斜， 偏向；倾向于； 赞同 n. 斜坡， 斜面
cash	 n. 现金， 现款 vt. 兑现， 付现款
elevate	 vt. 抬起， 升高
designate	 vt. 指明； 指定
humiliate	 vt. 使蒙羞， 使丢脸
canvas	 n. 帆布； 油画布；油画
item	 n. 条， 条款， 项目
gene	 n. 基因 A
violet	 n. 紫罗兰；紫罗兰色； 紫色
hollow	 vi. 挖空， 凿空 adj. 空的， 中空的；空洞的， 空虚的
trunk	 n. 大衣箱， 皮箱； 行李箱；树干； 躯干
saving	 adj. 节约的 n. 储蓄； 储蓄金， 存款
rely	 vi. 依赖， 依靠；信赖， 信任
slide	 v. 滑动， 滑行， 下滑 n. 滑动； 降低； 滑坡， 滑道；幻灯片
style	 n. 风格； 文体；式样， 类型
excessive	 adj. 过多的， 过分的
flesh	 n. 肉
jungle	 n. 丛林， 密林；乱七八糟的一堆 A <
assault	 n. /
cherry	 n. 樱桃
feminine	 adj. 女性的；娇柔的 A
pattern	 v. 仿制， 模仿 n. 图案， 图样； 式样
heighten	 v. 提高， 升高； 加强 A
harsh	 adj. 严厉的， 刻薄的；粗糙的， 毛糙的；严酷的， 恶劣的；刺耳的； 刺目的
fireplace	 n. 壁炉
vehicle	 n. 车辆， 交通工具；媒介， 载体
scrape	 v. 刮， 擦去；擦过； 勉强通过 n. 刮削， 刮削声；擦伤， 擦痕
bleak	 adj. 荒凉的；没有希望的， 冷酷的
cushion	 n. 垫子， 坐垫
glorious	 adj. 壮丽的， 辉煌的；光荣的
plateau	 n. 高原
civilize	 vt. 使文明， 教化
architecture	 n. 建筑；建筑学
stress	 n. 压力；重音；【物】应力；强调， 重点， 着重 vt. 强调， 着重
mischief	 n. 损害， 伤害， 危害；恶作剧， 捣蛋， 胡闹
reliance	 n. 信赖， 依靠
display	 vt. 陈列， 展览；显示 n. 陈列； 展览； 展示
superfluous	 adj. 过剩的， 多余的
conductor	 n. 领队， 指挥；售票员， 列车员；导体， 导线
bore	 v. 钻， 挖， 打眼， 钻探；烦扰， 使厌烦 n. 讨厌的人； 麻烦事
acrobat	 n. 特技演员， 杂技演员
disorder	 n. 混乱， 杂乱； 骚乱；【医】失调； 疾病
aggravate	 vt. 使恶化， 加重， 加剧 <
dairy	 n. 牛奶场； 奶店 <
transistor	 n. 晶体管； 晶体管收音机
giggle	 n. /
persevere	 vi. 坚持
mature	 adj. 成熟的； 熟的； 成年人的 A v. 成熟
navy	 n. 海军
alleviate	 vt. 减轻， 缓解； 缓和
influence	 n. 影响； 作用；势力， 权势 vt. 影响， 感化
talent	 n. 才能， 天资；人才
percentage	 n. 百分数， 百分率， 百分比
negotiate	 vi. 谈判， 交涉， 商议
violin	 n. 小提琴
package	 n. 包装， 包裹， 箱
crisis	 n. 危机； 紧要关头
germ	 n. 微生物； 细菌
shatter	 vt. 使…粉碎； 使散开；使破灭； 使震惊
glamour	 n. 魅力， 诱惑力
persuasion	 n. 说服， 说服力
moss	 n. 苔藓， 地衣
glimpse	 n. /
detective	 n. 侦探
transfer	 vi. 换车；转业， 转学；调动， 转职 vt. 转移；转让， 过户 < n. 转变
footstep	 n. 脚步； 足迹
veteran	 adj. 经验丰富的 n. 老手； 老兵
phrase	 n. 短语， 词语， 习语
affection	 n. 爱， 慈爱；感情；影响
nerve	 n. 神经；勇气， 胆量
diversion	 n. 转向， 转移 A
omit	 vt. 省略， 删去；遗漏， 忽略 <
centimeter	 n. 厘米
erroneous	 adj. 错误的， 不正确的
sponsor	 n. 发起人； 主办者； 保证人 vt. 发起， 主办
limitation	 n. 限制， 局限性
terrify	 vt. 使害怕， 使惊恐
jog	 n. 慢跑 A
ascertain	 vt. 查明， 弄清， 确定
trolly	 n. 手推车， 小车；〈英〉无轨电车； 〈美〉有轨电车
insert	 vt. 插入， 嵌入
forbid	 vt. 禁止， 不许
inspiration	 n. 灵感；鼓舞， 激励
highlight	 vt. 使显著， 使突出； 强调 n. 最精彩的部分； 最重要的事件
database	 n. 数据库
reject	 vt. 拒绝； 抵制； 驳回；丢弃；排斥； 退掉
sheer	 adj. 纯粹的； 十足的， 全然的；陡峭的， 险峻的
miracle	 n. 奇迹， 令人惊奇的人
compliment	 n. 称赞； 恭维 vt. 称赞， 恭维
imitation	 n. 模仿， 仿效；仿制； 仿造品
profit	 v. 得利， 获益； 利用； 有利于 n. 利润， 收益；益处
amount	 vi. 合计， 总共达；等于 n. 数量， 总额
comply	 vi. 照做， 遵照， 应允
original	 adj. 最初的， 原始的； 原文的 <；新颖的， 有独创性的 n. 原物； 原作； 原文
nylon	 n. 尼龙
deviate	 vi. 背离， 偏离
album	 n. 粘贴簿； 集邮簿； 相册
assignment	 n. 分配， 委派； 任务；作业
yawn	 vi. 打呵欠 n. 呵欠
saw	 v. 锯， 锯开 n. 锯子； 锯床
feudal	 adj. 封建的
kingdom	 n. 王国； 领域
differ	 vi. 与…不同；与…意见不同
puppet	 n. 木偶； 傀儡
latter	 pron. 后者 adj. 后面的； 末尾的
affiliate	 v. 隶属于 n. 附属机构， 分公司
equivalent	 adj. 相等的， 等价的， 等值的  < n. 相等物， 等价物， 等值物； 对应词
canoe	 n. 独木舟， 小游艇
wedge	 n. 楔， 楔形 vt. 楔牢， 楔入； 挤进
alienate	 vt. 使疏远， 使格格不入；使不友好； 离间A
plague	 n. 瘟疫； 祸患， 灾害
perpetual	 adj. 永久的， 永恒的； 长期的 A
retrospect	 n. 回顾， 回想
ban	 vt. 取缔， 查禁； 禁止 n. 禁止， 禁令
fascinate	 vt. 迷住， 强烈吸引
diplomatic	 adj. 外交的， 从事外交的；有策略的， 有手腕的
suffer	 vi. 受痛苦； 患病 vt. 遭受； 忍受， 忍耐 <
bar	 n. 条， 杆， 棒， 棍， 闩；酒吧； 吧台；栅， 栏， 障碍 vt. 闩上； 阻拦， 拦住； 妨碍
bat	 n. 球拍， 球棒； 短棒；蝙蝠
projector	 n. 放映机， 幻灯机， 投影仪
neighbourhood	 n. 邻居； 四邻； 街道， 住宅区
draft	 n. 草稿， 草案， 草图 vt. 起草， 草拟
complex	 adj. 复杂的；合成的， 综合的 n. 综合体
humidity	 n. 湿气； 湿度
fluid	 adj. 流动的； 液体的 < n. 流体， 液体
bay	 n. 海湾， 湾
pamphlet	 n. 小册子
afterwards	 adv. 后来， 以后
artery	 n. 【医】动脉；干线， 要道
underestimate	 vt. 低估
plastic	 adj. 塑料的， 塑胶的；可塑的， 塑性的 n. 塑料； 塑料制品 <
globe	 n. 球体， 地球仪；地球， 世界
transient	 adj. 短暂的 <
enquiry	 n. 打听， 询问；调查， 研究
applause	 n. 鼓掌； 欢呼
dean	 n. 教长； 主持牧师 A；学院院长； 系主任； 训导主任
sponge	 n. 海绵
abuse	 vt. 滥用；虐待；谩骂 n. 滥用；虐待
insulate	 v. 隔离， 孤立；使绝缘， 使绝热
scheme	 v. 计划， 策划； 阴谋 n. 计划， 方案； 阴谋；配置； 安排
affect	 vt. 影响；感动， 感染
deaf	 adj. 聋的；不愿听的
drain	 v. 排去， 放干 n. 排水沟， 阴沟；流出； 消耗
amuse	 vt. 逗…笑；给…以娱乐
isolate	 vt. 使隔离； 孤立
inward	 adv. 向内， 在内 adj. 在内的， 里面的； 内心的 <
responsibility	 n. 责任， 责任心；职责， 任务
enquire	 v. 询问；打听；问好， 问候
civil	 adj. 公民的， 市民的；国内的， 民间的；民用的；有礼貌的， 文明的
subsequent	 adj. 随后的， 后来的 A
indicate	 vt. 指出； 指示 A；表明或暗示…的可能性 A
contain	 v. 包含； 容纳， 装有；等于， 相当于 A
litter	 v. 产 n. 垃圾；一窝 vt. 乱扔
sew	 vi. 缝， 缝纫
oval	 adj. 椭圆形的 n. 椭圆形
column	 n. 圆柱， 柱状物；列； 专栏
biography	 n. 传记
procedure	 n. 程序， 手续， 步骤
sample	 n. 样品， 标本 vt. 抽样试验； 抽样调查
integrate	 v. 成为一体， 结合在一起， 合并 <
ultraviolet	 adj. 紫外线的 n. 紫外线
visa	 n. 签证
diagnose	 vt. 诊断
petition	 n. 请愿书， 申请书 A <；诉状 vt. 请愿， 正式请求
somewhat	 adv. 稍微， 有点
vicinity	 n. 邻近， 附近
earnest	 adj. 热心的； 诚挚的
jug	 n. 大罐， 壶；一大罐的容量 vt. 关押
spider	 n. 蜘蛛
precede	 v. 领先， 在…之前； 优先， 先于 A
deck	 n. 甲板
stroll	 n. /
bowling	 n. 保龄球运动
humorous	 adj. 幽默的， 诙谐的
differentiate	 vi. 区分， 区别 vt. 不同
contact	 vt. 接触， 联系， 交往 n. 接触， 联系， 交往
discharge	 vi. 发射； 排出， 流出； 放 vt. 卸货；释放； 遣散， 解雇； 解除 <
prospective	 adj. 未来的， 预期的； 可能的
plaster	 n. 灰泥； 熟石膏； 膏药 <
grown-up	 adj. 成长的； 成熟的； 成人的 n. 成年人
metropolitan	 adj. 首都的；大都市的
