pharmacy	n. 药房；配药学，药剂学；制药业；一批备用药品
hypocrite	 n.  伪君子
sedulous	 adj.  勤勉的
credible	 adj.  可信的
intentional	 adj.  有意图的， 故意的
insensate	 adj.  没有感觉的
blockbuster	 n.  风靡一时之物；  巨型炸弹
solder	 v.  焊接 n. 焊料
bungle	 vt.  办糟
negligible	 adj.  可以忽略的， 微不足道的
misstep	 n.  失足
temporal	 adj.  时间的
pentagon	 n.  五边形
proton	 n.  质子
setback	 n.  挫折， 阻碍
brokerage	 n.  经纪人之业务； 回扣
pointer	 n.  指针
hydroxide	 n.  氢氧化物
primordial	 adj.  原始的， 初发的
habitude	 n.  习俗
vitamin	 n.  维生素
dissimilar	 adj.  不同的
elongate	 v.  拉长
enthusiastic	 adj.  热情的， 热心的
fray	 v.  磨损
wield	 v.  支配， 掌权
disastrous	 adj.  灾难性的， 悲惨的
impulse	 n.  冲量
remonstrance	 n.  抗议
chastity	 n.  纯洁； 贞节； 简洁
prominent	 adj.  突起的， 凸起的； 杰出的， 著名的； 显著的
insulin	 n.  胰岛素
ironic	 adj.  讽刺的， 反讽的
permeable	 adj.  有浸透性的， 能透过的
pedagogue	 n.  教师； 喜欢卖弄学问的教师
pusillanimous	 adj.  懦弱的， 胆小的， 优柔寡断的
fundamental	 adj. 基础的，基本的 n.  基本原则， 基本原理
global	 adj.  全球的， 世界的； 球状的， 球面的； 总括的， 普遍的， 综合的， 全局的
promulgate	 v.  发布； 传播
counselor	 n.  顾问； 律师
excess	 adj. 过量的，额外的 n.  过量， 过剩
temperature	 n.  温度
perspective	 n.  透视画法， 透视图； 远景， 前途； 观点， 看法
retaliate	 v.  报复
tactician	 n.  有谋略的人
equality	 n.  等式
admonition	 n.  警告
reaction	 n.  反应， 反作用
transverse	 adj.  横向的； 横断的
jubilant	 adj.  欢呼的
valor	 n.  英勇， 勇猛
adhesion	 n.  黏着； 因守； 皈依
monotone	 n.  单调
repine	 v.  抱怨
vainglorious	 adj.  虚荣的
evolve	 v.   发展，  进化， 演化； 引申出， 推理， 引出
face	 n.  立体的面
circumnavigate	 v.  环航
narcissistic	 adj.  自恋的， 自我陶醉的
abandon	 vt.  放弃； 放纵
cessation	 n.  停止
sacrilege	 n.  亵渎圣物
extol	 v.  赞美
intolerable	 adj.  无法忍受的； 难受的
operation	 n.  运算
adverse	 adj.  不利的， 有害的
preemption	 n.  优先购买  ； 抢先占有
ratio	 n.  比； 比率
junction	 n.  连接， 接合； 交叉点， 接合处， 枢纽站
electrolysis	 n.  电解作用
circumvent	 vt.  智胜， 用计谋取胜， 挫败
habitual	 adj.  习惯的， 惯常的
conditional	 adj.  有条件的； 以…为条件的
instinct	 n.  本能， 直觉， 天性
gourmet	 n.  美食家
melancholy	 adj.  忧郁
redoubtable	 adj.  可怕的
niggardly	 adj.  吝啬的， 小气的
genesis	 n.  起源
probate	 v.  检验遗嘱 n. 遗嘱；遗嘱检验
bumptious	 adj.  盲目自大的， 傲慢的
beseech	 v.  恳求； 哀求
subliminal	 adj.  下意识的； 潜在意识的
engrave	 vt.   雕刻；  铭记， 深印于 ， 铭刻
exhaustive	 adj.   详尽的， 无遗漏的， 彻底的
awkward	 adj.  笨拙的， 不灵活的； 棘手的； 尴尬的； 使用不便的
provincial	 adj.  省的， 州的； 狭隘的
glimmer	 n.  闪光
ruin	 v. 破产；堕落，毁灭 n.  毁灭， 崩溃； 废墟， 遗迹
leaven	 v.  使发酵
maudlin	 adj.  感情脆弱的
celebrate	 v.  庆祝， 祝贺
abut	 v.  领接， 毗邻
anemia	 n.  贫血， 贫血症
ultramontane	 adj.  山那边的  ； 阿尔卑斯山以南的
incommodious	 adj.  不便的， 偏促的， 狭窄的
rankle	 v.  激怒
geometric	 n.  几何级数， 等比级数
campaign	 vi.  参加活动， 从事活动； 作战 n. 战役；活动，竞选运动
salvage	 n.  抢救财物
vital	 adj.  生死攸关的， 重要的， 重大的； 生命的， 生机的
euphonious	 adj.  悦耳的， 声音和谐的
seethe	 v.  沸腾； 激动， 骚动
delusion	 n.  错觉
ebullience	 n.  奔放的； 兴高采烈的
barrister	 n.  律师； 法律顾问
derivative	 adj. 衍生的；无创意的 n.  衍生物
amateur	 adj.  业余的 n. 业余活动者
condemn	 v.  谴责， 指责； 判刑， 宣告有罪
lexicographer	 n.  词典编纂者
fallacious	 adj.  谬误的； 虚伪的； 使人误解的
causal	 adj.  原因的， 因果关系的
mansion	 n.  大厦， 官邸
summary	 n.  摘要， 概要
nickel	 n.  五分
offshoot	 n.  分支， 支流
akin	 adj.  近似的， 有关系的， 类似的
inebriate	 v.  灌醉
antedate	 v.  提前日期； 先于， 早于 n.  比正确日期早的日期
propaganda	 n.  宣传
ascetic	 adj.  苦行的； 禁欲主义的
dramatic	 adj.  戏剧的， 剧本的； 戏剧性的； 引人注目的； 突然的
archetype	 n.  原型
chastise	 v.  严惩， 惩罚
imaginary	 adj.  假想的， 想象的， 虚构的
bestial	 adj.  野兽的； 兽性的； 残忍的
venerable	 adj.  值得尊敬的
vaporize	 v.   蒸发
transcend	 vt.  超出， 超越  的范围
chronological	 adj.  编年史， 按年代顺序的
coerce	 v.  强制； 强迫
surcharge	 v.  额外收费 n. 额外费用
equestrian	 adj.  骑马的， 骑术的； 马的
sturdy	 adj.  强健的， 结实的
reasoning	 n.  推理
fable	 n.  寓言， 神话； 谎言
quixotic	 adj.  唐吉诃德式的； 狂想的
instill	 v.  慢慢地灌输
palatable	 adj.  美味的
photosynthesis	 n.  光合作用
politic	 adj.  精明的； 有策略的
profiteer	 n.  奸商， 乘机获暴利者
opportune	 adj.   凑巧的， 恰好的；  及时的， 适宜的
scathe	 v.  损伤， 损害， 伤害
dielectric	 n.  电介质
crest	 n.  波峰
profession	 n.  职业， 自由职业； 公开表示
deplore	 v.  表示悲痛
ecstatic	 adj.  欣喜若狂的， 入迷的， 出神的
botanize	 v.  研究植物； 采集植物
compress	 v.  压缩， 浓缩
resilient	 adj.  弹回的， 有回弹力的
cherish	 v.  珍爱； 怀抱
outlive	 v.  比…长命， 比…耐久； 经受住
resistance	 n.  反抗， 抵抗； 抵抗力
fallible	 adj.  易错的， 可能犯错的
occlude	 v.  使闭塞
spectrum	 n.  谱， 光谱， 频谱； 范围； 幅度
natal	 adj.  出生的， 诞生的
prolong	 v.  拉长， 延长
inhuman	 adj.  野蛮的
nuclei	 n.  核
remnant	 n.  残余部分， 剩余部分
linguistics	 n.  语言学
compressible	 adj.  可压缩的， 可压榨的
interlocutor	 n.  对话者
irksome	 adj.  令人厌恶的； 讨厌的
seize	 v.  抓住， 逮住； 夺取
nettle	 v.  刺激； 惹怒
privilege	 v.  给予优惠， 给予特权 n. 特权，优惠，特许
shroud	 v.  遮蔽； 隐藏
discontinue	 v.  停止， 中断
uniform	 adj.  一直不变的
amplitude	 n.  振幅
bountiful	 adj.  慷慨的； 宽大的； 大量的
blaze	 vi.  燃烧， 冒火焰； 照耀， 发光 n. 火焰；光辉
meager	 adj.  缺乏的
belabor	 vt.  过分冗长地讨论； 痛打； 辱骂
scatter	 v.  分散， 散开； 撒开， 驱散
polarization	 n.  偏振
collective	 adj.  集体的 n. 集体
pheromone	 n.  外激素
wherever	 adv.  无论那里； 无论什么情况下
delineate	 v.  描绘
innocuous	 adj.  无害的； 无毒的
innate	 adj.  先天的， 天生的
siege	 n.  包围， 围困
gratify	 v.  使满意， 使高兴； 纵容
abstract	 v. 摘要，提炼 adj.  抽象的； 深奥的； 理论的 n. 摘要，概要，抽象
liquid	 n.  液体
anonymous	 adj.  匿名的； 无名的； 无特色的
vivacious	 adj.  活泼的， 快活的
fake	 adj. 假的，冒充的 n. 假货，赝品；骗子，冒充者 vt.  伪造， 捏造； 伪装
egocentric	 adj.  自我中心的， 自私自利的
nonplus	 v.  使困惑
impurity	 n.  杂质
bizarre	 adj.  古怪可笑的； 奇异的
docile	 adj.  听话的， 温顺的
abridgement	 n.  删节， 节略
ascribe	 vt.  归因于， 归咎于
minority	 n.  少数； 少数派； 少数民族
stringent	 adj.  严厉的； 迫切的
space	 n.  空间
preferable	 adj.  更可取的， 更好的
cauterize	 vt.  烧灼， 烙； 使麻木不仁
arrange	 v.  整理； 排列； 布置； 安排； 筹备
litmus	 n.  石蕊
recuperate	 v.  复原， 恢复
exponent	 n.  指数
circuitous	 adj.  迂回线路的， 不直接的
commitment	 n.  委任； 许诺
fossil	 n.  化石
jocular	 adj.  诙谐的； 打趣的
disciple	 n.  信徒， 门徒； 追随者
munificent	 adj.  宽宏的， 慷慨的
autocratic	 adj.  独裁的， 专制的
collision	 n.  碰撞
arbiter	 n.  仲裁者
calorie	 n.  卡路里  ， 大卡
predicament	 n.  困境
slogan	 n.  标语， 口号
bosom	 n.  胸部， 胸
acerbic	 adj.  酸的； 尖刻的
aforesaid	 adj.  上述的， 前述的
inefficacious	 adj.  无效力的， 无用的
unwitting	 adj.  不知情的
trite	 adj.  陈腐的
deportment	 n.  行为， 举止
ingrate	 n.  忘恩负义者
frequent	 adj.  时常发生的； 频繁的； 常见的
stymie	 v.  从中作梗， 完全妨碍
interact	 vi.  互相作用， 互相影响
outright	 a& ad.  直率  地， 痛快  地； 全部  地
error	 n.  误差
superintend	 v.  主管， 指挥， 监督
network	 n.  网状物； 广播网， 电视网； 网络
ocular	 adj.  眼睛的； 视觉的
aggregate	 v.  聚集， 集合； 合计
forsake	 v.  放弃， 抛弃
rust	 v.  生锈
pomp	 n.  壮观； 盛况； 炫耀
complicity	 n.  同谋， 共犯
nominee	 n.  被提名的人， 被任命者
discriminate	 v.  区别， 辨别； 有差别地对待， 歧视
camouflage	 n. 伪装 vt.  伪装
account for	 对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
annex	 v.  并吞， 附加 n. 附件
potentate	 n.  君主， 统治者
procure	 v.  取得， 获得
monetary	 adj.  金融的， 货币的
quantity	 n.  量， 数量
argumentation	 n.  论证
antitoxin	 n.  抗毒素
stifle	 v.  使窒息； 扼杀， 抑制
bacchanalia	 n.    酒神节； 狂饮作乐
demolish	 v.  毁坏， 破坏； 推翻， 粉碎
artificial fertilization	 n. 人工受精；[畜牧] 人工授精
round	 v.  四舍五入
ambassador	 n.  大使
transfigure	 v.  美化
sanctimonious	 adj.  假装神圣的
misinterpret	 v.  曲解
unsettle	 v.  使不安
eyepiece	 n.  接目镜
vague	 adj.  不明确的， 含糊的
juridical	 adj.  法律上的
resplendent	 adj.  灿烂的； 光辉的； 华丽的
ion	 n.  离子
ephemeral	 adj.  朝生暮死的； 短暂的， 短命的
braggart	 n.  吹牛者
impunity	 n.  不受惩罚
probation	 n.  试用； 见习； 鉴定， 检验； 缓刑
precipice	 n.  悬崖； 危急的处境
graduate	 n.  量筒， 量杯； 一量筒或量杯的量
unanimous	 adj.  全体一致的， 一致同意的
thermal	 adj.  热的， 由热造成的； 保暖的
orifice	 n.  孔， 口
sulfur	 n.  硫
rag	 v.  揶揄， 戏弄， 欺负 n. 抹布；破旧衣服
ablution	 n.  清洗
diagnostic	 adj.  诊断的
grief	 n.  悲伤， 悲痛； 悲伤的事， 悲痛的缘由
navigate	 v.  航行， 航海； 导航； 驾驶； 横渡； 〈喻〉设法穿越
culpable	 adj.  该谴责的
excellent	 adj.  卓越的， 极好的
ray	 n.  射线
moratorium	 n.  延期偿付
wizen	 adj.  枯萎或皱缩的
gainsay	 v.  否认； 反对
untimely	 adj.  不适时的， 不合时宜的
nationality	 n.  国籍， 民族
artful	 adj.  巧妙的， 狡猾的
harangue	 n.  长篇大论， 滔滔不绝的高声训斥
endure	 v.  忍受， 容忍， 持久， 持续
feign	 v.  装作， 假装； 伪造， 捏造， 杜撰
jerky	 adj.  急拉的， 急动急停的
rhetorical	 adj.  修辞学的
primer	 n.  初级读本
essence	 n.  本质， 实质
ornamental	 adj.  装饰性的
prowess	 n.  英勇； 非凡的能力
sentimental	 adj.  情感上的； 多愁善感的
bulbous	 adj.  球根的， 球根状的， 球根长成的
maneuver	 v.  调遣； 换防
indiscernible	 adj.  难识别的， 看不见的
omnipotent	 adj.  全能的
begrudge	 vt.  羡慕； 舍不得给
dual	 adj.  双的， 二重的， 双重的
vocabulary	 n.  词汇， 词汇量； 词汇表
treatise	 n.  论文； 论述
hirsute	 adj.  多毛的； 有鬃毛的
cupidity	 n.  贪心， 贪婪
efface	 v.  抹掉
vegetarian	 n.  素食主义者
aggressive	 adj.  侵略的， 好斗的； 敢作敢为的， 有进取心的； 积极的； 强有力的
resilience	 n.  弹回， 有弹力， 恢复力
ire	 n.  愤怒
pathos	 n.  痛苦， 感伤； 悲悯， 同情
irk	 v.  使厌倦； 使苦恼
mitigate	 v.  减轻
succinct	 adj.  简洁的
reconciliation	 n.  和解， 调和， 和谐一致
disdain	 n.  轻蔑
stratum	 n. 岩层；地层
overt	 adj.  公然的
invasion	 n.  侵入， 侵略
precedent	 n.  先例， 范例， 惯例
dissect	 v.  解剖； 仔细研究
pulley	 n.  滑轮
concordant	 adj.  协调的； 一致的
loquacious	 adj.  多话的
malaise	 n.  不舒服
scour	 v.  擦洗； 冲刷
persuasive	 adj.  善说服的
inculpable	 adj.  无罪的
numeration	 n.  计算， 编号
centenary	 adj.  百年的 n. 百年
rural	 adj.  农村的
demise	 n.  死亡
acclaim	 v.  欢呼， 称赞； 欢呼着同意 n. 称赞，欢迎
laxative	 adj.  通便的
pandemic	 adj.  大范围流行的
languor	 n.  身心疲惫
acid	 n.  酸
transmission	 n.  播送， 发射； 传动， 传送， 传播， 传染
paroxysm	 n.  发作； 突发
negligence	 n.  疏忽
dubious	 adj.  有问题的， 靠不住的；  怀疑的； 犹豫不决的； 半信半疑的， 可疑的
intuition	 n.  直觉
swift	 adj.  快速的， 敏捷的
ductile	 adj.  易延展的； 易教导的
add	 v.  加
liquidate	 v.  清算
accede	 vi.  同意； 即位， 继任
ratify	 v.  批准
effulgence	 n.  光辉， 灿烂
vivify	 v.  给予生气， 使复生； 使生动， 使活跃
abstemious	 adj.  有节制的  ； 节约的
amend	 v.  修改， 修正
finite	 adj.  有限的；  限定的
carbon monoxide	 n. 一氧化碳
constructive	 adj.  建设性的
propitious	 adj.  吉利的； 顺利的
tantrum	 n.  发脾气
nullify	 v.  使无效
benevolent	 adj.  慈善的
ado	 n.  纷扰； 忙乱
purloin	 v.  偷窃， 盗取
fusion	 n.  融熔
carnivore	 n.  食肉动物
pharmacy	 n.  药房； 药剂学； 配药业， 制药业
upheave	 v.  举起， 推上去使上升， 隆起
adjustment	 n.  调节
rationalization	 n.  合理化
reproductive system	 [解剖] 生殖系统；繁殖方式
treachery	 n.  背叛， 反叛
aborigine	 n.  土著居民
benevolence	 n.  仁爱心； 善行
disinfect	 v.  消毒
expiate	 v.  赎罪； 补偿
perjure	 v.  发假誓， 作伪证
grandeur	 n.  庄严， 宏伟， 壮观
laser	 n.  激光； 激光器
mixture	 n.  混合物
scope	 n.   范围； 机会， 余地
stratify	 vt.  使成层， 使分层； 使形成阶层
archaeology	 n.  考古学
enumerate	 v.  数， 点； 枚举， 列举
morale	 n.  士气， 民心
expatriate	 v.  逐出国外
estrange	 v.  疏远
embrace	 v.  拥抱； 包含
intersect	 v.  直线相交
breech	 n.  臀部
assailant	 n.  攻击者
nitrogen	 n.  氮
judicious	 adj.  明智的； 审慎的
denude	 v.  使裸露； 剥夺
vermin	 n.  害虫， 害兽， 寄生虫
modify	 vt.  更改， 修改， 改造， 修饰
steadfast	 adj.  稳定的； 坚定的， 忠实的
effusive	 adj.  过分热情的
mariner	 n.  水手
villainous	 adj.  恶毒的， 缺德的
detest	 v.  厌恶， 憎恨
exempt	 adj.  被免除  的， 被豁免的 vt. 免除，豁免
theorize	 v.  建立理论， 理论化
reservoir	 n.  水库， 蓄水池
fawn	 v.  奉承， 讨好
albeit	 conj.  虽然
aesthetic	 adj.  美学的， 艺术的； 审美的
incongruous	 adj.  不调和的； 不适宜的
tendency	 n.  趋向， 趋势
furbish	 v.  擦亮； 磨光
caption	 n. 标题 vt.  加上标题； 加上说明
arithmetic	 n.  算术
knighthood	 n.  骑士身份， 骑士风格， 侠义精神
variation	 n.  变化， 变动； 变种， 变异
subconscious	 adj.  下意识的
carbohydrate	 n.  糖类
chateau	 n.  城堡； 别墅
codicil	 n.  遗嘱的附录； 附录
eject	 v.  喷射， 排出； 驱逐
defect	 n.  缺陷
odds	 n.  事物发生的可能性， 机会
acme	 n.  顶点， 顶端
casual	 adj.  偶然的； 临时的
incomprehensible	 adj.  不能理解的
rebut	 v.  反驳； 揭穿
morass	 n.  沼泽； 困境
rhombus	 n.  菱形
telepathy	 n.  心灵感应， 感应
captious	 adj.  吹毛求疵的； 挑剔的
frenetic	 adj.  发狂的； 狂热的
nonchalant	 adj.  冷淡的
shrubbery	 n.  灌木林
script	 n.  剧本， 广播稿； 文字体系； 笔迹， 手迹
guise	 n.  外观， 装束； 伪装， 假装
likelihood	 n.  可能， 可能性
reactionary	 adj.  反作用的， 反动的
imprudent	 adj.  不谨慎的； 轻率的
drastic	 adj.  激烈的；  猛烈的
venial	 adj.  可宽恕的
innovate	 vi.  革新， 创新
vaporization	 n.  蒸发
accommodate	 v.  留宿， 收容； 供应， 供给； 调和， 适应
tenacity	 n.  坚韧
protagonist	 n.  领导者； 积极参加者
assertion	 n.  主张； 断言， 声明
prevaricate	 v.  支吾； 说谎
outcome	 n.  结果， 成果
polar	 adj.  地极的， 近地极的； 磁极的
synthesis	 n.  综合； 合成
advertiser	 n.  登广告者； 广告客户
cryptic	 adj.  秘密的， 含义模糊的
circumspect	 adj.  慎重的； 周到的
synopsis	 n.  大纲
meditate	 v. 沉思，冥想；反省；考虑；策划 vt.  内心策划
tribulation	 n.  苦难， 磨难
prototype	 n.  原型； 标准； 模范
demographic	 adj.  人口统计学的
recollect	 v.  回忆， 想起， 记起
acne	 n.  【医】痤疮， 粉刺
altercation	 n.  争论， 口角
cite	 v.  引用， 引证
acquaintance	 n.  相识， 熟人
atom	 n.  原子
bethink	 v.  想起
infamous	 adj.  声名狼藉的
prosaic	 adj.  散文的， 散文体的； 乏味的， 平凡的
fledgling	 n.  羽毛初长的雏鸟， 刚会飞的幼鸟； 无经验的人
precision	 n.  准确， 精确； 精确度
viceroy	 n.  总督
assertive	 adj.  断言的， 肯定的
larvae	 n.  幼虫
tolerable	 adj.  可容忍的； 可以的， 尚好的
body	 n.  物体
mode	 n.  众数
elapse	 vi.   消逝， 流逝
symmetry	 n.  对称  ； 匀称， 整齐
acrimony	 n.  刻毒； 讽刺； 毒辣
nemesis	 n.  报应； 复仇女神
retouch	 v.  润饰
buffer	 n.  缓冲器
bristle	 v.   竖起； 发怒 n. 刚毛，猪鬃
complement	 n. 补足物 vt.  补助， 补足
qualify	 v.   具有资格， 证明合格； 限制， 限定； 修饰
abhorrence	 n.  痛恨， 憎恶
adhere	 v.  黏附， 胶着； 坚持
vapid	 adj.  索然乏味的
sediment	 n.  沉淀物， 沉积物
tremulous	 adj.  震颤的； 颤抖的
unit	 n.  单位
panorama	 n.  全景； 概括， 综述
contemporary	 adj.  现代的， 当代的； 同时代的
substantive	 adj.  独立存在的； 真实的， 有实质的； 大量的， 巨额的
scowl	 v.  皱眉头
vermicide	 n.  驱虫剂， 打虫药
mock	 v. 嘲笑，讥笑 adj. 仿制的，假装的；模拟的，演习的 n.  模拟考试
archipelago	 n.  群岛； 多岛屿的海
territorial	 adj.  领土的
sensor	 n.  传感器
cathode	 n.  阴极
credence	 n.  信用， 信任
facilitate	 v.  使变得  容易， 使便利
rob	 v.  抢夺， 抢掠； 剥夺
verdant	 adj.  翠绿的， 青翠的； 生疏的， 没有经验的
accession	 n.  就职； 添加物， 增加物
buoyancy	 n.  浮性
rebellious	 adj.  谋反的， 反叛的； 反抗的； 难控制的
tacit	 adj.  默许的
demagoguery	 n.  煽动群众者
ration	 v.  配给， 分发， 实行定量配给 n. 定量，配给量；定量配给
predict	 v.  预言， 预测， 预告
linchpin	 n.  关键
undermine	 v.  暗中破坏， 逐渐削弱； 侵蚀…的基础
gloaming	 n.  黄昏；薄暮
subjective	 adj.  主观的
radical	 adj. 基本的，重要的；激进的，极端的；根本的 n.  根号， 根式
blunt	 adj.  钝的； 不敏感的； 坦诚的， 直率的
contingent	 adj.  可能发生的
hoary	 adj.   灰白的； 古老的， 古色古香的
reck	 v.  顾虑
minute	 adj.  微小的 n. 分，分钟；笔记；会议记录 vt. 记录，摘要
analogy	 n.  比拟， 类比
acerbity	 n.  涩， 酸； 刻薄
transcendent	 adj.  卓越的， 出众的
redolent	 adj.  芬芳的
milestone	 n.  里程碑， 里程标； 重要事件， 转折点
productive	 adj.  生产  的； 能产的， 多产的
reliant	 adj.  信赖的， 依靠的
outburst	 n.   爆发， 突发
hypothesis	 n.  假说， 假设， 前提
collapse	 v.  倒塌， 崩溃； 虚脱
profuse	 adj.  极其丰富的； 奢侈的
comprehend	 v.  理解， 了解
multiplicity	 n.  多样性
synchronous	 adj.  同时的
paraphrase	 v.  解释， 释义
battalion	 n.  军营； 军队
ribaldry	 n.  下流， 下流的话
bronchus	 n.  【解】 支气管
altar	 n.  祭坛，  圣坛；  讲坛
protein	 n.  蛋白质
modicum	 n.  少量， 一点点
immune system	 n. 〔身体的〕免疫系统
annual	 adj.  一年一次的， 每年的； 一年生的 n. 一年生植物；年刊，年鉴
exclusive	 adj.  专有的， 独占的； 除外的， 排他的
demur	 v.  犹豫不决
sequacious	 adj.  盲从的
poverty	 n.  贫穷； 缺少， 贫乏， 不足；  贫瘠
dwindle	 v.  减少； 缩小
perplexing	 adj.  复杂的， 令人困惑的
tarnish	 v.  失去光泽
inchoate	 adj.  未形成的， 不完全的， 早期的
testament	 n.  作为确实的证据或实证的事物； 遗嘱
mount	 v. 登上，爬上；安装，装配，固定，镶嵌 n.  支架， 底座， 底板； 山峰
acquiesce	 vi.  默许， 勉强同意
auspice	 n.  预兆， 吉兆；  占卜； 赞助； 支持
hodgepodge	 n.  大杂烩
telescope	 v.  压缩 n. 望远镜
requital	 n.  报酬； 报复
aqueous	 adj.  水的； 水般的
photography	 n.  照相术
accuse	 v.  控告， 谴责， 非难
visceral	 adj.  内脏的； 出自内心的
accentuate	 v.  着重强调
autocracy	 n.  独裁政治； 独裁政府
mutilate	 v.  毁伤
forthright	 adj.  直率的； 径直的
voluptuous	 adj.  性感的； 纵欲的
impotent	 adj.  无力的， 虚弱的； 无效的
algebra	 n.  代数学
aristocracy	 n.  贵族； 贵族政府； 贵族统治
espouse	 v.  嫁娶； 支持， 赞成
inspiring	 adj.  灌输的； 鼓舞的
acquire	 vt.  取得， 获得； 学到
fertile	 adj.  肥沃的， 富饶的； 能繁殖的
diversity	 n.  差异； 多样性
arc	 n.  弧， 圆周的任意一段
auricular	 n.  耳的； 耳状的
dividend	 n.  被除数
abstruse	 adj.  奥妙的， 深奥的
retard	 v.  延迟， 使减速
esteem	 n. 尊敬，敬重 v. 尊敬，敬重
acclivity	 n.  向上的斜坡
outweigh	 v.   超过
obfuscate	 v.  使模糊； 使混乱
decimal point	 n.  小数点
vociferate	 v.  大叫， 喊叫
antemundane	 adj.  世界形成以前的
collagen	 n.  胶原蛋白
miserly	 adj.  吝啬的， 贪婪的
empower	 v.  授权， 准许
suppress	 v.  镇压， 压制； 抑制， 忍住
ownership	 n.  所有 ， 所有制
tumor	 n.  肿瘤
ossify	 v.  使骨化； 使硬化
fulsome	 adj.   因过分而显得可厌的
serene	 adj.  安定的， 没有风波的； 沉着的， 沉静的， 安详的
fabulous	 adj.  极好的， 极妙的； 寓言般的， 神话般的； 惊人的， 难以置信的
dilemma	 n.   窘境， 困境
solace	 v.  安慰； 平息； 抚慰
belated	 adj.  误期的； 迟来的
rue	 v.  后悔， 懊悔
seditious	 adj.  煽动的； 煽动叛变的
disregard	 v.  不理， 不顾； 蔑视
lifetime	 n.  一生， 终身
cant	 v.  使倾斜； 倾斜 n. 伪善之言；隐语，行话；斜面
enact	 v.  制定法律， 颁布
indiscreet	 adj.  不慎重的， 轻率的
treacherous	 adj.  背叛的， 背信弃义的
scrutinize	 v.  细察
extinguish	 v.  熄灭 ， 消灭， 扑灭； 结束； 使失色， 使黯然
aeronautics	 n.  航空学； 航空术
vulnerable	 adj.  易受伤害的， 易受攻击的
affiliation	 n.   隶属关系； 隶属， 从属
defraud	 v.  欺骗
molt	 v.  脱毛；换毛
subjugate	 v.  征服， 镇压
piteous	 adj.  哀怨的， 可怜的
donate	 v.  捐赠， 赠送
deplete	 v.  耗尽； 使衰竭
recurrent	 adj.  再发生的， 周期性发生的， 循环的
bonanza	 n.  富矿带； 致富之源， 幸运
egregious	 adj.  异乎寻常的； 震惊的； 极坏的
sanguine	 adj.  血红的； 红润的； 乐观的， 怀有希望的
bole	 n.  树干， 树身
significant	 adj.  有意义的， 意味深长的； 重要的， 重大的； 非偶然的
consecrate	 v.  用作祭祀， 献给， 使神圣
complaisant	 adj.  彬彬有礼的， 殷勤的； 柔顺的
derisive	 adj.  嘲笑的， 可付之一笑的
catalogue	 n.  目录； 目录册
glycerol	 n.  甘油
agitation	 n.  煽动； 搅动； 使不安
overlap	 v.  部分重叠， 部分搭交
debase	 vt.  降低， 贬损
assassinate	 vt.  暗杀， 行刺； 中伤
forbearance	 n.  自制， 忍耐
complaisance	 n.  彬彬有礼； 殷勤
boon	 n.  恩惠； 实惠； 利益
distance	 n.  距离
abstain	 vi.  禁绝， 放弃
absence	 n.  不在场， 缺席； 缺乏， 没有
malicious	 adj.  怀恶意的， 恶毒的
vigilance	 n.  警戒； 警惕
surrogate	 n.  代理者； 代用品
outrageous	 adj.  蛮横的， 残暴的； 无耻的， 可恶的
solicitous	 adj.  热切的； 期望的
analogous	 adj.  类似的， 相似的； 可比拟的
abbreviate	 v.  缩写， 缩短， 简化
anticlimax	 n.  突降法， 突减； 虎头蛇尾
equivocate	 v.  说模棱两可的话； 支吾
adherent	 n.  信徒， 追随者， 拥护者
lavish	 adj.  非常大方的； 过分丰富的； 浪费的
grimy	 adj.  污秽的
approbation	 n.  官方批准； 认可， 嘉许
clarification	 n.  澄清
monk	 n.  和尚； 僧侣； 修道士
bond	 n.  原子的聚合
convoke	 v.  召集
discourse	 n. 〔关于某个主题的〕演讲，论述，著述
momentum	 n.  动量
obstruct	 vt.  阻塞， 截断， 堵塞； 阻碍， 阻止， 妨碍
oust	 v.  剥夺， 取代， 驱逐
octagon	 n.  八边形
ardor	 n.  热情
labyrinth	 n.  迷路， 迷宫； 难解的事物； 【解】  迷路
aquatic	 adj.  水的， 水上的； 水生的， 水栖的
kiosk	 n.  亭子
sequent	 adj.  接续而来的
symbolize	 v.  象征， 作为…的象征
cerebration	 n.  用脑， 思考
commotion	 n.  骚动； 暴乱
bounce	 v. （使）弹起，（使）反弹，（使）弹跳 n. 跳起，弹回，反弹
usage	 n.  用法， 惯用法
ammonia	 n.  氨
proficiency	 n.  熟练， 精通
oxidizer	 n.  氧化剂
anxious	 adj.  担忧的； 渴望的， 盼望的
drudgery	 n.  苦差事， 苦工
auditory	 adj.  耳的； 听觉的
monition	 n.  忠告； 警告
serendipity	 n.  意外发现珍奇  事物的本领
apothecary	 n.  药剂师； 药材商
olfactory	 adj.  嗅觉的
severely	 adv.  严格地， 激烈地
feint	 n.  伪装， 假装， 佯攻
elevate	 v.  举起， 提高， 抬高； 提升， 提拔； 使精神振奋， 使兴高采烈
designate	 v.  指明， 指出， 任命， 指派
slick	 adj.  光滑的； 熟练的
oppressive	 adj.  压制性的， 压迫的， 沉重的； 难以忍受的
generation	 n.  产生， 发生； 生殖， 生育； 一代人， 世代
humiliate	 vt.  使屈辱， 使丢脸
superintendent	 n.  主管， 负责人， 指挥者， 管理者
sulfur disoxide	 n. 二氧化硫
calculable	 adj.  可计算的； 能预测的
