access	v. 获取 n. 接近，入口
commitment	 n. 承诺， 许诺， 保证； 信奉， 献身； 承担的义务
spade	 n. 铲， 铁锹
manufacture	 vt. 制造，加工 n. 制造， 制造业
sequence	 n. 连续， 接续， 一连串； 次序， 顺序
collision	 n. 碰撞； 冲突， 抵触
qualification	 n. 资格， 资格证明， 合格证书； 限制， 限定
provision	 n. 供应； 准备； 条款， 规定； 给养， 口粮
recruit	 vt. 招募，吸收 n. 新兵； 新成员
thrust	 vt. 插；戳，刺 n. 戳， 刺； 要点， 要旨； 推力
fame	 n. 名声， 名望
replacement	 n. 代替， 取代； 更换， 调换； 替代的人
mud	 n. 泥， 泥浆
mug	 n. 大杯 vt. 对…行凶抢劫
pond	 n. 池塘
arrival	 n. 到达， 到来； 到达者， 到达物
scientific	 adj. 科学的
frequent	 adj. 时常发生的，常见的 v. 常到， 常去
according	 adj. 相等的， 一致的， 依…而定的
insure	 vt. 为…投保； 确保
powder	 n. 粉， 粉末
membership	 n. 会员身份， 会籍； 全体会员， 会员数
error	 n. 错误， 谬误， 差错
platform	 n. 平台， 站台， 讲台； 纲领， 宣言
network	 n. 网状物； 广播网， 电视网； 网络
jealous	 adj. 妒忌的， 猜疑的； 精心守护的
rust	 v. 生锈， 氧化 n. 铁锈
trace	 n. 痕迹；丝毫，少许 vt. 跟踪； 追溯； 描摹
Negro	 n. 黑人
modernization	 n. 现代化
grave	 adj. 严重的； 严肃的 n. 坟墓
criminology	 n. 犯罪学， 刑事学
advantage	 n. 优点， 优势， 好处
assistant	 adj. 助理的， 辅助的 n. 助手，助理，助教
inn	 n. 小旅店， 小酒店
instead	 adv. 作为替代； 却， 反而
controversy	 n. 争论， 辩论
command	 vt. 命令， 指挥， 控制
newsstand	 n. 报摊， 杂志摊
worthless	 adj. 无价值的， 无用的
performance	 n. 演出； 执行， 完成； 工作情况， 表现； 工作性能
dessert	 n. 甜食， 点心
ambassador	 n. 大使， 使节， 派驻国际组织的代表
anticipate	 vt. 预料， 预期， 期望； 先于…行动； 提前使用
variable	 adj. 易变的 n. 变量
temple	 n. 圣堂， 神殿， 庙宇
growth	 n. 增长， 增长量； 生长， 生长物
landscape	 n. 风景，景色；风景画；全景 vt. 美化…的景观
weave	 v. 织， 编
carrot	 n. 胡萝卜
normally	 adv. 通常； 正常地
exception	 n. 例外， 除外
vague	 adj. 模糊的， 含糊的
temporary	 adj. 暂时的， 临时的
fare	 vi. 进展 n. 车费，船费，票价
desperate	 adj. 拼死的， 不顾一切的； 绝望的； 极需要的
leading	 adj. 指导的， 带头的； 最主要的； 饰演主角的
awful	 adj. 令人不愉快的， 难过的； 非常的， 极大的
accuracy	 n. 准确， 精确
handy	 adj. 手边的， 便于使用的
urge	 vt. 鼓励；推进，催促；竭力主张，强烈要求 n. 冲动， 强烈的欲望
resolution	 n. 正式决定， 决议； 决心， 决意； 解决， 解答； 分辨率， 清晰度
via	 prep. 经过， 通过
setting	 n. 环境， 背景， 布景； 调节， 设定的位置
score	 v. 得， 给…打分； 画线于， 做记号于； 赢得 n. 得分，比数，成绩；二十
quote	 vt. 引用，援引 n. 引文， 引语； 报价， 牌价； 引号
graduate	 adj. 研究生的 v. 毕业 n. 毕业生；研究生
famine	 n. 饥荒； 严重的缺乏
gramme	 n. gram的英式拼法
absent	 adj. 缺席的， 不在场的； 缺乏的， 不存在的； 心不在焉的
rag	 n. 破布， 碎布； 破旧衣服
visual	 adj. 看得见的 n. 视觉资料
understanding	 adj. 体谅的， 宽容的， 通情达理的 n. 理解，理解力；谅解；协议；相互理解，融洽
empire	 n. 帝国
educate	 vt. 教育， 培养， 训练
fairy	 n. 小精灵， 小仙子
ashamed	 adj. 惭愧的， 羞耻的， 害臊的
instruct	 vt. 指示， 命令； 通知； 教授， 训练
rat	 n. 鼠
mayor	 n. 市长
virtually	 adv. 实际上， 事实上
fairly	 adv. 相当， 尚可， 还； 公平地
handwriting	 n. 笔迹， 手迹； 书法
merchant	 n. 商人
raw	 adj. 自然状态的， 未加工过的； 生的； 未经分析的， 原始的； 生疏无知的， 未经训练的； 露肉而刺痛的
proportional	 adj. 比例的， 成比例的
economy	 n. 经济； 节约， 节省
community	 n. 社区， 社会， 公社； 团体， 界； 群落
packet	 n. 小包， 小盒
version	 n. 译本； 说法； 改写本
airport	 n. 机场， 航空港
courtyard	 n. 庭院， 院子
nationality	 n. 国籍； 民族
selection	 n. 选择， 挑选； 被挑选出来的人， 精选品； 可供选择的东西
institute	 n. 研究所，学院 vt. 建立， 设立
aboard	 adv&prep. 在船上， 上船
endure	 v. 忍受， 容忍； 持久， 持续
detail	 n. 细节，枝节；零件 vt. 详细说明
shortly	 adv. 立刻， 不久； 不耐烦地； 简短地
hobby	 n. 业余爱好， 癖好
appropriate	 adj. 适当的， 恰当的
providing	 conj. 倘若
fate	 n. 命运， 天数
throat	 n. 咽喉， 喉咙； 嗓音
utility	 n. 效用， 有用， 实用； 公用事业
immediately	 adv. 立即， 马上； 直接地， 紧接地
manual	 adj. 用手的；手工做的 n. 手册， 指南
measurement	 n. 衡量， 测量； 尺寸， 大小
optimistic	 adj. 乐观的， 乐观主义的
vocabulary	 n. 词汇表， 词汇， 语汇
retire	 vi. 退休， 退役； 退下， 退出， 撤退； 就寝
aspect	 n. 方面； 朝向， 方向； 样子， 外表
particle	 n. 粒子， 微粒； 小品词， 语助词
aggressive	 adj. 侵略的， 好斗的； 敢做敢为的； 有进取心的
behavior	 n. 行为， 举止， 表现
musician	 n. 音乐家， 乐师
minimize	 vt. 将…减少； 最小化
descend	 vi. 下来， 下降； 下倾
saint	 n. 圣徒； 圣人， 道德高尚的人； [用于人名或地名等前]圣
density	 n. 密集， 稠密； 密度
logical	 adj. 逻辑的， 合乎常理的
oblige	 vt. 迫使； 施恩于， 帮…的忙； 使感激
slam	 v. 砰地关上；猛力拉，砰地放下；猛烈抨击 n. 砰的一声
characterize	 vt. 成为…的特征， 以…为特征； 描绘的特性， 描述
swing	 v. 摇摆，回转；突然转向 n. 摇摆； 秋千
ridiculous	 adj. 荒谬的， 可笑的
handbag	 n. 手提包
invasion	 n. 入侵， 侵略， 侵犯
spin	 v. 旋转；晕眩；纺，织；绞干，甩干 n. 旋转， 自转
severe	 adj. 严重的； 严厉的， 严格的； 严峻的， 艰难的； 朴素的， 不加装饰的
emerge	 vi. 出现， 涌现， 冒出
shallow	 adj. 浅的；浅薄的 n. 浅滩， 浅水处
lease	 n. 租约，租契 vt. 出租； 租得， 租有
exploit	 vt. 剥削； 利用； 开拓 n. 业绩， 功绩
slap	 vt. 掴，掌击，拍；啪的一声放 n. 掴， 掌击， 拍
spit	 v. 吐唾沫，吐出 n. 唾沫， 唾液
scout	 v. 侦察， 寻找 n. 侦察员，侦察机，侦察舰；童子军
anniversary	 n. 周年纪念日
register	 v. 登记， 注册； 指示， 自动记下； 流露； 表示， 表达； 把挂号 n. 登记；登记表
restless	 adj. 焦躁不安的； 静不下来的， 运动不止的
persuasive	 adj. 劝诱的； 有说服力的
fleet	 n. 舰队， 船队
communicate	 v. 通讯； 交际， 交流； 连接， 相通； 传达， 传播； 传染
evidence	 n. 根据， 证据； 证人
saddle	 n. 鞍，鞍状物；车座 vt. 给…装鞍； 使承担任务
rural	 adj. 农村的， 乡村的
official	 adj. 官员的；官方的，正式的 n. 官员， 行政人员， 高级人员
historical	 adj. 历史的， 有关历史的
repetition	 n. 重复， 反复
fortunately	 adv. 幸运地； 幸亏
acid	 adj. 酸的， 酸性的 n. 酸
transmission	 n. 传播， 发射； 传送， 传递； 传染
shortage	 n. 不足， 缺少
discrimination	 n. 区别， 辨别； 识别力； 差别对待， 歧视
female	 adj. 雌的； 女的 n. 雌性动物；女子
microphone	 n. 扩音器， 话筒， 麦克风
swift	 adj. 快的； 反应快的； 敏捷的
surrender	 n&v. 交出， 放弃； 投降
faint	 adj. 不清楚的，模糊的 v. 晕倒，昏厥 n. 昏厥
world-wide	 adj. 遍及全球的
minister	 n. 部长， 大臣； 公使， 外交使节； 牧师
pose	 vi. 摆姿势；假装，装腔作势 vt. 使摆好姿势；造成，引起；提出，陈述 n. 样子， 姿势
remedy	 n. 补救办法，纠正办法；药品；治疗法 vt. 补救， 纠正； 医治， 治疗
jail	 n. 监狱，看守所 vt. 监禁， 拘留； 塞满； 卡住； 干扰
consent	 vi. 同意 n. 同意，赞成
insist	 v. 坚持， 坚决认为； 坚持要求
typewriter	 n. 打字机
helpless	 adj. 无助的； 无能的； 无法抗拒的
respect	 n. 尊敬；尊重；问候；方面 vt. 尊敬； 尊重
volume	 n. 卷， 册， 书卷； 容积， 体积； 音量， 响度
retreat	 n&vi. 退却， 撤退； 退避， 退缩
ache	 vi. 疼痛；渴望 n. 疼痛
mutual	 adj. 相互的； 共同的
shell	 n. 壳，贝壳；外壳，框架；炮弹 vt. 剥…的壳； 炮击
guideline	 n. 指导方针， 准则
loose	 adj. 松的； 不精确的， 不严密的； 散漫的
therefore	 adv. 因此， 所以
exchange	 n&v. 交换； 交流； 兑换
hesitate	 vi. 犹豫， 踌躇； 含糊； 不情愿
rifle	 n. 来复枪， 步枪
private	 adj. 私人的；秘密的；私下的；私营的 n. 士兵， 列兵
baggage	 n. 行李
companion	 n. 同伴， 共事者； 伴侣
breakdown	 n. 垮， 衰竭； 损坏， 故障； 倒塌
paste	 n. 糊，糨糊 vt. 粘， 贴
overtake	 vt. 追上， 超过； 突然降临于， 意外地碰上
jeans	 n. 工装裤， 牛仔裤
overnight	 adv. 整夜， 通宵； 一夜间， 突然 adj. 一整夜的； 一夜间的， 突然的
behave	 v. 表现， 举止； 运转， 作出反应
stretch	 v. 伸展，延续；伸长，拉长；倾注全力；紧张 n. 一段时间， 一段路程， 连绵的一片； 伸展， 延伸
undo	 vt. 解开， 打开； 取消， 撤销
accomplish	 vt. 达到； 完成
laser	 n. 激光
mixture	 n. 混合， 混合物
engine	 n. 引擎， 发动机； 机车
responsible	 adj. 需负责任的， 承担责任的； 有责任感的， 负责可靠的； 责任重大的， 重要的
scope	 n. 范围； 余地， 机会
democratic	 adj. 民主的， 民主政体的
medal	 n. 奖牌， 奖章， 勋章
satellite	 n. 卫星， 人造卫星
bullet	 n. 枪弹， 子弹， 弹丸
recorder	 n. 录音机， 录像机； 记录装置， 记录仪
identify	 vi. 一致 vt. 认出，鉴定；把…等同于
embrace	 n. 拥抱，怀抱 vt. 拥抱； 包括； 包围
nitrogen	 n. 氮
pour	 v. 灌， 倒； 倾泻
label	 n. 标签；标记，符号 vt. 贴标签于； 把…称为
improvement	 n. 改进， 改善； 改进处
slippery	 adj. 滑的； 狡猾的
scissors	 n. 剪刀
significance	 n. 意义， 含义； 重要性， 重大
modify	 vt. 更改， 修改； 修饰
horizon	 n. 地平线； 眼界， 见识
environment	 n. 环境， 外界； 围绕
airplane	 n. 飞机
pledge	 n. 保证，誓言 vt. 保证， 许诺
progressive	 adj. 前进的； 渐进的； 进行式的
reservoir	 n. 水库， 蓄水池； 储藏， 汇集
deliberate	 adj. 故意的， 蓄意的； 慎重的， 深思熟虑的 v. 仔细考虑， 思考
swear	 v. 宣誓； 咒骂
atmosphere	 n. 大气， 空气； 气氛， 环境
decorate	 vt. 装饰， 装潢， 修饰
copyright	 n. 版权
biotechnology	 n. 生物工艺学
career	 n. 生涯， 职业， 经历
occupation	 n. 占领， 占据； 职业； 从事的活动， 消遣
tendency	 n. 趋向， 趋势， 倾向
release	 vt. 释放， 排放； 解除， 解脱； 放开， 松开； 发布； 发行
charter	 adj. 包租的， 租用的 n. 宪章，共同纲领；特许状，许可证；包租 vt. 包，租
slim	 adj. 苗条的；薄的；少的 v. 减轻体重， 变苗条
arithmetic	 n. 算术， 四则运算
rib	 n. 肋骨
faulty	 adj. 有错误的， 有缺点的
liberate	 vt. 解放， 释放
rid	 vt. 使摆脱， 解除…的负担， 从…中清除
variation	 n. 变化， 变动； 变异； 变奏
moral	 adj. 道德的，有道德的 n. 品行； 道德规范； 寓意
defect	 v. 变节， 叛变 n. 缺点， 缺陷， 欠缺
reinforce	 vt. 增强， 加强， 增援
explode	 vi. 爆炸； 激增； 发怒 vt. 使爆炸
casual	 adj. 偶然的； 非正式的； 临时的， 不定期的； 漠不关心的， 冷淡的
decline	 v. 下降， 减少； 衰退， 衰落； 谢绝， 拒绝 n. 下降，减少；衰退
property	 n. 财产， 所有物； 房产； 物业； 性质， 性能
succeeding	 adj. 以后的， 随后的
brave	 adj. 勇敢的； 华丽的
similar	 adj. 相似的， 类似的
viewpoint	 n. 观点， 看法， 见解
anyhow	 adv. 无论如何， 不管怎么说； 随随便便地， 杂乱无章地
specify	 vt. 指定； 详细说明
whistle	 v. 吹口哨， 鸣笛声； 呼啸而过 n. 口哨；呼啸而过
handle	 n. 柄，把手 vt. 拿， 触； 操作， 处理
forth	 adv. 向前； 向外， 往外
tough	 adj. 困难的， 难对付的； 坚强的， 能吃苦耐劳的； 健壮的； 坚硬的， 严格的； 老的， 硬的； 粗暴的， 充满暴力的
crossing	 n. 人行横道， 交叉口； 横渡
script	 n. 剧本， 广播稿； 书写用的字母； 笔迹， 手迹
submerge	 v. 淹没， 潜入水中
system	 n. 系统； 制度， 体制； 方法， 做法； 身体
compose	 vt. 组成， 构成； 创作， 为…谱曲； 使平静， 使镇静
spot	 n. 点，斑点；地点，处所；少量 vt. 认出， 发现； 玷污
roller	 n. 滚筒， 滚轴
partial	 adj. 部分的； 不公平的； 偏爱的， 偏袒的
aid	 n. 帮助； 救护； 助手； 辅助手段
tone	 n. 腔调， 语气； 音调； 风格， 气度； 色调， 明暗
confident	 adj. 确信的， 肯定的； 自信的
retain	 vt. 保留， 保持
swell	 vi. 膨胀，隆起；增长，增强，增多，扩大 n. 波浪起伏； 鼓起， 隆起； 增强
skilled	 adj. 有技能的； 熟练的； 需要技能的
local	 adj. 地方性的； 本地的； 局部的； 狭隘的
remind	 vt. 提醒， 使想起
crude	 adj. 简陋的， 天然的； 粗鲁的， 粗俗的
manufacturer	 n. 制造商； 制造厂
crew	 n. 全体船员； 一队工作人员
valid	 adj. 有效的； 正当的； 有根据的， 有理的
withstand	 vt. 抵挡， 反抗
defeat	 n&vt. 战胜， 挫败
vacuum	 v. 用吸尘器清扫 n. 真空；真空吸尘器
encourage	 vt. 鼓励， 怂恿； 促进， 助长， 激发
bubble	 vi. 冒泡； 沸腾 n. 泡
era	 n. 时代， 年代， 纪元
yield	 v. 出产；让出，放弃；屈服，顺从；倒塌，垮掉 n. 产量
electronic	 adj. 电子的 n. 电子学； 电子设备
vacation	 n. 假期， 休假
outcome	 n. 结果
elegant	 adj. 优美的， 文雅的， 讲究的； 简练的， 简洁的
tender	 adj. 嫩的；脆弱的；疼痛的，一触即痛的；温柔的 vt. 提出 n. 投标
curriculum	 n. 课程， 全部课程
meantime	 n. 其间， 同时
powerful	 adj. 强大的， 有力的， 有权的； 强壮的， 强健的
slip	 v. 滑跤，滑落，溜；下降，跌落；悄悄放进 n. 疏漏， 差错
species	 n. 种， 类
anchor	 v. 抛锚， 停泊； 把…系住， 使固定； 担任主持人； 固定， 扎根 n. 锚；给人安全感的物
preceding	 adj. 在前的， 在先的， 前面的
cite	 vt. 引用， 引证； 传唤， 传讯； 表彰， 嘉奖
logic	 n. 逻辑， 推理， 逻辑学
acquaintance	 n. 认识， 了解； 熟人
royal	 adj. 王室的， 皇家的
internship	 n. 实习生身份； 实习医师期
shed	 vt. 脱落，脱去；流出，流下；发出，散发 n. 棚， 小屋， 货棚
eyesight	 n. 视力， 目力
precision	 n. 精确， 精密
glove	 n. 手套
screen	 n. 屏幕，银幕；屏风；帘，纱窗 vt. 掩蔽， 遮蔽； 放映， 播放； 审查， 甄别
naked	 adj. 裸体的； 无遮蔽的
trial	 n. 试， 试验； 审判； 讨厌的人
correspond	 vi. 相符合， 相当； 通信
spur	 n. 刺激物 vt. 刺激， 鞭策， 激励
perception	 n. 感知， 觉察； 认识， 观念， 看法
rear	 adj. 后部的，背后的 n. 后部，背面；后方 vt. 抚养， 饲养； 种植
amongst	 prep. 在…之中
undertake	 vt. 从事； 承担； 同意； 保证
insect	 n. 昆虫， 虫
bureau	 n. 局， 司， 处， 社， 所
moist	 adj. 湿润的， 潮湿的
cable	 n. 缆， 索， 电缆； 电报
qualify	 v. 胜任， 具有资格， 合格； 限定
intense	 adj. 强烈的； 紧张的； 认真的； 热情的
pregnant	 adj. 怀孕的， 妊娠的
border	 n. 边，边缘，边界 vt. 给…加上边， 围； 邻接； 与…接壤
estate	 n. 土地， 住宅区， 地产； 财产， 遗产； 庄园， 种植园
applicable	 adj. 能应用的； 合适的， 适当的
admission	 n. 允许进入； 承认； 入场费， 入场券
brass	 n. 黄铜， 黄铜器， 铜管乐器
expense	 n. 花费， 消费； 费用， 开支； 业务费用
rumour	 n. 谣传， 谣言
contemporary	 adj. 当代的；同时代的 n. 同代人， 当代人
gear	 n. 齿轮，传动装置，排挡；用具，设备；衣服 vt. 使适应， 使适合
boundary	 n. 分界线， 边界
rob	 vt. 抢劫， 盗窃
elderly	 adj. 较老的，年长的 n. 到了晚年的人， 老年人
financial	 adj. 财政的， 金融的
rod	 n. 杆， 棒
dumb	 adj. 哑的； 无言的； 说不出话的
respective	 adj. 各自的， 各个的， 分别的
media	 n. 新闻媒介， 传播媒介
favour	 n. 好感；赞同；恩惠 vt. 赞同； 喜爱， 偏爱； 有利于
pollute	 vt. 弄脏， 污染； 腐蚀
harden	 v. 变硬； 变得坚强
eve	 n. 前夜， 前夕， 前一刻
pronoun	 n. 代词
define	 vt. 给…下定义， 限定
dictate	 v. 口授； 命令， 规定， 要求 n. 命令， 指挥
construction	 n. 建造； 建筑物； 结构
predict	 vt. 预言， 预告， 预测
dump	 vt. 倾卸，倾倒；倾销 n. 垃圾场
render	 vt. 使得， 致使； 给予， 提供； 翻译
universal	 adj. 普遍的； 通用的； 全世界的
chemist	 n. 化学家， 药剂师
frontier	 n. 边境， 边疆； 新领域
abroad	 adv. 到国外； 在传播， 在流传
radical	 adv. 根本的，基本的；激进的，激进派的 n. 激进分子
relieve	 vt. 使轻松， 使宽慰， 缓解； 使得到调剂； 接替
drawer	 n. 抽屉
requirement	 n. 要求； 必要条件； 需要， 需要的东西
transport	 vt. 运输 n. 运输， 运输工具
employment	 n. 工作； 雇用； 使用
specific	 adj. 特有的；具体的，明确的 n. 详情， 细节
application	 n. 申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性
engage	 vt. 使从事； 聘用； 吸引； 占用； 使订婚
acre	 n. 英亩
whisper	 v. 低声地讲 n. 低语， 耳语
appetite	 n. 食欲， 胃口； 欲望
semester	 n. 学期
strategy	 n. 战略， 策略
dull	 adj. 乏味的， 单调的； 晦暗的， 阴沉的； 低沉的； 笨的； 钝的
collapse	 v. 倒坍；塌下 n. 突然失败；突然瓦解
clumsy	 adj. 笨拙的， 愚笨的； 粗陋的； 不得体的
territory	 n. 领土， 版图； 领域
concession	 n. 让步， 妥协； 特许， 特许权； 承认， 认可
accurate	 adj. 准确的， 正确无误的
maintain	 vt. 维持； 维修， 保养； 主张； 赡养
shift	 v. 移动，转移；改变，转变 n. 转换， 转变； 轮班
echo	 v. 重复， 模仿； 发出回声 n. 回声；反响，共鸣
erect	 adj. 竖直的， 垂直的 vt. 建造；使竖立
bargain	 vi. 讨价还价 n. 特价商品；协议，交易
professional	 adj. 职业的，专业的，专门的 n. 自由职业者， 专业人员
elective	 adj. 选举的，有选举权的；可任意选择的 n. 选修课程
accusation	 n. 谴责； 【律】 指控
protein	 n. 蛋白质
annual	 adj. 每年的，一年一次的 n. 年报， 年鉴； 一年生的植物
exclusive	 adj. 奢华的，高级的；独有的，独享的；排斥的，排他的；不包括…的，不把…计算在内的 n. 独家新闻
jar	 v. 感到不快； 震动， 摇动 n. 罐子，坛子，广口瓶
poverty	 n. 贫穷， 贫困
resort	 vi. 求助，凭借，诉诸 n. 求助， 凭借， 诉诸； 求助的对象， 采用的手段； 常去之地， 胜地
goodness	 int. 天哪 n. 善良， 美德， 好意
lightning	 n. 闪电， 电光
jaw	 n. 颌， 颚
margin	 n. 页边空白； 差数， 差额； 余地； 边缘
remain	 vi. 剩下，余留；保持；仍然是 n. 残余； 残骸； 遗迹
amaze	 vt. 使惊奇， 使惊愕
refine	 vt. 精炼， 精制， 提纯； 使优美， 使完善
mount	 v. 登上；发起；安放；增加，加剧 n. 山， 峰
demand	 vt. 要求， 需要； 查问
mystery	 n. 神秘； 神秘的人
atomic	 adj. 原子的， 原子能的， 原子武器的
deposit	 vt. 使沉淀；存放，储蓄 n. 定金， 押金； 存款； 矿藏
centimetre	 n. 公分， 厘米
telescope	 n. 望远镜
rotten	 adj. 腐烂的； 令人不愉快的； 糟糕的
skillful	 adj. 灵巧的， 娴熟的
flash	 vi. 闪， 闪烁； 飞驰 n. 闪光；闪光灯
accuse	 vt. 指责， 归咎于
housing	 n. 房屋， 住宅； 住房建筑， 住房供给； 外壳， 外罩
devil	 n. 魔鬼， 恶魔； 家伙， 人
guarantee	 n. 保证；保证书；担保物 vt. 保证， 担保
recommend	 vt. 推荐， 举荐； 劝告， 建议； 使成为可取； 使受欢迎
acquire	 vt. 取得， 获得， 学到
fertile	 adj. 肥沃的； 多产的； 丰富的
automobile	 n. 汽车， 机动车
notion	 n. 概念， 观念； 意图， 想法， 念头
diversity	 n. 多样性； 差异； 不同点
helicopter	 n. 直升机
tractor	 n. 拖拉机， 牵引车
patience	 n. 忍耐， 耐心
grace	 n. 优美，优雅；风度，魅力；宽限，缓期 vt. 使优美
advertisement	 n. 广告， 公告， 登广告； 广告活动， 宣传
ripe	 adj. 熟的； 时机成熟的
attribute	 vt. 把…归因于 n. 属性
mechanism	 n. 机械装置； 机制， 机理； 办法， 途径
detection	 n. 察觉， 发觉； 侦查， 探测
triumph	 vi. 成功 n. 凯旋，胜利
vice	 n. 罪恶； 恶习， 缺点； 虎钳
horror	 n. 恐怖； 憎恶； 令人恐怖的事物
poison	 n. 毒，毒药 vt. 毒害
thoughtful	 adj. 沉思的； 体贴的
gram	 n. 克
empower	 vt. 授权于； 使能够
riot	 vi. 聚众闹事 n. 暴乱，骚乱；极度丰富 vt. 把浪费在放荡的生活上
arouse	 vt. 引起； 唤起， 唤醒
nest	 v. 筑巢 n. 巢，窝，穴
tour	 n&vi. 旅行， 游历
calm	 adj. 静的，平静的 v. 平静， 镇静
boring	 adj. 令人厌烦的， 乏味的， 无聊的
classic	 adj. 最优秀的，典型的，标准的；传统式样的，典雅的 n. 文学名著， 经典作品， 杰作； 优秀的典范； 古典文学， 古典语文研究
ownership	 n. 所有， 所有制
metric	 adj. 公制的， 米制的
absolute	 adj. 十足的， 地道的； 绝对的， 完全的； 不受任何限制的
ash	 n. 灰， 灰末； 骨灰
describe	 vt. 形容； 描写； 画出
suck	 v. 吸， 吮， 啜； 吸收
grab	 v. 抓取，攫取；赶紧做；抓住；抓，夺 n. 抓， 夺
rub	 vt. 擦， 摩擦
presently	 adv. 不久， 一会儿； 现在， 目前
wealthy	 adj. 富有的， 富裕的
rug	 n. 地毯
jazz	 n. 爵士音乐， 爵士舞曲
dusk	 n. 薄暮， 黄昏； 幽暗
administration	 n. 管理； 管理部门， 行政机关； 实行， 执行
occasional	 adj. 偶尔的， 间或发生的
boast	 vi. 自夸；自豪 vt. 自夸，吹嘘；以拥有…而自豪 n. 自吹自擂， 自夸的话
operator	 n. 操作人员； 话务员， 报务员
debate	 n&v. 争论， 辩论
spacecraft	 n. 航天器， 宇宙飞船
furniture	 n. 家具
segment	 n. 部分， 片段； 瓣
stripe	 n. 条纹
jet	 vi. 乘喷气式飞机 n. 喷气式飞机；喷嘴；喷射
helpful	 adj. 给予帮助的； 有用的
statistic	 n. 统计数值， 统计资料； 统计学
attractive	 adj. 有吸引力的， 引起注意的
superb	 adj. 极好的； 高质量的
mold	 n. 霉，霉菌；模型，铸模；性格 vt. 用模子制作， 塑造； 使形成， 影响…的形成
engineering	 n. 工程， 工程学
significant	 adj. 相当数量的； 重要的， 意义重大的， 意味深长的
bold	 adj. 勇敢的； 鲁莽的； 粗体的， 黑体的； 醒目的
bleed	 vi. 出血， 流血； 泌脂 vt. 勒索…的钱
delicious	 adj. 美味的； 芬芳的， 怡人的； 有趣的
catalogue	 n. 目录 v. 为…编目录，把…列入目录中
whatever	 adv. [用于否定句中以加强语气]任何； 无论什么
decrease	 v. 减少 n. 减少
volunteer	 v. 自愿提供； 自愿， 志愿 n. 志愿者；志愿兵
museum	 n. 博物馆
ignorance	 n. 无知， 愚昧
senate	 n. 参议院， 上院
trumpet	 n. 喇叭，小号 vt. 大声宣告， 鼓吹
bolt	 n. 螺栓，插销 vt. 闩门
string	 vi. 连成一串； 排成一行前进 n. 线，细绳；一串，一行 vt. 缚，扎，挂；串起，穿；使排成一列；伸展，拉直
import	 vt. 输入， 进口 n. 输入， 进口； 进口商品； 意义， 重要性
occupy	 vt. 占领， 占， 占有
submit	 vi. 屈从， 听从， 服从 vt. 呈送，提交；主张，建议；使服从，使降服
mood	 n. 心情， 情绪； 语气
boom	 vi. 激增， 繁荣， 迅速发展； 发出隆隆声 n. 激增，繁荣，迅速发展；隆隆声，嗡嗡声
absence	 n. 缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在
attract	 vt. 吸引， 引起…注意
edition	 n. 版， 版本， 版次
simplicity	 n. 简单， 简易； 朴素
cautious	 adj. 十分小心的， 谨慎的
disappear	 vi. 不见， 失踪， 消失
summit	 n. 最高点， 峰顶； 最高级会议
recession	 n. 衰退， 衰退期
conclusion	 n. 结论， 推论； 结尾； 缔结， 议定
typist	 n. 打字员
durable	 adj. 耐久的， 耐用的
negative	 adj. 否定的，消极的；负的；阴性的 n. 负片， 底片； 负数
impose	 vi. 利用， 占便宜； 欺骗 vt. 把…强加于；征
ally	 v. 结盟， 联合 n. 同盟国， 同盟者； 支持者
statement	 n. 陈述， 声明； 结算单， 报表
hence	 adv. 因此， 所以； 今后
memorial	 adj. 纪念的，悼念的 n. 纪念碑， 纪念堂， 纪念仪式
factor	 n. 因素； 因子； 系数
boot	 n. 靴子， 长筒靴； 行李箱； 解雇
pinch	 vt. 捏，拧 n. 撮， 微量
delivery	 n. 投递， 交付； 分娩； 讲话方式； 投递的邮件
rack	 n. 挂架，搁架 vt. 使痛苦， 折磨； 尽力使用
election	 n. 选举； 选择权； 当选
conquer	 vt. 征服， 战胜； 破除， 克服
learned	 adj. 有学问的； 学术上的
substance	 n. 物质； 实质； 大意， 要旨； 根据， 理由
frown	 n&vi. 皱眉， 蹙额
bond	 v. 黏合， 结合 n. 联结，联系；公债；契约，合同
target	 n. 目标 vt. 把…作为目标； 瞄准
wax	 n. 蜡，蜂蜡 vt. 给…上蜡
grind	 v. 磨， 磨快
urban	 adj. 城市的， 都市的； 住在都市的
furthermore	 adv. 而且， 此外
guidance	 n. 引导， 指导， 领导
risk	 n. 危险，风险；引起危险的事物 vt. 冒…的危险， 使遭受危险
flame	 n. 火焰， 光辉； 热情
container	 n. 容器； 集装箱
leader	 n. 领袖， 领导人， 首领
delicate	 adj. 纤细的， 易碎的； 微妙的； 精美的
discard	 vt. 丢弃， 抛弃， 遗弃
fancy	 adj. 昂贵的； 别致的 n. 想象力，设想；爱好 vt. 喜欢；想象，猜想
rebel	 vi. 反叛， 造反； 反对， 不服从 n. 反叛分子， 反对者
bounce	 v. 弹起，反弹；颠簸 n. 弹， 反弹
usage	 n. 使用； 对待； 惯用法
tissue	 n. 组织； 薄绢， 薄纸， 手巾纸
experimental	 adj. 实验的， 试验的
loosen	 vt. 解开； 放松， 松弛
rent	 v. 租借，租用；出租，出借 n. 租金； 出租
nearby	 adv. 在附近 adj. 附近的
carpenter	 n. 木工， 木匠
cart	 n. 运货马车
