textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本::a book that contains information about a subject that people study, especially at school or college		a biology textbook::一本生物教科书	n::教科书，课本::coursebook, schoolbook						
courage	 'kɝrɪdʒ	'kʌrɪdʒ	n::勇敢；勇气::the quality of being brave when you are facing a difficult or dangerous situation or when you are very ill	moral courage::道德勇气，道义勇气¦take courage::鼓起勇气¦lose courage::丧失勇气，灰心¦dutch courage::[俗]酒后之勇¦get up the courage::鼓起勇气	Sue showed great courage throughout her illness.::休在生病期间表现出了极大的勇气。¦Driving again after his accident must have taken a lot of courage (= needed courage ) .::他出事故后再驾车肯定需要很大的勇气。	n::勇气；胆量::nerve, heart	adj::courageous::有胆量的，勇敢的¦adv::courageously::勇敢地¦n::courageousness::勇敢；无畏		我们的(our)年纪(age)虽然小， 可是勇气(courage)真不少			
rather	'ræðɚ	'rɑːðə	adv::相当；宁愿::You use rather to indicate that something is true to a fairly great extent, especially when you are talking about something unpleasant or undesirable	rather than::而不是；宁可…也不愿¦would rather::宁愿，宁可¦or rather::更精确地说，倒不如说¦rather too::adv. 稍微...一点	I grew up in rather unusual circumstances.::我在相当不寻常的环境中长大。¦I’d rather have a quiet night in front of the TV.::我宁愿晚上安安静静地看看电视。	adv::宁可，宁愿；相当::soon, first, lot, bit, preferably						
rather than			::而不是::instead of		I think you’d call it a lecture rather than a talk.::我说啊，这是训斥，不是谈话。							
pull	pʊl	pʊl	v::拉；拖::to use your hands to make something or someone move towards you or in the direction that your hands are moving	pull out::离开，撤离；拔出；渡过难关；恢复健康；折叠的大张插页；飞机进场重新飞起¦pull something on someone::在…方面欺骗某人¦pull down::摧毁，推翻；拉下来；使……下跌¦pull up::拔起；停下来；阻止¦pull together::齐心协力¦pull in::进站；吸入；提到警察局¦pull out of::退出；拉出，取出¦pull off::赢得；脱下；努力实现¦pull on::穿；戴；继续拉¦pull back::拉回；撤回；拉为平手；反悔¦pull through::渡过难关；恢复健康¦pull away::离开；脱身；拉掉¦pull it off::圆满完成¦pull over::把…开到路边；开到路边；靠岸¦push and pull::推与拉¦pull apart::撕开；扯断¦pull rod::拉杆；推杆¦pull at::vi. 用力拉；大口喝¦pull the trigger::开枪¦pull into::（车）进站	Mom! Davey’s pulling my hair!::妈妈! 戴维拽我的头发！	vt::拉；拔；拖::draw, snake¦vi::拉，拖；拔::draw¦n::拉，拉绳；拉力，[交]牵引力；拖::tension, digging rope	n::puller::拉的人，拉具；吸引人的东西，招揽顾客的东西¦n::pulling::振荡器频率牵引¦v::pulling::拉；拔（pull的ing形式）；拖					
pull together			::齐心协力；通力合作::If people pull together, they help each other or work together in order to deal with a difficult situation		The nation was urged to pull together to avoid a slide into complete chaos.::敦促全体国民同心协力，避免陷入全面的混乱之中。	::齐心协力::coordinate one's efforts to, join hands						
relief	rɪ'lif	rɪ'liːf	n::轻松；解脱::a feeling of comfort when something frightening, worrying, or painful has ended or has not happened	in relief::显著地；鲜明地；浮雕一般¦disaster relief::赈灾；灾难援助¦relief valve::安全阀；减压阀¦relief work::救济工作¦pressure relief::卸压；压力减低¦relief from::减轻；解除¦stress relief::[冶][化工]应力消除¦tax relief::税款减免¦relief fund::救济金¦pressure relief valve::安全阀；卸压阀¦relief effort::救灾工作¦emergency relief::紧急救援；紧急救济¦relief map::n. 地势图；立体模型地图¦relief supplies::救灾物资¦on relief::接受救济¦relief materials::救灾物资；救援物质（relief material的复数，常用复数）¦drought relief::干旱救灾¦high relief::高峻地形；高凸浮雕¦comic relief::n. 喜剧性穿插；喜剧性调剂¦relief printing::凸版印刷	I felt a huge surge of relief and happiness.::我如释重负，大感欣慰。¦No one was hurt, and we all breathed a sigh of relief .::没有人受伤，我们都松了一口气。	n::救济；减轻，解除；安慰::comfort, almsgiving	adj::relieved::放心的¦adv::relievedly::宽慰地¦v::relieved::减轻；解除（relieve的过去分词）¦vt::relieve::解除，减轻；使不单调乏味；换…的班；解围；使放心		坚定的信念(belief)能缓解(relief)痛苦			
nod	nɑd	nɒd	v::点头::to move your head up and down, especially in order to show agreement or understanding	get the nod::[美国口语]得到认可；被选中¦on the nod::[口语]¦nod off::打盹¦land of nod::[口]睡梦之乡	I asked her if she was ready to go, and she nodded.::我问她是否已准备好出发，她点了点头。¦Mom nodded her head sympathetically.::妈妈同情地点了点头。	n::点头；打盹；摆动::swing, bob¦vt::点头；点头表示::noddle¦vi::点头；打盹；摆动::to oscillate, to swing	adj::nodding::点头的，低垂的；昏昏欲睡的¦v::nodding::点头；打盹；摆动（nod的ing形式）					
agreement	ə'grimənt	ə'griːm(ə)nt	n::（意见或看法）一致；同意::when people have the same opinion as each other	agreement with::同…达成协议¦agreement on::一致意见¦in agreement::一致；同意；意见一致¦in agreement with::同意；与…一致¦trade agreement::n. （国际）贸易协定；雇用合同；劳资协议¦reach an agreement::达成协议；取得一致意见，达成共识¦come to an agreement::v. 达成协议¦general agreement::总协定¦agency agreement::[经]代理协议；通汇契约¦by agreement::约好¦mutual agreement::双方协定¦written agreement::书面协定；成文契约¦arbitration agreement::仲裁协定¦service agreement::服务协议¦contract agreement::合同协议；承包合同¦license agreement::[经]许可证协议¦international agreement::国际协议；国际协定¦entire agreement::全部协议；完整合约¦loan agreement::贷款协议；借款合同¦bilateral agreement::双边协定	It is easier for two parties to reach agreement than for three.::两方达成一致比三方达成一致容易。¦Would their discussion result in his agreement to visit his stepmother?::例句：他们商量后，他会不会同意去看望继母？	n::[法]协议；同意，一致::accordance, protocol, unity, identity, keeping	adj::agreed::同意的；通过协议的¦n::agreeableness::适合；一致¦v::agreed::同意；赞成（agree的过去式）¦vi::agree::同意；意见一致¦vt::agree::同意；赞成；承认		agree (同意) + ment (名词， 表行为、 结果) → 同意			
fault	fɔlt	fɔːlt; fɒlt	n::过失；缺点::a bad or weak part of someone’s character	fault diagnosis::故障诊断¦fault tree::故障树；失效树¦fault zone::断裂带；断层带，断层区¦fault detection::故障检测；探伤¦fault block::断块；故障闭塞；断裂地块¦in fault::有过错¦fault tree analysis::故障树分析法¦fault location::故障定位¦at fault::出毛病；感到困惑¦fault tolerance::容错，故障容差¦fault current::故障电流；事故电流¦active fault::活动断裂；活性断层¦fault system::断层系统¦fault line::断层线；裂纹线¦system fault::系统故障，电网故障¦common fault::通病；一般错误¦fault rate::n. 故障率；损坏率¦network fault::电力网故障¦earth fault::接地故障¦ground fault::接地故障	His worst fault is his arrogance.::他最大的缺点是傲慢。¦I may have my faults , but ingratitude is not one of them.::我可能有我的缺点，但我决不会忘恩负义。¦For all his faults (= in spite of his faults ) he was a good father.::尽管他有缺点，但还是个好父亲。	n::故障；[地质]断层；错误；缺点；毛病；（网球等）发球失误::error, deficiency, defect, mistake, trouble¦vi::弄错；产生断层::mistake, err in¦vt::（通常用于疑问句或否定句）挑剔::carp at, trip up	adj::faulty::有错误的；有缺点的¦adj::faultless::完美的；无缺点的¦adj::faultfinding::喜欢挑剔的¦adv::faultlessly::无缺点地，完美地¦n::faulting::[地质] 断层作用；断层错动；故障¦n::faultfinder::挑剔；吹毛求疵的人¦n::faultfinding::挑剔；吹毛求疵的行为¦n::faultiness::不完善，可指责；有过失¦v::faulting::挑剔；指责；做错（fault的ing形式）		错误			
disappoint	'dɪsə'pɔɪnt	dɪsə'pɒɪnt	v::使失望::to make someone feel unhappy because something they hoped for did not happen or was not as good as they expected		I hated to disappoint her.::我不愿意让她失望。¦Great things were expected of this band, and they didn’t disappoint.::大家对这支乐队的期望很高，而他们也不负众望。	vt::使失望::fail, let down	adj::disappointed::失望的，沮丧的；受挫折的¦adj::disappointing::令人失望的；令人扫兴的¦adv::disappointedly::失望地¦adv::disappointingly::令人失望地¦n::disappointment::失望；沮丧¦v::disappointing::令人失望（disappoint的ing形式）；辜负…的期望		dis(没有)+appoint(委任) →没有受到委任→使失望			
Bert	bə:t		::伯特（男名）::		These two guys, in case you forgot, are called Bert and Ernie.::以防忘记，我告诉大家这两个人物叫伯特和尔尼。¦And I remembered Bert Jeffries’s letter telling me to stay away.::我记得伯特.杰弗里斯的来信告诫我远离战场。							
Holly	'hɑli	'hɒlɪ	::霍莉（女名）::			n::[植]冬青树（等于holm oak）::evergreen tree, wintergreen						
backpack	'bæk'pæk	'bækpæk	n::背包；旅行包::a  rucksack			n::双肩背包，背包；远足用的背包::pack, knapsack	n::backpacker::背包旅行者					
oversleep	ovə'slip	əʊvə'sliːp	v::(过去式 overslept, 过去分词 overslept) 睡过头；睡得太久::to sleep for longer than you intended		Sorry I'm late. I overslept.::很抱歉我迟到了，我睡过头了。	vi::睡过头::sleep in						
give ... a lift			::捎（某人）一程::									
miss	mɪs	mɪs	v::错过；未得到::to not go somewhere or do something, especially when you want to but cannot	miss you so much::真的好想你¦miss out::错过；遗漏；省略¦miss out on::错过机会；错失了…¦miss white::怀特小姐；白小姐¦near miss::n. [计]相近差错；（炸弹）近距脱靶；（车辆）侥幸免撞¦miss grant::格兰特小姐¦hit or miss::不论成功与否；无计划的；漫不经心的¦miss the point::没有抓住要领¦hit and miss::碰巧的；偶然随意¦miss the boat::错失良机¦miss the mark::没打中目标；没达到目的¦little miss sunshine::n. 阳光小美女（电影名称）	I’m absolutely starving – I missed lunch.::我饿坏了——我没吃上午饭。¦He missed 20 games after breaking a bone in his wrist.::由于手腕骨折，他错过了20场比赛。¦She was upset at missing all the excitement.::精彩部分都错过了，她很失望。	vt::漏掉；错过；想念::lose, let slip	adj::missing::失踪的；缺少的¦v::missing::错过（miss的ing形式）；想念；漏掉					
unexpected	'ʌnɪk'spɛktɪd	ʌnɪk'spektɪd; ʌnek-	adj::出乎意料的；始料不及的::If an event or someone's behaviour is unexpected, it surprises you because you did not think that it was likely to happen	unexpected news::意外的消息；出乎意料的新闻¦unexpected accident::不能预料的事故	His death was totally unexpected.::他的死完全出人意料。¦He made a brief, unexpected appearance at the office.::他在办公室短暂、出人意料地露了一面。	adj::意外的，想不到的::sudden, surprising	adv::unexpectedly::出乎意料地，意外地¦n::unexpectedness::出乎意外，突然					
block	blɑk	blɒk	n::街区::the distance along a city street from where one street crosses it to the next	in block::块装；整批¦block in::草拟，画草图¦block up::阻碍；垫高；停用；阻塞¦fault block::断块；故障闭塞；断裂地块¦block diagram::框图；方块图¦a block of::一块，一大块…¦on the block::出售中；在拍卖中¦building block::n. 积木；构件，基础材料¦cylinder block::气缸体；气缸柱；气缸座¦stumbling block::绊脚石；障碍¦block copolymer::嵌段共聚物¦concrete block::混凝土砌块；混凝土砖；混凝土趸；水泥砖¦slide block::滑块；滑架¦one block::整体；一节¦data block::数据块¦hollow block::空心块，空心砖¦block out::封闭；概略画出¦sliding block::滑块¦block structure::程序块结构，分程序结构；方块图¦block cipher::分组密码	Head for 44th Street, a few blocks east of Sixth Avenue.::往44号街走，从第六大街往东走几个街区就是。¦The church is down the block.::教堂就在这个街区那头。	n::[计]块；[建]街区；大厦；障碍物::piece, mass, barrier, bottleneck¦vt::阻止；阻塞；限制::stem, dispute, prohibit, discourage¦adj::成批的，大块的；交通堵塞的::batched, wholescale	adj::blocked::堵塞的；被封锁的¦adj::blocky::块状的；短而结实的；浓淡不均匀的¦n::blocking::阻塞；封闭；大块¦n::blockage::堵塞，堵塞；封锁；妨碍¦v::blocked::阻塞（block的过去分词）¦v::blocking::阻塞（block的ing形式）		b+lock (锁) →封锁→阻塞， 阻挡			
worker	'wɝkɚ	'wɜːkə	n::工作者；工人::someone who does a job, especially a particular type of job	skilled worker::技术工入¦office worker::上班族¦social worker::社会服务人员¦model worker::模范劳工¦migrant worker::外来工；外侨工人¦knowledge worker::知识工作者；知识工人¦construction worker::n. 建筑工人¦farm worker::农场工人¦advanced worker::先进工作者¦medical worker::医务工作者¦guest worker::客籍工人；外来工人¦health worker::保健人员¦technical worker::技工；技术人员¦maintenance worker::维修工；保养工¦white-collar worker::白领工人，脑力劳动者¦sex worker::“性工作者”，妓女¦temporary worker::临时工¦permanent worker::长期工；固定工¦manual worker::体力劳动者¦sanitation worker::环卫工人	workers in the tourist industry::旅游行业工作者¦reports from local aid workers::来自当地援助人员的报道	n::[劳经]工人；劳动者；职蚁::laborer, factory hand	adj::wrought::锻造的；加工的；精细的¦adj::working::工作的；操作的；可行的¦adj::workable::切实可行的；可经营的；能工作的¦n::work::工作；[物] 功；产品；操作；职业；行为；工厂；文学、音乐或艺术作品¦n::working::工作；活动；制作；操纵¦n::workingman::工人；劳动者¦v::wrought::工作（work的过去分词）¦v::working::工作；影响；受雇用（work的ing形式）¦vi::work::工作；运作；起作用¦vt::work::使工作；操作；经营；使缓慢前进					
stare	stɛr	steə	v::盯着看；凝视::to look at something or someone for a long time without moving your eyes, for example because you are surprised, angry, or bored	stare at::凝视，盯住¦stare into::v. 凝视¦stare decisis::遵循先例；（拉）[律]根据过去判例	She sat there staring into space (= looking for a long time at nothing ) .::她坐在那里，出神地凝视前方。	vi::凝视，盯着看；显眼::pore, peer at¦vt::凝视，盯着看::peer at, gaze at¦n::凝视；注视::regard, gaze	adj::staring::凝视的，目不转睛的；瞪着眼的；显眼的¦v::staring::凝视；盯着看；显眼（stare的ing形式）		凝视(stare)黑夜星(star)空			
disbelief	,dɪsbɪ'lif	dɪsbɪ'liːf	n::不信；怀疑::a feeling that something is not true or does not exist	in disbelief::怀疑地；难以置信地	The reaction to the murders was one of shock and disbelief.::人们对这些谋杀事件的反应是震惊和不敢相信。	n::怀疑，不信::doubt, challenge, suspicion	adj::disbelieving::怀疑的；不相信的¦adv::disbelievingly::不相信地；怀疑地¦v::disbelieving::怀疑（disbelieve的ing形式）；不信¦vi::disbelieve::不信；怀疑¦vt::disbelieve::不信；怀疑					
above	ə'bʌv	ə'bʌv	adv::在上面；向上面::in a higher position than something else¦prep::在...上面::	above oneself::自高自大；趾高气扬；兴高采烈¦above all::首先；尤其是¦from above::从…上面；从上级；从天上¦all above::以上都是；所有上面的¦all of the above::上述全部¦well above::大大超过；远高于…¦over and above::除…之外；在…之上¦above and beyond::大于¦get above oneself::变得自高自大；自视甚高	Our office is above the hairdresser’s.::我们的办公室在理发店上面。¦I heard a strange noise coming from the room above.::我听见楼上房间传来奇怪的响声。¦He had a bruise just above his left eye.::就在他左眼上方有块瘀伤。¦The great bird hovered high above our heads.::那只大鸟在我们头顶上方的高处盘旋。	prep::超过；在……上面；在……之上::beyond, without, than¦adv::在上面；在上文::hereinabove, thereinbefore			关于迈尔克·乔丹的纪录片Michael Jordan: Above and Beyond《迈克尔·乔丹： 超越巅峰》			
burn	bɝn	bɜːn	v::着火；燃烧::if you burn a fuel, or if it burns, it is used to produce power, heat, light etc	burn out::烧坏；烧尽；不再热衷¦burn down::烧毁，火力减弱¦burn in::留下不可磨灭的印象¦burn with::为…所煎熬¦burn up::v. 烧起来；烧掉；发怒¦burn off::烧尽¦have something to burn::某物有的是，某物多得用不完¦burn through::烧穿；焊穿；烧蚀¦burn on::焊上，焊补¦burn away::烧掉；继续燃烧；逐渐消失¦burn rate::烧钱率；消耗速度；资金消耗率¦do a slow burn::[美国俚语]渐渐地发起怒来¦heart burn::胃灼热¦burn into::侵蚀；使深印于	The boiler burns oil to produce heat.::锅炉烧油产生热量。¦greenhouse gases caused by the burning of fossil fuels::燃烧矿物燃料产生的温室气体	vt::燃烧；烧毁，[植保][外科]灼伤；激起…的愤怒::combust, overfire¦vi::燃烧；烧毁；发热::glow, conflagrate¦n::[植保]灼伤，[外科]烧伤；烙印::brand, scaldy	adj::burning::燃烧的；强烈的；发热的¦adj::burnt::烧焦的；烧伤的¦adj::burned::焦头烂额¦adj::burnable::可燃的；灼伤的；易燃的¦n::burning::燃烧¦n::burner::燃烧器；火炉；[化工] 燃烧炉；灯头¦n::burnish::光泽；抛光；闪闪发光¦n::burnable::可燃物；易燃物¦v::burnt::燃烧（burn的过去式、过去分词形式）¦v::burned::烧伤（burn的过去式）¦vi::burning::燃烧（burn的现在分词）¦vi::burnish::磨光发亮¦vt::burnish::擦亮；使…光亮；将…打磨光亮		烤炉一转(turn)， 烧烤火燃(burn)			
alive	ə'laɪv	ə'laɪv	adj::活着；有生气的::still living and not dead	alive with::充满着；洋溢着¦come alive::活跃起来；看上去像真的¦stay alive::活着；仍然活着¦alive and well::盛行的；依然存在的¦keep alive::点火电极；保持生机；使……活着¦alive and kicking::活蹦乱跳的¦any man alive::任何人¦be kept alive::使继续有效，使继续存在(或进行)¦more dead than alive::精疲力尽；累得要死¦skinned alive::严厉申斥；以压倒优势击败¦look alive::快点；注意	It was a bad accident – they’re lucky to be alive.::这是一宗严重事故——他们能活着实属幸运。¦My grandparents are still alive .::我的祖父母和外祖父母都还健在。¦We stayed alive by eating berries.::我们靠吃浆果活命。¦He was kept alive on a life-support machine.::他靠生命维持装置活着。¦Apparently he’s alive and well and living in Brazil.::看来他还健在，住在巴西。¦It was the kind of morning when you wake up and feel really alive .::这是一个醒来时觉得充满活力的早晨。	adj::活着的；活泼的；有生气的::lively, activated	n::aliveness::活力		a(…的) + live(活着) → 活着的			
take off			::中文释义:（飞机等）起飞；匆忙离开::When an aeroplane takes off, it leaves the ground and starts flying		We eventually took off at 11 o'clock and arrived in Juneau at 1:30.::我们终于在11点起飞，1:30到达朱诺。¦He took off at once and headed back to the motel.::他出人意料地立刻就离开了，然后回到了那家汽车旅馆。	::起飞；脱下；离开::leave, split, launch, quit						
till	tɪl	tɪl	conj & prep::到；直到::until		I didn’t have a boyfriend till I was 17.::我直到17岁才有男朋友。¦The shop’s open till nine o’clock on Fridays.::这家商店周五营业到9点。	n::[地理][水文]冰碛；放钱的抽屉；[会计]备用现金::glacial drift¦prep::直到::unto, hasta¦vt::耕种；犁::farm, plant crops¦vi::耕种；耕耘::plant crops	adj::tillable::可耕种的；适于耕种的¦n::tillage::耕作，耕种					
west	wɛst	west	adv::向西；朝西::towards the west¦adj::向西的；西部的::in the west or facing the west¦n::西；西方::the direction towards which the sun goes down, and which is on the left if you are facing north	in the west::在西方，在西方（国家）¦west of::在…以西¦west lake::杭州西湖¦in the west of::在…的西部¦west bank::约旦河西岸¦west coast::美国西海岸¦west side::n. （美国纽约）曼哈顿西区¦west africa::西非；非洲西部¦west indies::西印度群岛（拉丁美洲）¦west point::西点军校¦journey to the west::西游记¦to the west of::在…以西¦west germany::西德（原德意志联邦共和国的简称）¦west end::n. 伦敦西区¦wild west::西大荒；蛮荒的美国西部¦west country::n. 英国西南部各郡¦far west::n. 美国远西区（落矶山至太平洋沿岸的地区）；美国中西部（尤指密西西比河西部地区）¦middle west::美国的中西部¦go west::上西天，死¦west germanic::[语言学]西日尔曼语支	The route then heads west over Gerrick Moor.::之后这条路折向西，穿过格里克漠泽。¦the west door of the church::教堂的西门¦A damp wind blew from the west.::从西面吹来一股潮湿的风。¦a west-facing window::朝西的窗户	n::[地理]西；[天]西方；西部::occident¦adj::[天]西方的；朝西的::hesperian	adj::western::西方的，西部的；有西方特征的¦adj::westward::向西的；西方的¦adj::westerly::西的；自西的；向西方的¦adj::westernmost::最西的¦adj::westmost::最西的；极西的¦adv::westward::向西¦adv::westerly::向西，往西¦n::western::西方人；西部片，西部小说¦n::westward::西部；西方¦n::westerner::西方人，欧美人；美国西部的人¦n::wester::西风¦n::westerly::西风¦n::westernization::西方化；欧美化¦vi::wester::向西；西行¦vt::westernize::使西洋化，使欧化					
cream	krim	kriːm	n::奶油；乳脂::a thick yellow-white liquid that rises to the top of milk	ice cream::冰淇淋¦whipped cream::n. 生奶油¦cream cheese::n. 奶油干酪¦eye cream::护眼霜¦sour cream::酸奶油¦face cream::面霜；雪花膏¦vanilla ice cream::香草冰淇淋¦shaving cream::刮胡膏，剃须膏¦chocolate ice cream::巧克力冰淇淋¦cream of the crop::精华；最优秀的人¦hand cream::护手霜；润手香脂¦ice cream cone::n. 冰淇淋蛋卷；盛冰淇淋的锥形杯¦sun cream::防晒霜¦cream sauce::奶油沙司；奶油汁¦fresh cream::鲜奶油；忌廉鲜奶油¦cream cake::奶油蛋糕¦cold cream::冷霜，冷膏；雪花膏¦full cream::全脂的¦whipping cream::可打稠制作掼奶油的奶油；奶油含量过高的乳酪¦strawberry ice cream::草莓冰激凌	fresh cream::鲜奶油¦strawberries and cream::浇奶油的草莓	n::[食品]奶油，乳脂；精华；面霜；乳酪::essence, elite, flower, prime, distillation	adj::creamy::奶油色的；乳脂状的；含乳脂的¦n::creamer::奶油分离器；盛奶油的器皿；制作奶油的人¦n::creaminess::乳脂状，含乳脂；乳脂色					
boss	bɑs	bɒs	n::老板；领导::the person who employs you or who is in charge of you at work	gang boss::小组长；领班；帮派头目¦party boss::党魁¦lug boss::突起部，凸起部¦wheel boss::轮毂，轮心¦hugo boss::雨果·波士（德国著名服装品牌）	I’ll have to ask my boss for a day off.::我得向老板请一天假。¦Since I’m my own boss (=  I work for myself, rather than for an employer  ) , my hours are flexible.::我自己当老板，所以我的时间很灵活。	n::[劳经]老板；首领；工头::leader, employer, chief, captain, landlord¦vt::指挥，调遣；当…的领导::officer, captain, lead¦vi::当首领，发号施令::call the shots	adj::bossy::专横的；浮雕装饰的；爱指挥他人的¦n::bossy::母牛；牛犊¦n::bossism::领袖的政党控制；头领的支配					
pie	paɪ	paɪ	n::果馅饼；果馅派::fruit baked inside a  pastry  covering	apple pie::苹果派；苹果馅饼¦pumpkin pie::南瓜（馅）饼，番瓜饼；南瓜派¦pie chart::圆形分格统计图表¦pie in the sky::不能保证实现的诺言；渺茫的希望¦humble pie::用鹿等动物内脏做的馅饼；屈辱¦as easy as pie::极容易¦meat pie::n. 肉饼¦eat humble pie::忍辱含垢；低头谢罪¦mince pie::肉馅饼¦pie dish::蛋糕盘；馅饼碟¦pie crust::派皮；大馅饼皮；做馅饼的糊¦pork pie::n. 猪肉派，猪肉馅饼	I had a steak and kidney pie with chips.::我吃了一份牛肉腰子馅饼加薯条。	n::馅饼；饼图；爱说话的人::pastie, talkee-talkee¦vt::使杂乱::clutter up						
course	kɔrs	kɔːs	n::课程；过程，进程::a series of lessons in a particular subject	of course::一定，当然¦in the course of::在…过程中；在…期间¦course of study::学科；学习的进程；研究课程¦in course::学完正式课程并经过考试；按照一定顺序¦in course of::正在…过程中¦during the course of::在…期间，在…的过程中¦on course::adv. 在规定的过程中；在航线上¦in due course::在适当的时候；及时地；顺次¦golf course::n. 高尔夫球场¦training course::培训班；训练课程；实习课¦undergraduate course::本科课程¦basic course::基础课，基础课程；基本训练¦course of action::做法；行动步骤¦main course::主菜；主要课程；主帆¦off course::不在规定的过程中¦due course::正当行为¦required course::n. 必修课程¦river course::河道¦elective course::选修课¦base course::基层；路面下层；承重层	Andy’s doing a one-year journalism course.::安迪正在修读为期一年的新闻课程。¦It would be most unwise to minimize the dangers of this course of action.::不认真对待这次行动过程中的危险是极不明智的。¦In the course of the argument, the most enormous errors of fact simply pullulated.::在争论过程中，最厉害的事实谬误简直有增无减。¦The course should be history,but history, philosophized,is a history of ideas as well as of events.::过程应该就是历史，不过哲学化的历史，就是又有观念又有事件的历史。	n::过程；进程；道路；一道菜::path, mechanism, process, way, road¦vt::追赶；跑过::pursue, chase after¦vi::指引航线；快跑::double up	n::coursing::追赶；奔驰；携带猎犬狩猎¦v::coursing::跑过；追逐；指引航线（course的ing形式）		“考试”→上课玩， 考试难→课程			
bean	bin	biːn	n::豆；豆荚::a seed or a  pod , that comes from a climbing plant and is cooked as food. There are very many types of beans.	bean curd::豆腐¦red bean::红豆；赤豆¦soya bean::大豆¦bean paste::豆瓣酱；豆酱；绿豆糕¦broad bean::蚕豆¦mung bean::n. ［植］绿豆¦coffee bean::咖啡豆¦green bean::青豆，嫩菜豆¦bean milk::豆奶；豆浆¦soy bean::大豆；黄豆¦kidney bean::菜豆；四季豆；肾形豆¦bean oil::豆油¦full of beans::精神旺盛的；弄错的¦black bean::豆鼓，黑大豆¦spill the beans::泄密；说漏嘴¦bean cake::豆饼；豆糟¦fermented bean curd::腐乳，豆腐乳¦vanilla bean::香草豆荚¦adzuki bean::小豆；红豆；赤豆¦bean sprout::豆芽	baked beans::烘豆¦Soak the beans overnight.::把豆子浸泡一夜。¦kidney beans::芸豆¦green beans::青刀豆，四季豆	n::[植]豆；嘴峰；毫无价值的东西::legumen, nihil			搞笑短剧《憨豆先生》的英文名就是Mr. Bean			
market	'mɑrkɪt	'mɑːkɪt	n::市场；集市::a particular country or area where a company sells its goods or where a particular type of goods is sold	market economy::[经]市场经济¦socialist market economy::社会主义市场经济¦in the market::在市场里；想买的¦market competition::市场竞争¦stock market::股票市场；证券市场；股票交易¦international market::国际市场¦on the market::上市；出售的¦market share::市场占有率¦market demand::市场需求¦real estate market::房地产市场；不动产市场¦capital market::资本市场¦domestic market::国内市场¦property market::地产市场；房地产市场；物业市场¦market development::市场发展；市场开发¦market price::市价¦home market::国内市场¦market research::n. 市场调查¦market mechanism::市场机制；市场调节作用¦housing market::住宅区市场¦financial market::金融市场	Our main overseas market is Japan.::我们的主要海外市场是日本。¦market stalls/traders::集市货摊 / 商贩	n::市场；行情；股票市场；市面；[贸易]集市；销路；商店::exchanges, store, shop, outlet, plaza	adj::marketable::市场的；可销售的；有销路的¦n::marketing::行销，销售¦n::marketer::[贸易] 市场商人；市场营销人员¦v::marketing::出售；在市场上进行交易；使…上市（market的ing形式）		mark(做记号) ＋ et(小) → 记录市场行情 → 市场			
costume	ˈkɑsˌtum	kɒstjuːm	n::戏装；化装服；服装，装束::a set of clothes worn by an actor or by someone to make them look like something such as an animal, famous person etc	costume jewelry::（用作服饰的）人造珠宝¦costume design::最佳服装设计¦national costume::民族服装¦chinese costume::中式装；唐装；中装¦costume jewellery::人造珠宝饰物；服装饰物¦costume designer::服装设计师¦costume party::化妆舞会；化装舞会¦costume designing::服装设计	the film’s lavish costumes and spectacular sets::影片中奢华的戏装和壮观的场景¦Hallowe’en costumes::万圣节前夕化装服¦The dancers were in national costume . ＃::舞者都穿着民族服装。	n::[服装]服装，装束；戏装，剧装::clothing, wear, garment, apparel	adj::costumed::穿著特种服装的；穿著戏装的¦n::costumer::做服装的人；服饰供应商		cost(花费) ＋ u(你) ＋ me(我) → 你我都免不了花钱买服装 → 服装， 服饰			
embarrassed	ɪm'bærəst	ɪm'bærəst	adj::窘迫的；害羞的::feeling uncomfortable or nervous and worrying about what people think of you	feel embarrassed::感到尴尬	Lori gets embarrassed if we ask her to sing.::我们要是请洛丽唱歌，她就会难为情。	adj::尴尬的；窘迫的::awkward, abashed	adj::embarrassing::使人尴尬的；令人为难的¦adv::embarrassingly::使人尴尬地；令人难堪地¦n::embarrassment::窘迫，难堪；使人为难的人或事物；拮据¦vt::embarrass::使局促不安；使困窘；阻碍		em ＋ barr(看作bar， 酒吧) ＋ ass(蠢驴) → 在酒吧喝醉了表现得像头驴 → 使窘迫			
announce	ə'naʊns	ə'naʊns	v::宣布；宣告::to officially tell people about something, especially about a plan or a decision		They announced their engagement in ‘The Times’.::他们在《泰晤士报》上宣布了订婚的消息。¦At the end of their meeting, it was announced that an agreement had been reached.::会议最后宣布已达成一项协议。	vt::宣布；述说；预示；播报::indicate, bill, forecast, shadow	n::announcement::公告；宣告；发表；通告¦n::announcer::[广播] 广播员；宣告者		an(来) + nounc (讲话， 说出) + e → 讲出来 → 宣布			
spaghetti	spə'ɡɛti	spə'getɪ	n::意大利面条::a type of  pasta  in very long thin pieces, that is cooked in boiling water		Susan: What kind of spaghetti sauce is this?::苏珊： 这是哪种意大利面条酱？							
hoax	hoks	həʊks	n::恶作剧；骗局::a false warning about something dangerous		a bomb hoax::虚假炸弹恐吓¦hoax calls(= telephone calls giving false information ) to the police::恶作剧报警电话¦an elaborate hoax ＃::精心设计的骗局	vt::愚弄；欺骗::sell, fox, make a fool of¦n::骗局；恶作剧::confidence trick, mischief	n::hoaxer::骗子；欺骗者					
