adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着::a boat that is adrift is not fastened to anything or controlled by anyone		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。	adj::漂泊的；漂浮着的::vagrom, anchorless						
sinful	'sɪnfl	'sɪnfʊl; -f(ə)l	adj::有罪的::against religious rules, or doing something that is against religious rules		Dancing was believed to be sinful.::跳舞曾被认为是不道德的。¦a wicked, sinful man::邪恶、不道德的人	adj::有罪的::guilty, culpable	adj::sinless:: 无罪的；清白的¦n::sin:: 罪恶；罪孽；过失¦n::sinner:: 罪人；有错者¦n::sinfulness:: 有罪；作恶多端¦vi::sin:: 犯罪；犯过失¦vt::sin:: 犯罪					
singular	'sɪŋɡjəlɚ	'sɪŋgjʊlə	adj::单数的；单一的；非凡的；异常的::a singular noun, verb, form etc is used when writing or speaking about one person or thing¦n::单数::the form of a word used when writing or speaking about one person or thing	singular value::n. 奇异值；奇值¦singular value decomposition::奇异值分解¦singular point::奇点；奇异点¦singular integral::奇异积分，奇解¦singular number::n. 单数¦singular function::奇异函数¦singular solution::奇异解	the singular form of the noun::该名词的单数形式¦If the subject is singular, use a singular verb.::如果主语是单数，就用单数动词。	adj::单数的；单一的；非凡的；[数]异常的::remarkable, extraordinary, novel, wonder, exquisite	adv::singularly:: 异常地；非常地；令人无法理解地¦n::singularity:: 奇异；奇点；突出；稀有¦n::singleness:: 单一；独身；真诚；专心¦vt::singularize:: 使显著；使单一化；使成为唯一；使成为单数					
sinister	'sɪnɪstɚ	'sɪnɪstə	adj::阴险的；凶兆的；灾难性的；左边的::making you feel that something evil, dangerous, or illegal is happening or will happen		There is a sinister side to these events.::这些事件有邪恶的一面。¦He was a handsome man, in a sinister sort of way.::他英俊的外貌中带着一点阴险。¦a sinister atmosphere::不祥的气氛	adj::阴险的；凶兆的；灾难性的；左边的::insidious, snaky	adv::sinisterly:: 不吉祥地；邪恶地					
sink	sɪŋk	sɪŋk	v::下沉；消沉；渗透::to go down below the surface of water, mud etc¦n::水槽；洗涤槽；污水坑::a large open container that you fill with water and use for washing yourself, washing dishes etc	heat sink::散热器；吸热部件；冷源¦sink in::渗入；完全被理解¦sink into::陷入¦kitchen sink::激进现实主义；厨房洗涤池；厨房洗涤盆¦sink down::沉落¦sink or swim::成败全靠自己¦heart sink::感到沮丧¦sink mark::缩痕；缩水	Their motorboat struck a rock and began to sink.::他们的摩托艇触了礁，开始下沉。¦The kids watched as the coin sank to the bottom of the pool.::孩子们看着那枚硬币沉到池底。¦The heavy guns sank up to their barrels in the mud.::这些沉重的大炮深陷在泥里，只露出炮管。	vi::下沉；消沉；渗透::dip¦vt::使下沉；挖掘；使低落::to dig, tap into¦n::[化工]水槽；洗涤槽；污水坑::trough, washing tank	adj::sunken:: 沉没的；凹陷的；比周围低的¦adj::sinking:: 下沉的¦adj::sinkable:: 会沉的；易下沉的¦n::sinking:: 沉没¦n::sinker:: 铅锤；铅坠；[矿业] 凿井工；下沉的人¦v::sunken:: 沉没（sink的过去分词）；下沉¦v::sinking:: 下沉（sink的现在分词）					
sitcom	'sɪtkɑm	'sɪtkɒm	abbr::情景喜剧（situation comedy）::		Yes, he was tired, but if he couldn't give me thelength of a sitcom--Jim and Pam are going to kiss!--then we were reallydone.::是的，他很累。 但是如果他都不能给我看情景喜剧需要的半个小时的时间---吉姆和潘将会在剧中接吻---那么我们真的是完了。¦Carol was very excited that I was interested in our family's history, even if it was just because a former sitcom actress told me to be.::卡萝尔见到我开始对我们家的历史感兴趣，当然非常兴奋。 即使这只是因为我被前情景喜剧里的女演员逼着做的。¦LISA KUDROW (Phoebe) had a hit after the show finished with HBO sitcom The Comeback and is now an executive producer on the US version of Who Do You Think You Are?::丽莎库卓（菲比）：在《老友记》演出结束后，因加入HBO热门情景喜剧《归来记》而一度走红。 现在是美国版《你认为你是谁》的执行制片人。							
site	saɪt	saɪt	n::地点；位置；场所::a place where something important or interesting happened¦v::设置；为…选址::to place or build something in a particular place	web site::网页；网址¦on site::现场；原地；原位¦construction site::建筑工地；施工场地¦on the site::现场¦in site::原位¦site selection::厂址选择；基地选择；位置选择¦landfill site::垃圾填埋场；垃圾堆填区¦site management::工地管理；场地管理¦building site::建筑工地¦project site::建筑场地，工程地点¦job site::施工现场，工地¦site investigation::现场调查；实地勘测¦site planning::场地规划；地盘规划；总平面设计；总平面规划¦site test::现场试验¦work site::工作地点，工地¦site map::地位级图；网站导航¦test site::试验场地；试验场；试验区¦plant site::厂址¦site operation::地盘作业；工地作业；现场施工¦active site::[生化]活性部位	an archaeological site::考古现场	n::地点；[自]位置；场所::location, spot, situation, where, lie¦vt::设置；为…选址::intercalate, instal	n::situation:: 情况；形势；处境；位置					
situate	'sɪtʃʊet	'sɪtʃʊeɪt; -tjʊ-	v::使位于；使处于::If you situate something such as an idea or fact in a particular context, you relate it to that context, especially in order to understand it better¦adj::位于…的::		How do we situate Christianity in the context of modern physics and psychology?::我们如何将基督教置于现代物理学和心理学的背景中呢？	vt::使位于；使处于::reduce to	adj::situated:: 位于…的；处于…境遇的¦v::situated:: 使位于；使处于（situate的过去分词）¦vi::sit:: 坐；位于¦vt::sit:: 使就座					
situation	,sɪtʃu'eʃən	sɪtjʊ'eɪʃ(ə)n	n::情况；形势；处境；位置::a combination of all the things that are happening and all the conditions that exist at a particular time in a particular place	current situation::现状，目前形势；现况¦present situation::现状¦actual situation::实际情况¦general situation::概况，一般状况¦overall situation::大局；总体形势¦economic situation::经济形势，经济状况¦market situation::市场情况；市场行情¦practical situation::实际情况¦win-win situation::双赢局面¦international situation::国际形势¦financial situation::财务状况¦political situation::政治局势¦epidemic situation::疫情¦situation analysis::n. 形势分析；情况分析¦special situation::特殊情况¦domestic situation::国内形势¦bad situation::糟糕的局面，处于劣势¦social situation::社会情境¦recent situation::近况¦competitive situation::竞争态势；竞争环境；竞争性的局面	I explained the situation to everyone.::我向大家介绍了一下情况。	n::情况；形势；处境；位置::circumstance, case, location, thing, aspect	n::site:: 地点；位置；场所¦vt::site:: 设置；为…选址					
skate	sket	skeɪt	v::滑冰；滑过::to move on skates¦n::溜冰；冰鞋::one of a pair of boots with metal blades on the bottom, for moving quickly on ice	ice skate::溜冰鞋；溜冰¦roller skate::四轮滑冰鞋；轮式溜冰鞋	The children skated on the frozen pond.::孩子们在结冰的池塘上滑冰。	vi::滑冰；滑过::ice skating, ice-skate¦n::溜冰；冰鞋::ice-skating	n::skateboard:: 溜冰板¦n::skating:: 溜冰，滑冰¦n::skater:: 溜冰者¦n::skateboarder:: 滑溜冰板的人；滑板运动员¦v::skating:: 滑冰（skate的ing形式）¦vi::skateboard:: 用滑板滑行					
skeleton	'skɛlɪtn	'skelɪt(ə)n	n::骨架，骨骼；纲要；骨瘦如柴的人::the most important parts of something, to which more detail can be added later¦adj::骨骼的；骨瘦如柴的；概略的::	steel skeleton::钢骨架¦skeleton structure::骨架构造¦skeleton staff::基干人员	We agreed on a skeleton outline of the proposal.::我们给提案商定了一个基本框架。	n::[测][建]骨架，[解剖]骨骼；纲要；骨瘦如柴的人::framework, cadre¦adj::[解剖]骨骼的；骨瘦如柴的；概略的::boned, scrawny	adj::skeletal:: 骨骼的，像骨骼的；骸骨的；骨瘦如柴的					
skeptical	'skɛptɪkl	'skeptɪkəl	adj::怀疑的；怀疑论的，不可知论的::		Not all theory that we read in this course is skeptical.::我们在这门课中提及的理论不全是怀疑性的。¦L.M.:Well, I was skeptical myself in the beginning. But these are facts. The findings are very reproducible and we are waiting for confirmation by other labs.::大爷：我老人家一开始也是很怀疑的。但是这个是事实。这个发现可以被反复验证，我们正在等待别的实验是的验证。	adj::怀疑的；怀疑论的，不可知论的::sceptical, suspicious	adv::skeptically:: 怀疑地¦n::skepticism:: 怀疑论；怀疑的态度¦n::skeptic:: 怀疑论者；怀疑者；无神论者					
sketch	skɛtʃ	sketʃ	n::素描；略图；梗概::a simple, quickly made drawing that does not show much detail¦v::画素描或速写::to draw a sketch of something	sketch map::示意图，草图¦design sketch::设计图¦sketch out::v. 概略地叙述；草拟¦sketch in::约略地补充¦rough sketch::草图¦sketch book::素描簿¦sketch design::设计草图¦freehand sketch::徒手画的草图¦pencil sketch::素描	...thumbnail sketches of heads of state and political figures.::…国家首脑和政治要员们的简要陈述。	n::素描；略图；梗概::outline, croquis	adj::sketchy:: 写生风格的；写生的；概略的¦adv::sketchily:: 大略地；写生风格地¦n::sketcher:: 作素描者；舞台布景设计者¦n::sketchiness:: 大概；肤浅					
skid	skɪd	skɪd	n::打滑；[车辆] 刹车；滑轨，滑动垫木::a sudden sliding movement of a vehicle that you cannot control¦v::刹住，使减速；滚滑::	hit the skids::倒霉，走下坡路¦skid resistance::[化]抗滑，抗滑性¦on the skids::◎[口语]待发出的；待抛出的¦skid proof::防滑	Turn the car towards the skid if you lose control of it.::如果汽车失去控制，就往打滑的方向转。¦He slammed on the brakes and we went into a long skid (= started to skid ) .::他猛力踩下车，我们的车子打滑了很长一段路。	n::打滑；[车辆]刹车；滑轨，[建]滑动垫木::spoke, lock¦vt::刹住，使减速；滚滑::put on the brakes	n::skidder:: 集材工；集材道横木；集材机					
skilled	skɪld	skɪld	adj::熟练的；有技能的；需要技能的::someone who is skilled has the training and experience that is needed to do something well	skilled worker::技术工入¦skilled labor::熟练工人¦be skilled in::精通¦skilled labour::熟练工人；熟练技能¦skilled technician::n. 技师	Skilled craftsmen, such as carpenters, are in great demand.::对木工之类的熟练工匠需求量很大。¦The company is fortunate to have such highly skilled workers.::公司有这样一些技能熟练的工人真是幸运。	adj::熟练的；有技能的；需要技能的::experienced, accomplished, clever, practiced, master	adj::skillful:: 熟练的；巧妙的¦adj::skilful:: （英）熟练的；灵巧的；技术好的（等于skillful）¦adj::skilly:: 熟练的¦adv::skilfully:: 熟练地（等于skillfully）¦n::skill:: 技能，技巧；本领，技术¦n::skillfulness:: 灵巧；有技巧¦n::skilly:: 羹汤；麦片粥					
skirmish	'skɝmɪʃ	'skɜːmɪʃ	n::小冲突，小规模战斗；小争论::a fight between small groups of soldiers, ships etc, especially one that happens away from the main part of a battle – used in news reports¦v::进行小规模战斗；发生小争论::If people skirmish, they fight		Border skirmishes between India and Pakistan were common.::印巴边境的小冲突曾经是常有的事。¦They were skirmishing close to the minefield now.::他们当时正在雷区附近小规模交火。		n::skirmisher:: 散兵；进行小争斗者					
skull	skʌl	skʌl	n::头盖骨，脑壳::the bones of a person’s or animal’s head		Her husband was later treated for a fractured skull.::她丈夫后来因颅骨碎裂而接受治疗。	n::头盖骨，脑壳::crania, braincase						
skyrocket	'skaɪ'rɑkɪt	'skaɪrɒkɪt	n::流星烟火；冲天火箭::¦v::飞涨，突然高升::		The trade deficit has skyrocketed.::贸易逆差已经急剧增长。	vi::飞涨，突然高升::sky, sharp increase						
slack	slæk	slæk	adj::松弛的；疏忽的；不流畅的::hanging loosely, or not pulled tight¦v::松懈；减弱::to make less effort than usual, or to be lazy in your work¦n::煤末；峡谷::very small pieces of coal¦adv::马虎地；缓慢地::	slack off::偷懒；懈怠¦slack season::淡季¦slack wax::疏松石蜡；粗蜡¦slack adjuster::松紧调整器；空隙调整器；拉紧螺钉¦slack water::静水；缓慢流动的水；憩流¦slack coal::粉煤；煤屑	Keep the rope slack until I tell you to pull it.::让绳子松着，直到我叫你拉紧。	adj::松弛的；疏忽的；不流畅的::laid, flabby¦vi::松懈；减弱::relax, fall, lower¦n::煤末；峡谷::canyon, glen¦vt::放松；使缓慢::relax, lighten up¦adv::马虎地；缓慢地::slowly, lentamente	adv::slackly:: 松弛地；懈怠地；不活跃地¦n::slackness:: 松弛；懈怠；不活跃¦vi::slacken:: 松劲，懈怠；变松弛；变缓慢¦vt::slacken:: 使缓慢；使松弛					
slam	slæm	slæm	v::砰地关上；猛力抨击::if a door, gate etc slams, or if someone slams it, it shuts with a loud noise¦n::猛击；砰然声::the noise or action of a door, window etc slamming	grand slam::大满贯；满垒时的全垒打¦slam the door::v. 摒弃；关门；拒绝¦slam dunk::扣篮，塞投（篮球动作）	We heard a car door slam.::我们听到有车门砰的一声关上了。¦He slammed the door shut .::他把门砰地关上。	n::猛击；砰然声::pop, crasher						
slander	'slændɚ	'slɑːndə	v::诽谤；造谣中伤::to say false things about someone in order to damage other people’s good opinion of them¦n::诽谤；中伤::a false spoken statement about someone, intended to damage the good opinion that people have of that person		He accused me of slandering him and trying to undermine his position.::他指控我诽谤他并想削弱他的地位。	vt::诽谤；造谣中伤::wrong, asperse¦n::诽谤；中伤::defamation, scandal	adj::slanderous:: 诽谤的；诽谤性的；中伤的¦adv::slanderously:: 诽谤地；造谣中伤地；恶毒地¦n::slanderer:: 诽谤者					
slang	slæŋ	slæŋ	n::俚语；行话::very informal, sometimes offensive language that is used especially by people who belong to a particular group, such as young people or criminals¦adj::俚语的::¦v::用粗话骂::		schoolboy slang::学生俚语	n::俚语；行话::jargon, dialect	adj::slangy:: 俚语的；俗话多的；好用俚语的					
slant	slænt	slɑːnt	n::倾斜；观点；偏见::a way of writing about or thinking about a subject that is based on a particular opinion or set of ideas¦v::倾斜；有倾向::to slope or make something slope in a particular direction¦adj::倾斜的；有偏见的::	slant range::倾斜范围（等于slant distance）	The article had an anti-union slant .::这篇文章有反工会倾向。	n::倾斜；观点；偏见::viewpoint, perspective, slope, outlook, eye¦vi::倾斜；有倾向::pitch, slope, lean¦vt::使倾斜；使倾向于::slope, lean¦adj::倾斜的；有偏见的::gradient, raked	adj::slanted:: 斜的；有倾向的¦adj::slanting:: 倾斜的¦adj::slantwise:: 倾斜的¦adv::slantingly:: 歪斜地¦adv::slantways:: 倾斜地¦adv::slantwise:: 倾斜地¦v::slanted:: 使倾斜（slant的过去式和过去分词）¦v::slanting:: 使倾斜（slant的ing形式）					
slap	slæp	slæp	v::拍击；侮辱；掌击；掴…的耳光::to hit a surface with a lot of force, making a loud sharp sound¦n::掴；侮辱；掌击；拍打声::a quick hit with the flat part of your hand¦adv::直接地；猛然地；恰好::	slap on::随便穿上；胡乱涂上；断然拒绝	Sarah slapped Aaron across the face.::萨拉在阿龙的脸上掴了一巴掌。	vt::拍击；侮辱；掌击；掴…的耳光::make a chump out of, insult¦n::掴；侮辱；掌击；拍打声::despite, indignity¦vi::掴；拍击::spank¦adv::直接地；猛然地；恰好::directly, immediately, straight, just, fair						
slate	slet	sleɪt	n::板岩；石板；蓝色；石片::a dark grey rock that can easily be split into flat thin pieces¦v::铺石板；严厉批评某人；计划::if something is slated to happen, it is planned to happen in the future, especially at a particular time¦adj::板岩的；石板色的::	clean slate::n. 清白历史¦wipe the slate clean::勾销往事¦on the slate::[英国口语]赊账，挂账¦clean the slate::v. 了结往事；免除义务	There were several slates missing from the roof.::房顶有几块石板瓦掉了。	n::[岩]板岩；[地质]石板；蓝色；石片::blue, flagstone	adj::slaty:: 石板色的；石板一样的；板岩的¦n::slat:: 板条；狭板¦n::slater:: 石板瓦工；等足类甲壳动物¦n::slating:: 石板瓦；叱责¦vt::slat:: 用板条做或装备；用条板制造					
slaughter	'slɔtɚ	'slɔːtə	v::屠宰，屠杀；杀戮；使惨败::to kill an animal, especially for its meat¦n::屠宰，屠杀；杀戮；消灭::when people kill animals, especially for their meat	slaughter house::屠宰场	Hundreds of innocent civilians had been slaughtered by government troops.::数百名无辜平民遭政府军屠杀。	vt::[畜牧]屠宰，屠杀；杀戮；使惨败::put to the sword, shed blood¦n::[畜牧]屠宰，屠杀；杀戮；消灭::kill, extinction	adj::slaughterous:: 好杀戮的；凶残的¦n::slaughterhouse:: 屠宰场（等于abattoir）；屠杀场¦n::slaughterer:: 屠夫；刽子手					
slay	sle	sleɪ	v::杀害，杀死；使禁不住大笑::to kill someone – used especially in newspapers¦n::(Slay)人名；(英、柬)斯莱::		...the hill where St. George slew the dragon.::…圣乔治屠龙之丘。	vt::杀害，杀死；使禁不住大笑::kill, strike down¦vi::杀死，杀害；残杀::kill, strike down	n::slew:: 回转；沼地；极多¦n::slayer:: 凶手；杀人者；屠宰者¦v::slew:: 杀害（slay的过去式）¦vi::slew:: 扭转；侧滑；转向；猛拐¦vt::slew:: 使扭转；使旋转					
sledge	sledʒ	sledʒ	v::用雪橇搬运；乘雪橇；用大锤打::to travel on a sledge¦n::雪橇；大锤::a small vehicle used for sliding over snow, often used by children or in some sports		Trekking through the snow pulling a sledge.::拖着雪橇在雪地里跋涉的人。¦I heaved again at my sledge, my strength boosted by visions of a cold, lonely death.::我再次去推动卡着的雪橇，想到自己会在寒冷中孤独地死去，我力气倍增。	vt::用雪橇搬运；乘雪橇；用大锤打::sleigh¦vi::用大锤打；猛击；乘雪橇::drive, belt¦n::雪橇；[五金]大锤::cariole, carriole	adj::sledgehammer:: 手下不留情的；强力的¦n::sled:: 雪橇¦n::sledding:: 乘雪橇；适用雪橇的地面状况；进行情况¦n::sledgehammer:: 大锤；猛烈的打击¦v::sledding:: 乘雪橇；用雪橇运（sled的ing形式）¦vi::sled:: 乘雪橇；用雪橇运¦vt::sled:: 用摘棉机摘；用雪橇运¦vt::sledgehammer:: 用大锤打；猛力打					
sleepless	'slipləs	'sliːplɪs	adj::失眠的；不休息的；警觉的；永不停息的::a night when you are unable to sleep	sleepless night::不眠之夜	Adrian spent a sleepless night wondering what to do.::阿德里安一夜未眠，在想该怎么办。	adj::失眠的；不休息的；警觉的；永不停息的::insomnic, wakeful	adj::sleepy:: 欲睡的；困乏的；不活跃的¦adj::sleeping:: 睡着的¦n::sleep:: 睡眠¦n::sleeping:: 睡眠¦n::sleeper:: 卧车；卧铺；枕木；睡眠者¦n::sleeplessness:: 失眠¦vi::sleep:: 睡，睡觉					
sleet	slit	sliːt	v::下雨夹雪；下冰雹::¦n::雨夹雪；雨淞::half-frozen rain that falls when it is very cold		Photo Tip: When shooting in cold weather, or extreme conditions such as snow and sleet, it's important not to change your lenses outdoors.::拍照小技巧：在寒冷的天气里，或者遇到极端天气的时候，如下雪或者雨夹雪，想要拍照，最重要的是注意不要在户外更换镜头。¦The three boys threw their hockey gear to the top of the hill and tried crawling up the path, but the sleet had created a smooth glacier with nothing to hold on to.::三个男孩儿把他们的冰球装备扔到山顶上，然后试着沿小路往上爬，但雨夹雪已经令山坡变得更加的滑，而且没有任何可以抓住的东西。	n::[气象]雨夹雪；雨淞::verglas	adj::sleety:: 雨夹雪的					
sleigh	sle	sleɪ	v::乘雪橇；驾雪橇::¦n::雪橇::a large open vehicle with no wheels that is used for travelling over snow and is pulled along by animals		The sleigh jingled along the snowy road.::雪橇在积雪的路上丁当前进。¦They believe that -- on the night before Christmas -- he travels through the air in a sleigh pulled by reindeer. He enters each house from the top by sliding down the hole in the fireplace.::小孩子们相信：在圣诞节的前一夜，圣诞老人乘坐驯鹿拉的雪橇从空中而来，他从壁炉的烟囱进入到每家每户，他把给孩子们的圣诞礼物放在圣诞树下。	vi::[交]乘雪橇；驾雪橇::sled¦vt::[交]乘雪橇；用雪橇运输::sledge¦n::[交]雪橇::cariole, sled						
slender	'slɛndɚ	'slendə	adj::细长的；苗条的；微薄的::thin in an attractive or graceful way	slender body::细长体；瘦长体	She is slender and stylish.::她身材修长，穿着时髦。¦Laura’s tall, slender figure::劳拉高挑的身材	adj::细长的；苗条的；微薄的::slight, spindly	adv::slenderly:: 苗条地；细长地¦n::slenderness:: 细长；苗条¦vt::slenderize:: 使苗条；使成细长状					
slice	slaɪs	slaɪs	n::薄片；部分；菜刀，火铲::a thin flat piece of food cut from a larger piece¦v::切下；把…分成部分；将…切成薄片::to cut meat, bread, vegetables etc into thin flat pieces	a slice of::一片，一份¦thin slice::薄片¦slice of bread::面包片¦time slice::时间片；时间片段；时间区分¦slice off::v. 切开；割掉¦tissue slice::组织切片	pizza slices::比萨块¦Cut the tomatoes into slices .::把番茄切成片。	n::薄片；部分；菜刀，火铲::proportion, part, portion, percent, integral¦vt::切下；把…分成部分；将…切成薄片::chip off, chip out¦vi::切开；割破::cut open, to cut	adj::sliced:: （食物）已切成薄片的¦n::slicing:: 切断，切片；限制，[电子] 限幅¦n::slicer:: 切片机；截剪器；限制器¦v::sliced:: 切成薄片；分配（slice的过去式和过去分词）					
slide	slaɪd	slaɪd	n::滑动；幻灯片；滑梯；雪崩::a large structure with steps leading to the top of a long sloping surface which children can slide down¦v::滑动；滑落；不知不觉陷入::to move smoothly over a surface while continuing to touch it, or to make something move in this way	on the slide::在滑板上；日益恶化¦slide show::放映幻灯片¦slide block::滑块；滑架¦slide down::滑下，往下滑；塌陷；下滑音¦slide into::不知不觉陷入；不知不觉地沾染上¦slide rail::滑道，滑轨¦slide valve::n. [机]滑阀¦slide way::滑道，滑槽¦slide plate::滑块；滑板滑床板¦slide fastener::n. 拉链¦water slide::水滑道¦slide projector::幻灯机，幻灯片放映机¦slide guide::滑动导轨，导轨¦slide over::略过；回避¦glass slide::载玻片；玻璃载片¦slide bearing::滑动轴承¦slide gate::滑动闸门，滑动水口；滑门¦microscope slide::显微镜载片；显微镜载物片¦slide switch::滑动开关¦slide up::上滑音；滑盖式	a slide show::幻灯片放映	n::滑动；[电影]幻灯片；滑梯；雪崩::transparency, slipping¦vi::滑动；滑落；不知不觉陷入::bowl, creep down¦vt::滑动；使滑动；悄悄地迅速放置::slip	adj::sliding:: 变化的；滑行的¦n::slider:: 滑动器；滑雪者；会滚动之物¦n::sliding:: 滑；移动¦v::sliding:: 滑动；使滑行（slide的ing形式）					
slim	slɪm	slɪm	adj::苗条的；修长的；微小的；差的::someone who is slim is attractively thin¦v::使…体重减轻；使…苗条::to make yourself thinner by eating less, taking a lot of exercise etc¦n::(Slim)人名；(阿拉伯)萨利姆；(英、西)斯利姆::	slim hole::小口径钻孔¦slim down::消瘦	a slim young woman::身材苗条的年轻女子¦a slim waist::纤腰	adj::苗条的；修长的；无价值的::slender, willowy¦vi::减轻体重；变细::thin down	adv::slimly:: 苗条地；微弱地；狡猾地¦n::slimness:: 细长；微薄					
sling	slɪŋ	slɪŋ	n::[机] 吊索；投石器；抛掷::a set of ropes or strong pieces of cloth that are used to lift and carry heavy objects¦v::用投石器投掷；吊起::If you sling something over your shoulder or over something such as a chair, you hang it there loosely	sling someone out::赶走某人，驱逐某人¦rope sling::吊索；吊货索环；索套	They used slings of rope to lower us from one set of arms to another.::他们用几条绳索把我们从一组吊臂降到另外一组吊臂。¦She slung her coat over her desk chair.::她把外衣搭在了桌椅背上。¦He had a small green backpack slung over one shoulder.::他把一只绿色小背包搭在一边肩上。	n::[机]吊索；投石器；抛掷::riser cable, headwear¦vt::用投石器投掷；吊起::trice	n::slinger:: 投石者；吊物工人；摔砂造模机；吊环¦n::slinging:: 吊起；抛砂					
slip	slɪp	slɪp	v::滑动；滑倒；犯错；失足；减退::to slide a short distance accidentally, and fall or lose your balance slightly¦n::滑，滑倒；片，纸片；错误；下跌；事故::a small mistake¦adj::滑动的；有活结的；活络的::¦abbr::串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）::	let slip::错过；无意中吐露；放走¦slip away::逃走；悄悄溜走¦slip in::悄悄溜入；偷偷溜进去¦slip into::v. 溜进；使滑入；匆忙穿上；[俚]大吃¦strike slip::[地理学]走向位移；走向滑距¦slip surface::滑面，滑动面¦slip on::套裙；滑动的¦slip line::滑线；滑动线¦deposit slip::n. 存款单¦slip velocity::滑移速度¦slip out::溜出；悄悄地溜出去¦slip ratio::滑移比率，滑率，滑差系数¦slip by::飞掠而过¦slip up::v. 疏忽；跌倒；遭到不幸¦slip form::滑模，滑动模板¦slip ring::滑环；集电环¦slip casting::[化]注浆成型法¦slip of the tongue::口误；失言；小错误¦slip out of::溜走，从…中滑出¦slip plane::滑移面；滑动面；滑面；侧滑面	Wright slipped but managed to keep hold of the ball.::赖特滑了一下，但球还抓在手里。	vi::[地质]滑动；滑倒；犯错；失足；减退::slide, bowl¦vt::[地质]使滑动；滑过；摆脱；塞入；闪开::shed, slide¦n::滑，滑倒；片，纸片；错误；下跌；事故::error, accident, mistake, fault, sliding¦adj::[地质]滑动的；有活结的；活络的::slidable	adj::slipping:: 渐渐松弛的¦adj::slippy:: 光滑的；敏捷的¦n::slippage:: 滑移；滑动；下降¦n::slipping:: 滑动¦v::slipping:: 滑动（slip的现在分词）					
slogan	'slogən	'sləʊg(ə)n	n::标语；呐喊声::a short phrase that is easy to remember and is used in advertisements, or by politicians, organizations etc		an advertising slogan::一句广告口号¦demonstrators shouting political slogans::高喊政治口号的示威者¦the Democrats’ campaign slogan::民主党的竞选口号	n::标语；呐喊声::banner, catchline	n::sloganeer:: 标语口号作者¦vi::sloganeer:: 使用标语口号；大量使用标语					
slope	slop	sləʊp	n::斜坡；倾斜；斜率；扛枪姿势::a piece of ground or a surface that slopes¦v::倾斜；逃走::if the ground or a surface slopes, it is higher at one end than the other	slope stability::坡面稳定性¦rock slope::岩石边坡；石坡；岩石坡；石流坡¦slope protection::边坡保护，护坡；护坡工程¦side slope::边坡；侧坡；侧面斜坡¦steep slope::陡坡，急坡；高倾斜¦slope angle::斜角；倾斜角；坡度角¦north slope::阿拉斯加北坡；北坡油田¦gentle slope::缓坡；平缓坡度；平缓倾斜¦slope failure::边坡破坏；滑坡；山泥倾泻；斜坡崩塌¦northern slope::北坡（美国阿拉斯加州北冰洋之间）¦at the slope::[英国英语](士兵)扛着枪；(枪)在扛着¦continental slope::大陆坡¦longitudinal slope::纵坡；纵向坡度¦slope efficiency::斜率效能；斜度效率¦slippery slope::n. 灾难性的急剧下滑¦slope toe::坡脚¦abrupt slope::陡坡¦upstream slope::上游坡；上游坡度¦unstable slope::不稳定斜坡，不稳定边坡；不稳坡¦back slope::反向斜面；后坡	a steep slope::陡坡¦a gentle::缓坡¦She looked back up the grassy slope.::她回头望了一眼那绿草如茵的坡地。	n::斜坡；倾斜；[数]斜率；扛枪姿势::hill, pitch¦vi::倾斜；逃走::pitch, tip up¦vt::倾斜；使倾斜；扛::carry, tip up	adj::sloping:: 倾斜的；有坡度的；成斜坡的¦adj::sloped:: 倾斜的¦v::sloping:: 溢出（slop的ing形式）¦v::sloped:: 倾斜；使倾斜（slope的过去式）					
slot	slɑt	slɒt	n::位置；狭槽；水沟；硬币投币口::A slot is a narrow opening in a machine or container, for example, a hole that you put coins in to make a machine work¦v::跟踪；开槽于::	time slot::时间空档；（电视或广播电台的）播放时段¦slot machine::自动售贷机¦slot antenna::缝隙天线；槽孔天线¦key slot::n. 键槽¦single slot::单插槽；单翼缝¦slot width::齿缝宽度¦stator slot::定子槽¦card slot::板槽，插卡槽¦slot wedge::槽楔；槽边缘¦expansion slot::扩充槽，扩充插槽¦rotor slot::转子线槽	He dropped a coin into the slot and dialled.::他把一枚硬币投进了那个投币口，然后拨了号。	n::位置；狭槽；水沟；硬币投币口::location, situation, site, lie¦vt::跟踪；开槽于::dog, follow up the scent						
sluggish	'slʌɡɪʃ	'slʌgɪʃ	adj::萧条的；迟钝的；行动迟缓的；懒惰的::moving or reacting more slowly than normal¦n::市况呆滞；市势疲弱::	sluggish economy::萧条的经济¦sluggish market::呆滞的市面	Alex woke late, feeling tired and sluggish.::亚历克斯醒得很晚，感到很倦怠。¦Economic recovery has so far been sluggish.::经济复苏的速度目前仍然缓慢。	adj::萧条的；迟钝的；行动迟缓的；懒惰的::slow, depressed, lazy	adv::sluggishly:: 懒怠地；慢吞吞地¦n::slug:: 鼻涕虫；动作缓慢的人；金属小块¦n::sluggishness:: 迟缓；惰性；萧条¦vi::slug:: 偷懒；动作迟缓¦vt::slug:: 重击					
