ability	ə'bɪləti	ə'bɪlɪtɪ	n::能力，能耐；才能::the state of being able to do something	innovation ability::创新能力¦ability for::在…的能力¦learning ability::学习能力¦practical ability::实践能力；实际能力¦technical ability::技术能力¦reading ability::阅读能力¦management ability::管理能力¦writing ability::写作能力；书写能力¦working ability::工作能力，加工能力¦physical ability::体能，体质能力；身体能力¦cognitive ability::认知能力¦service ability::工作能力¦ability to pay::支付能力¦combining ability::配合力¦develop ability::发挥才能¦executive ability::执行力；行政能力¦natural ability::本能¦administrative ability::行政能力；经营才能¦unique ability::独有能力¦adaptive ability::自适应能力	The test measures your mathematical ability.::这种测试考查的是数学能力。	n::能力，能耐；才能::capacity, competence, talent, quality, power			 来自able(adj. 能够…的)			
wear	wɛr	weə(r)	v:: 穿着， 戴着， 留； 面露， 面带， 呈现； 磨损， 用旧::to become thinner or weaker after continuous use, or to make something do this	wear resistance::[机]耐磨性，耐磨度¦wear and tear::n. 磨损¦wear resistant::耐磨的；耐磨性¦wear in::磨合¦wear glasses::戴眼镜；戴着眼镜¦tool wear::工具磨耗，刀具磨损¦casual wear::便装，休闲服¦wear out::磨损，耗尽；穿破；使精疲力竭¦in wear::(服装等)时髦的；经常穿着的¦abrasive wear::磨损；磨料磨损；磨蚀¦sports wear::运动服¦wear properties::耐磨性¦wear rate::磨耗率¦wear on::缓慢地进行；时间消逝¦wear test::磨损试验；磨耗试验；试穿¦children's wear::童装；儿童服装¦wear away::磨损；消磨；流逝¦wear well::经久耐用¦resistance to wear::耐磨性；抗磨强度¦wear off::磨损；逐渐消逝	The cushions are starting to wear a little.::这些靠垫开始有点磨破了。¦His jeans have worn thin at the knees.::他牛仔裤的膝盖处已经磨薄了。¦You’ve worn a hole in your sock.::你的袜子磨出了个洞。	vt::穿着，戴；[机]磨损::have on, keep sth on¦vi::[机]磨损，变旧::grind down, frazzle¦n::[服装]服装，穿着；耐用性，耐久性；损耗::clothing, waste, garment, apparel, durability	adj::worn:: 疲倦的；用旧的¦adj::wearing:: 磨损的；穿用的；令人疲倦的¦adj::wearable:: 可穿用的，可佩带的；耐用的¦n::wearer:: 佩带者；穿用者¦n::wearable:: 衣服¦v::worn:: 穿；磨损（wear的过去分词）；佩戴¦v::wearing:: 穿着；磨损（wear的ing形式）		 穿得(wear)这么漂亮， 准备去哪儿(where)啊？			
our	aʊr	'auə(r)	pron:: 我们的::		How do you like our schedule?::您喜欢我们的日程安排吗?。¦Nothing at all. And our convention?::完全没有。我们的大会？¦They all live in our life but far away from us.::他们都生活在我们的生活中却又离我们很远。							
weak	wik	wiːk	adj:: 虚弱的， 无力的； 弱的， 差的； 微::not physically strong	weak point::弱点（心理或身体上的残疾）；缺点¦weak link::薄弱环节；弱键¦weak force::弱作用力；弱核力；弱相互作用¦weak acid::弱酸¦weak rock::软弱岩石¦weak spot::弱点¦weak market::疲软的市场¦weak light::弱光灯标；弱光灯¦weak form::弱式；弱读式¦weak current::弱电；弱流¦weak coupling::弱耦合；疏耦合¦weak base::[化]弱碱¦weak solution::弱解；稀溶液¦weak tea::淡茶¦weak earthquake::弱震	The illness left her feeling weak.::疾病使她感到身体虚弱。¦Poor light produces weak plants.::光照不足，植物就生长不好。¦The animal was weak from loss of blood.::那只动物因失血而虚弱无力。	adj::[经]疲软的；虚弱的；无力的；不牢固的::loose, work-out	adj::weakling:: 虚弱的；懦弱的¦adj::weakly:: 虚弱的；软弱的¦adv::weakly:: 虚弱地；无力地；软弱地；有病地¦n::weakness:: 弱点；软弱；嗜好¦n::weakling:: 虚弱的人；懦怯者¦n::weakener:: 减光板；削弱器¦vi::weaken:: 变弱；畏缩；变软弱¦vt::weaken:: 减少；使变弱；使变淡		 每上完一周(week)的课， 总觉得浑身无力(weak)			
out	aʊt	aut	adv:: 出， 向外； 在外， 不在； 出::from inside an object, container, building, or place	out of::由于；缺乏；自…离开；用…（材料）¦out for::寻求；[口]力图要；决心要获得¦go out::出去；熄灭；过时¦out with::v. 拿出；赶出¦all out::全力以赴¦go out of::从…出来，离开¦out from under::摆脱危难¦do out::打扫；收拾¦out and out::不折不扣地；彻底地¦out one's way::[口语]就在附近地区¦out and in::进进出出，内外¦do someone out of::◎向某人骗取(或诈取)¦out and away::大大地，远远地	She opened her suitcase and took out a pair of shoes.::她打开手提箱，拿出一双鞋。¦Lock the door on your way out.::你出去时把门锁上。¦Charlotte went to the window and looked out.::夏洛特走到窗前往外看。¦Out you go (= used to order someone to leave a room )!::你给我出去！	adv::出现；在外；出局；出声地；不流行地::aloud, outward¦adj::外面的；出局的；下台的::outer, outside, external¦n::出局::putout¦prep::向；离去::towards, unto, at, on, to¦vi::出来；暴露::emerge, come forth¦vt::使熄灭；驱逐::expel, dispel	adj::outward:: 向外的；外面的；公开的；外服的；肉体的¦adj::outer:: 外面的，外部的；远离中心的¦adj::outing:: 远足适用的¦adj::outermost:: 最外面的；最远的¦adj::outmost:: 最远的；最外面的；最高头的¦adv::outward:: 向外（等于outwards）；在外；显而易见地¦adv::outwardly:: 表面上；向外；外观上地¦n::outward:: 外表；外面；物质世界¦n::outer:: 环外命中¦n::outing:: 远足；短途旅游；体育比赛¦n::outness:: 外在性，客观存在性¦n::outwardness:: 客观性；客观的存在¦v::outing:: 出来；暴露（out的ing形式）				Bill doesn't like the sunglasses in the ad because they can't ______ the sun well. ::2::1)take out 2)keep out 3)clean out 4)look out::译文： 比尔不喜欢广告里的太阳镜， 因为它们的遮光性不好。 本题考查的是不同的动词跟out搭配的短语的含义。take out意为“拿出， 取出， 扣除”； keep out意为“使在外”； clean out意为“打扫干净， 清除”； look out意为“向外看； 当心”。因此应该选B。	
overseas	,ovɚ'siz	ˌəuvə'siːz	adv::在海外，在国外::to or in a foreign country that is across the sea¦adj:: 海外的， 国外的，::coming from, existing in, or happening in a foreign country that is across the sea	overseas chinese::华侨，海外华人¦overseas market::海外市场¦overseas investment::海外投资¦overseas trade::海外贸易；对外贸易¦overseas student::留学生¦overseas travel::国外旅游，海外旅行¦returned overseas chinese::归侨¦overseas department::海外部¦overseas branch::国外分支机构；海外分店¦overseas assets::海外资产¦overseas bank::国外银行¦overseas call::国际电话¦overseas chinese affairs office::侨务办公室	Chris is going to work overseas.::克里斯要去国外工作。¦Most applications came from overseas.::大部分申请来自海外。	adv::在海外，海外::beyond the sea¦adj::海外的，国外的::transmarine, off-shore			 over(越过)+sea(大海)+s→越过大海的→海外的			
rock	rɑk	rɒk	v:: 摇， 摇动::to move gently backwards and forwards or from side to side, or to make something do this¦n::岩石，石块；摇滚乐::a type of popular modern music with a strong loud beat, played using  guitar s  and drums	rock mass::岩体；岩块，岩块体；岩石层¦source rock::源岩；生油岩层¦soft rock::比较轻柔的摇滚乐；软岩石¦on the rocks::触礁，毁坏；破产¦rock mechanics::岩石力学；岩土力学¦wall rock::n. [矿]围岩¦rock burst::岩层突裂¦rock slope::岩石边坡；石坡；岩石坡；石流坡¦volcanic rock::火山岩；火成岩；火山碎屑岩¦hard rock::重摇滚；剧烈摇滚乐；硬质岩石¦carbonate rock::碳酸盐岩¦phosphate rock::磷酸盐岩¦rock music::摇滚乐¦rock type::岩石类型；岩石型态¦rock and roll::摇滚乐¦rock salt::n. 岩盐¦reservoir rock::n. 储集岩；贮油岩；储油岩石¦clastic rock::碎屑岩¦rock band::摇滚乐团¦rock climbing::攀岩运动；岩石作业	She covered her face, rocking to and fro in her grief.::她捂住脸，悲痛得身体不住地来回晃动。¦The waves rocked the boat from side to side .::波浪使小船左摇右晃。¦Paul sat gently rocking the child in his arms.::保罗坐着，轻轻摇晃怀里的孩子。¦Jim rocked with laughter when he heard what had happened.::吉姆听了发生的事情后笑得前仰后合。	n::[岩]岩石；摇滚乐；暗礁::covers, pena¦vt::摇动；使摇晃::shake, swing motion¦vi::摇动；摇晃::wave, roll, shake	adj::rocky:: 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的¦adj::rocklike:: 石头般的；坚硬如岩石的¦n::rocker:: 摇杆；摇的人；镰刀弯；套钩；摇轴¦n::rockabilly:: （美）山区乡村摇滚乐（起源于美国东南部）		 流行音乐的分支之一是rock and roll(摇滚乐)			
impress	ɪm'prɛs	ɪm'pres	v:: 给…深刻印象， 使铭记::to make someone feel admiration and respect	impress on::给…留下印象¦impress upon::使牢记；给…留下印象；留下印记	Steve borrowed his dad’s sports car to impress his girlfriend.::史蒂夫借来他爸爸的跑车向女友炫耀。¦‘He’s a lawyer?’ Mum looked suitably impressed (= as impressed as you would expect ).::“他是个律师？”妈妈看上去果然对他印象颇好。	vt::盖印；强征；传送；给予某人深刻印象::propagate¦n::印象，印记；特征，痕迹::print, mark, characteristic, trace	adj::impressive:: 感人的；令人钦佩的；给人以深刻印象的¦adj::impressionistic:: 印象派的；印象主义的；给人深刻印象的¦adj::impressible:: 敏感的；感受性强烈的；易感动的¦n::impression:: 印象；效果，影响；压痕，印记；感想¦n::impressionist:: 印象主义者；印象派作家¦n::impressionism:: 印象派，印象主义¦n::impressiveness:: 令人难忘；印象性；感人¦n::impressment:: 强行征用；征召；强制征兵		 im(进入)+press(压)→压进去→使铭记			
noon	nun	nuːn	n:: 正午， 中午::12 o’clock in the daytime	at noon::adv. 在中午¦high noon::正午；全盛时期；顶峰；[口]危机	We met at 12 noon.::我们中午12点见了面。	n::中午；[天]正午；全盛期::midday, midnoon	adj::noonday:: 正午的（等于midday）¦n::noonday:: 中午					
feature	'fitʃɚ	'fiːtʃə(r)	n::特征，特色；::a part of something that you notice because it seems important, interesting, or typical	distinguishing feature::特点；特征¦main feature::主要特征；主要特点；主景；功能特点¦feature extraction::特征抽取¦structural feature::结构特征；构造形态¦special feature::专用功能部件；特别策划；特别收录¦feature selection::特征选择；特铡择¦basic feature::基本特性¦unique feature::特色；特性；独到之处¦design feature::设计特点；结构特点；设计数据；设计形体¦clinical feature::临床特征，临床表现¦common feature::共同特征¦feature space::特征空间¦distinctive feature::辨别属性；区别性特征¦prominent feature::突出特征；显著地物¦facial feature::面貌¦outstanding feature::显著特点¦surface feature::地貌；地表特征；场地地貌¦characteristic feature::性能特点¦semantic feature::语义特征；语意特征；语义要素¦geographical feature::地理特征	Air bags are a standard feature in most new cars.::气囊是大多数新车的标准配置。¦Striped tails are a common feature of many animals.::尾巴上有条纹是许多动物的共同特征。¦The hotel’s only redeeming features (= things that make it acceptable ) were that it was cheap and near the city centre.::这家旅馆仅有的可取之处就是价格低廉并且靠近市中心。¦One of the distinguishing features (= features that are different from other things of the same sort ) of modern banking is its dependence on computers.::现代银行业的显著特征之一就是依赖电脑。	n::特色，特征；容貌；特写或专题节目::person, characteristic¦vt::特写；以…为特色；由…主演::star	adj::feat:: 合适的；灵巧的¦adj::featured:: 特定的；被作为特色的；有…的面貌特征的¦adj::featureless:: 无特色的¦adj::featherweight:: 极轻的；不重要的¦n::feat:: 功绩，壮举；技艺表演¦n::featherweight:: 非常轻的人或物；不重要的人；轻量级选手¦v::featured:: 使…有特色；起重要作用（feature的过去分词）					
flat	flæt	flæt	adj:: 平的， 平坦的； 固定的， 统一的； 单调的， 沉闷的； 扁平的，::smooth and level, without raised or hollow areas, and not sloping or curving	flat surface::平面；平整表面¦flat out::v. 竭尽全力；用全速；疲惫¦flat panel::扁平面板¦flat plate::平板；浅平盘¦fall flat::失败；达不到预想效果¦tidal flat::潮滩；潮汐平原；潮汐舱内甲板；潮汐滩¦flat knitting::横机织物；横编¦flat roof::屋顶平台¦flat steel::扁钢¦flat screen::平筛，平板筛浆机；平面屏幕¦flat knitting machine::横机；针织横机¦flat tire::没精打采；漏了气的车胎¦flat glass::平板玻璃；板玻璃¦flat panel display::平面直角显示器¦flat bottom::n. 平底；平匠¦fell flat::卧倒；引不起兴趣；完全失败¦flat land::平地；平原¦flat type::平面型；单位类型¦flat top::平顶¦flat head::北美印第安人	houses with flat roofs::平顶房¦a perfectly flat sandy beach::十分平坦的沙滩¦The countryside near there is flat as a pancake (= very flat ) .::那儿附近的乡间地势非常平坦。¦Work on a clean, flat surface.::在干净、平整的台面上工作。	adj::平坦的；扁平的；浅的；单调的::even, low, level, shallow, blank¦adv::平直地；断然地::positively, emphatically¦n::平地；平面；公寓::apartment, plane¦vi::变平::even	adv::flatly:: 断然地；平平地；直截了当地¦n::flatness:: 平坦；单调；断然的态度¦n::flatmate:: 合住一套公寓的人；合租者¦vi::flatten:: 变平；变单调¦vt::flatten:: 击败，摧毁；使……平坦					
get	ɡɛt	get	v:: [got-gotten/got] 获得， 弄到； 收到； 变得； 拿来； 理解， 听到； 到达::to receive something that someone gives you or sends you	get one's::◎[美国口语]得到应有的惩罚¦get something on someone::[口语]抓住某人的把柄¦get there::到达那里；取得成功，实现目标¦get used to::习惯于…¦get rid::摆脱；排除；处理掉¦get up::起床，筹备；打扮¦get out::离开，出去；泄露；出版¦get in::进入；到达；陷入；收获¦get into::进入；陷入；穿上；习惯于¦get back::回来；恢复；取回；重新上台¦get on::上车，上马；进展，使前进¦get out of::逃避；避免¦get married::结婚¦get off::v. 动身；免于受罚；从…下来；脱下（衣服等）¦get better::变得更好；康复¦get to know::了解；认识¦get through::通过；到达；做完；接通电话¦get hold of::把握；抓住；得到¦get away::离开；逃脱；出发¦get from::从…处得到…	She got loads of presents.::她收到了许多礼物。¦What did you get for Christmas?::你圣诞节收到了什么礼物？¦We get a lot of junk mail.::我们收到许多垃圾邮件。¦I got a few games free when I bought my computer.::我买电脑的时候得到了几个免费的游戏。	vt::使得；获得；受到；变成::acquire, make, earn, buy, find¦n::生殖；幼兽::generation, reproduction¦vi::成为；变得；到达::become, land	adj::getable:: 能得到的¦adj::getatable:: 可接近的；可获得的¦adj::gettable:: 能得到的；可以获得的¦n::getting:: 获得；采煤，采掘¦n::gat:: 手枪¦v::getting:: 获得；了解（get的现在分词）；抓住¦v::gat:: 得到（get的过去式）					
dark	dɑrk	dɑːk	adj::暗的，黑暗的；深色的，黑色的::if it is dark, there is little or no light¦n:: 黑暗， 暗处； 暗色， 阴影::when there is no light, especially because the sun has gone down	in the dark::在黑暗中；不知道；秘密地¦dark green::深绿色；青绿色；黛绿¦before dark::黄昏以前¦dark blue::深蓝色，深蓝的¦dark brown::深棕色；深褐色¦after dark::adv. 天黑后；黄昏以后¦dark side::阴暗面；暗边¦dark red::深红色，暗红色¦dark horse::黑马（出人意外获胜的赛马或参赛人）；（美）[政]“黑马”候选人（常因各方妥协而意外获得提名或当选）¦dark matter::暗物质¦dark chocolate::黑巧克力¦dark room::暗室¦dark purple::深紫；暗紫色¦dark color::深色；暗色¦dark cloud::乌云；黑云；暗云¦at dark::adv. 天黑时¦dark eyes::黑眼睛；乌黑的眼睛¦dark gray::深灰；暗灰；灰黑¦dark ages::黑暗时代（欧洲史上约为公元476-1000年）¦dark glasses::墨镜；深色眼镜	The church was dark and quiet.::教堂里黑魆魆的，寂静无声。¦the dark winter days::阴暗的冬日¦Suddenly, the room went dark (= became dark ) .::房间突然变暗了。¦(= night begins ) about ten o’clock.::大约十点钟开始天黑。¦It was still dark (= was night ) when we boarded the train.::我们上火车时天还是黑的。¦It was pitch dark (= completely dark ) in the attic.::阁楼上漆黑一片。	adj::黑暗的，深色的；模糊的；无知的；忧郁的::fuzzy, blue, empty, gloomy¦n::黑暗；夜；黄昏；模糊::night, gloominess	adj::darkish:: 浅黑的，微暗的¦adj::darkling:: 黑暗中的；恐怖的¦adv::darkly:: 黑暗地；模糊地；阴郁地；秘密地¦adv::darkling:: 在黑暗中¦n::darkness:: 黑暗；模糊；无知；阴郁¦n::darky:: 黑人，黑家伙¦v::darkling:: 使暗（darkle的ing形式）¦vi::darken:: 变黑；变得模糊¦vt::darken:: 使变暗；使模糊					
course	kɔrs	kɔːs	n:: 过程； 经过； 路线， 航线； 方针； 课程::a period of time or process during which something happens	of course::一定，当然¦in the course of::在…过程中；在…期间¦course of study::学科；学习的进程；研究课程¦in course::学完正式课程并经过考试；按照一定顺序¦in course of::正在…过程中¦during the course of::在…期间，在…的过程中¦on course::adv. 在规定的过程中；在航线上¦in due course::在适当的时候；及时地；顺次¦golf course::n. 高尔夫球场¦training course::培训班；训练课程；实习课¦undergraduate course::本科课程¦basic course::基础课，基础课程；基本训练¦course of action::做法；行动步骤¦main course::主菜；主要课程；主帆¦off course::不在规定的过程中¦due course::正当行为¦required course::n. 必修课程¦river course::河道¦elective course::选修课¦base course::基层；路面下层；承重层		n::过程；进程；道路；一道菜::path, mechanism, process, way, road¦vt::追赶；跑过::pursue, chase after¦vi::指引航线；快跑::double up	n::coursing:: 追赶；奔驰；携带猎犬狩猎¦v::coursing:: 跑过；追逐；指引航线（course的ing形式）		 “考试”→上课玩， 考试难→课程			
copy	'kɑpi	'kɒpi	v:: 抄写； 复印； 抄袭； 模仿， 仿效::to deliberately make or produce something that is exactly like another thing¦n::复印件，副本；本，份::something that is made to be exactly like another thing	a copy of::一份，一本¦original copy::原本，正本¦hard copy::硬拷贝；复印件¦copy paper::复印纸；拷贝纸¦copy from::vt. 临摹；仿效¦certified copy::经核证的副本¦copy with::应付¦true copy::[经]准确副本¦copy right::版权；复制权¦complimentary copy::(出版社赠送给作者、读者、书评家等的)赠送本¦backup copy::副本；备份件¦copy number::拷贝数，复写数¦file copy::档案复制，拷贝文件；存档原件¦photo copy::图片复印¦carbon copy::复写本，副本¦duplicate copy::副本；复制本¦advance copy::新书样本¦copy protection::复制保护¦master copy::原本；原版拷贝；原版磁带¦copy down::抄下来，记下来	Could you copy this letter and send it out, please?::你能把这封信复印一份发出去吗？¦To copy a file, press F3.::拷贝文件按F3键。	vi::[印刷][计]复制；复印；抄袭::to duplicate, print off¦vt::[印刷][计]复制；复印；抄袭::repeat, lift¦n::[印刷]副本；一册；摹仿::repeat, counterpart	adj::copied:: 复制的；已复制的¦n::copying:: 复制；誊写；仿形切削¦n::copyist:: 抄写员；抄袭者¦v::copied:: 复制，复印（copy的过去分词）¦v::copying:: 复制；抄写（copy的现在分词）					
place	ples	pleɪs	n:: 地方， 地点， 场所； 住所， 寓所； 地位； 资格； 名次， 等级::a space or area, for example a particular point on a surface or in a room, building, town, city etc	in place::适当，适当的；在适当的地方，在恰当的位置¦place in::安排，放置¦take place::发生；举行¦in the first place::首先；起初¦first place::第一名¦in place of::代替¦took place::发生；进行¦take the place of::代替¦takes place::发生；举行；就位¦place on::强加于¦jumping-off place::[美国英语]¦another place::另一个地方¦from place to place::各地，到处¦no place::地址不详；[美口]哪里都不¦second place::第二名，亚军¦take the place::代替¦same place::老地方；同名点¦right place::恰好地点；正当的场所¦all over the place::到处¦out of place::adj. 不合适的；不相称的；不在适当的位置	Make sure you keep the key in a safe place.::一定要把钥匙放在安全的地方。¦I’ve spent the day dashing about from place to place.::我这一天尽是在东奔西跑。¦The place was full of screaming children.::那地方全是大叫大嚷的孩子们。¦He was threatening to burn the place down.::他扬言要把那地方烧毁。¦She had never been back to the place where the accident happened.::她再也没回过事故发生的地点。¦The theatre bar was our usual meeting place.::这个剧院酒吧是我们见面的老地方。¦We were living then in a place called Alberiga.::那时候我们住在一个叫阿尔伯里格的地方。¦The wall was quite damp in places (= in some places ) .::墙上有几处很潮湿。¦Did the accident happen at your place of work (= the place where you work ) ?::事故是在你的工作地点发生的吗？¦The Great Mosque has been a place of worship for Muslims for centuries.::很多世纪以来大清真寺是穆斯林朝拜的地方。	n::地方；住所；座位::district, seat¦vt::放置；任命；寄予::install, constitute, park, name¦vi::名列前茅；取得名次::come to the top	adj::placed:: 名列前茅的¦adj::placeable:: 可被确定位置的；可被确定年代的；可被安置的¦n::placement:: 布置；定位球；人员配置¦n::placer:: 冲积矿；放置者¦v::placed:: 放置（place的过去分词形式）					
regular	'rɛgjəlɚ	'regjələ(r)	adj:: 规则的； 有规律的， 定期的； 整齐的， 匀称的； 正规的， 正式的； 常规的，::happening every hour, every week, every month etc, usually with the same amount of time in between	on a regular basis::定期地；经常地¦regular pattern::正规图样，正常模式¦regular meeting::例会¦regular exercise::常规性的锻炼；经常操练，按时训练¦at regular intervals::每隔一定时间（距离）¦regular season::常规赛；季赛¦regular expression::正则表达式；正规表达式¦regular work::固定工作¦regular practice::习惯做法¦regular price::正常价格¦regular service::定期航行；定期服务；正常业务¦regular customer::常客；老主顾¦regular polygon::正多边形；正多角形¦regular inspection::定期检查¦regular bus::班车¦regular army::正规军；常备军¦regular script::楷书¦regular school::正规学校¦regular staff::正式职工¦regular order::经常订单，定期订单	The company holds regular meetings with employees.::公司定期召集雇员开会。¦His breathing was slow and regular.::他的呼吸缓慢而均匀。¦Trains will run at regular intervals from 11 am to 4 pm.::火车从上午11点到下午4点每隔一定时间开行。¦We hear from him on a regular basis .::我们定期收到他的来信。¦He phones us every Sunday at six, regular as clockwork (= always at the same time ) .::他每逢星期天6点钟打电话给我们，非常准时。¦a regular job::固定的工作	adj::定期的；有规律的；合格的；[植]整齐的::qualified, stated, ordered, straight, periodic¦n::常客；正式队员；中坚分子::familiar, elite¦adv::定期地；经常地::frequently, periodically	adj::regularized:: 正规化的¦adv::regularly:: 定期地；有规律地；整齐地；匀称地¦n::regularity:: 规则性；整齐；正规；匀称¦n::regularization:: 规则化；调整；合法化¦v::regularized:: 正规化（regularize的过去分词）¦vt::regularize:: 调整；使有秩序；使合法化¦vt::regularise:: 使合法化；使有秩序（等于regularize）					
dare	dɛr	deə(r) 	v::敢，敢做::to be brave enough to do something that is risky or that you are afraid to do – used especially in questions or negative sentences	how dare you::你敢；胆子真大啊¦dare to be::敢于做	He wanted to ask her, but he didn’t dare.::他想问她，但又不敢。¦‘I’ll tell Dad.’ ‘You wouldn’t dare!’::“我要告诉爸爸。” “谅你也不敢！”	n::挑战；挑动::challenge, defi¦vi::敢；胆敢::make bold to	adj::daring:: 大胆的，勇敢的¦adv::daringly:: 大胆地；毅然地¦n::daring:: 胆量，勇气¦v::daring:: 敢（dare的现在分词）					
cook	kʊk	kuk	v::烹调，煮，烧::to prepare food for eating by using heat¦n:: 厨师， 炊事员::someone who prepares and cooks food as their job	cook food::做饭¦cook dinner::做饭；做晚饭¦cook up::虚构，伪造¦cook a meal::做饭¦captain cook::库克船长（英国探险家和航海家）¦cook rice::煮饭；做饭¦cook strait::库客海峡（新西兰南岛与北岛之间的水道）¦cook islands::库克群岛¦cook the meals::做饭	Where did you learn to cook?::你在哪里学烹调的？¦Cook the sauce over a low heat for ten minutes.::把这调味汁用低火烧十分钟。¦slices of cooked ham::熟的火腿片¦a cooked breakfast::做好的早餐	n::[劳经]厨师，厨子::chef, kitchener	adj::cooking:: 烹调用的¦n::cooker:: 炊具；烹饪用水果；窜改者¦n::cooking:: 烹饪¦n::cookery:: 烹调术；烹调业¦v::cooking:: 烹调；筹划（cook的ing形式）		 读烹饪书(book)百遍， 厨(cook)艺自现			
sell	sɛl	sel	v:: [sold-sold] 卖， 出售； 推销::to give something to someone in exchange for money	sell oneself::出卖自己；自荐¦sell well::畅销；销路广¦sell out::卖完；卖光¦sell like hot cakes::热销¦sell for::卖，以…的价钱出售¦sell at::以…价格出售¦sell off::廉价出清（存货）¦offer to sell::销货要约¦sell yourself::自我行销；把自己卖出去¦hard sell::n. 强行推销；（美）硬卖¦sell up::为还债而变卖；卖完¦soft sell::（美）软式推销；劝买推销¦sell on credit::[经]赊售；[经]赊销	If you offer him another hundred, I think he’ll sell.::如果你再加一百元钱，我想他会卖的。¦He regrets selling all his old records.::他后悔把所有的老唱片都卖掉了。	vt::销售；推销；出卖；欺骗::promote, find a market¦vi::卖；出售；受欢迎；有销路::bring to market, go to sb for¦n::销售；失望；推销术::marketing, disappointment	adj::sellable:: 适于销售的（等于salable）¦n::seller:: 卖方，售货员¦n::selling:: 销售；出售¦v::selling:: 出售（sell的现在分词形式）					
cool	kul	kuːl	adj::凉的，凉快的；冷静的，从容的；冷淡的::low in temperature, but not cold, often in a way that feels pleasant¦v:: 变凉， 冷却； 失去热::to make something slightly colder, or to become slightly colder	stay cool::保持冷静¦so cool::真酷¦cool down::冷却；平静下来¦cool off::变凉；平静下来¦cool breeze::凉爽的微风¦play it cool::抑制住感情，沉着冷静¦keep cool::保持冷静；保持凉爽；镇定自若¦cool head::冷静的头脑¦cool as a cucumber::十分冷静¦cool color::寒色¦cool hand::n. 冒失鬼¦cool colour::冷色¦blow one's cool::沉不住气	She swam out into the cool water.::她往外游向清凉的水里。¦The evening air was cool.::夜晚的空气很凉爽。¦Relax in the sun with a cool drink.::在阳光下喝杯清凉饮料放松一下。¦the cooler weather of September::九月较凉爽的天气	adj::凉爽的；冷静的；出色的::philosophical, cracking¦vt::使…冷却；使…平静下来::still¦vi::变凉；平息::subside, blow over¦adv::冷静地::calmly, soberly	adv::coolly:: 冷静地；沉着地¦n::cooler:: 冷却器；清凉剂¦n::coolant:: 冷却剂¦n::coolness:: 冷；凉爽；冷静		 愚(fool)公移山， 坚定从容(cool)			
tired	ˈtaɪrd	'taɪəd	adj:: 疲劳的， 累的； 厌倦的， 厌烦的::feeling that you want to sleep or rest	tired of::厌烦¦so tired::好累¦tired out::十分疲劳，非常疲倦¦feel tired::感到疲劳¦get tired::疲倦；累了；变的疲劳；感觉疲惫¦get tired of::厌烦；对…感到厌倦¦got tired::疲倦¦got tired of::厌烦¦sick and tired of::对…十分厌倦¦dead tired::累得要命；筋疲力尽¦be tired from::因…而厌倦；因…而疲劳	He looks tired out (= very tired ) .::他看起来累坏了。¦‘No,’ Frank said in a tired voice.::“不。”弗兰克语带疲倦地说。	adj::疲倦的；厌倦的，厌烦的::worn, harassed	adj::tiresome:: 烦人的，无聊的；令人讨厌的¦adj::tiring:: 累人的；麻烦的；无聊的；引起疲劳的¦adj::tireless:: 不知疲倦的；不疲劳的¦adv::tirelessly:: 不知疲倦地；不屈不挠地¦adv::tiresomely:: 令人厌倦地；累人地¦n::tire:: 轮胎；头饰¦n::tiredness:: 疲劳；疲倦¦v::tiring:: 厌倦；使劳累（tire的ing形式）；感到疲倦¦vi::tire:: 疲劳；厌倦¦vt::tire:: 使…疲倦；使…厌烦		 “太饿的”→饿得慌， 累得很→疲劳的			
suggest	sə'dʒɛst	sə'dʒest	v:: 建议， 提出； 使想起； 暗示::to tell someone your ideas about what they should do, where they should go etc	suggest doing::建议做…	The zoo asked its visitors to suggest a name for the new baby panda.::动物园请游客提建议，给刚出生的大熊猫起一个名字。¦It has been suggested that the manager will resign if any more players are sold.::有人提议，如果再有球员被出售，球队主教练就辞职。	vt::提议，建议；启发；使人想起::vote, advise	adj::suggestive:: 暗示的；提示的；影射的¦adj::suggestible:: 可建议的；耳根软的；易受影响的¦adv::suggestively:: 提示地；引起联想地；暗示地¦n::suggestion:: 建议；示意；微量，细微的迹象					
leaf	lif	liːf	n:: 叶， 叶子； 张， 页； 薄金属片::one of the flat green parts of a plant that are joined to its stem or branches	leaf blade::叶片¦in leaf::有叶子的；叶茂的；长满叶子的¦leaf area::叶面积；叶面¦tobacco leaf::烟叶¦lotus leaf::荷莲叶¦maple leaf::n. 枫叶¦leaf surface::叶面¦tea leaf::茶叶¦leaf spot::[植物病理学]叶斑病¦leaf spring::弹簧片，钢板弹簧¦mulberry leaf::桑叶¦leaf sheath::叶鞘¦gold leaf::n. 金叶；金箔¦leaf margin::叶缘¦red leaf::红叶病；红色的叶子¦leaf base::叶基¦leaf node::叶节点¦door leaf::门扉，门扇¦loquat leaf::枇杷叶，枇杷叶粉末¦leaf through::迅速翻阅	a flowering bush with large shiny leaves::叶子大而油亮的开花灌木	n::叶子；（书籍等的）一张；扇页::foliage¦vi::生叶；翻书页::page	adj::leafy:: 多叶的；叶状的；叶茂盛的¦adj::leafed:: 有叶子的¦adj::leafless:: 无叶的¦adj::leaflike:: 像叶子的；成薄片的¦n::leafage:: （总称）叶子¦v::leafed:: 生叶，翻...的页（leaf的过去式和过去分词形式）					
