abandonment	ə'bændənmənt	əˈbændənmənt	n::放弃::The abandonment of a place, thing, or person is the act of leaving it permanently or for a long time, especially when you should not do so		...memories of her father's complete abandonment of her.::…她父亲对她的彻底抛弃的那些记忆。	n::[法]抛弃；放纵::rejection, loose	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandon:: 狂热；放任¦v::abandoned:: 抛弃（abandon的过去式和过去分词）¦vt::abandon:: 遗弃；放弃					
communication	kə,mjunɪ'keʃən	kəˌmjuːnɪ'keɪʃn	n:: 通讯， 交流， 交际； 通信工具， 交通联系::the process by which people exchange information or express their thoughts and feelings	communication system::通信系统¦communication with::与……交流；与……通讯¦communication technology::通信技术¦mobile communication::移动式通信¦wireless communication::无线通信¦communication network::通讯网络¦communication skill::沟通技巧；传播技能¦data communication::数据通信¦network communication::网络通信，网络传播¦serial communication::[计]串行通信¦communication protocol::[计]通信协议¦information communication::信息交流；信息通信¦communication equipment::通信设备¦international communication::国际交流；国际通信；国际传播¦optical communication::光通信¦cross-cultural communication::跨文化交际¦intercultural communication::跨文化交流；跨文化沟通；国际文化交流¦interpersonal communication::人际沟通；人际传播；人际交流¦digital communication::数位通讯；数位传输¦means of communication::通信手段	Good communication is vital in a large organization.::在大机构里良好的沟通是极为重要的。¦Radio was the pilot’s only means of communication .::无线电是飞行员唯一的通信手段。	n::通讯，[通信]通信；交流::telecommunications, exchange	adj::communicating:: 交流的；通信的¦adj::communicative:: 交际的；爱说话的，健谈的；无隐讳交谈的¦adj::communicant:: 传达消息的¦adj::communicational:: 通信的；通讯的；交往的¦adj::communicatory:: 有关通信的¦n::communicator:: 传播者；发报机；通信员¦n::communicant:: 通知者；报导者；领受圣餐者¦n::communicativeness:: 交流；健谈；通信联络¦v::communicating:: 交流；传播（communicate的现在分词）；传递¦vi::communicate:: 通讯，传达；相通；感染¦vt::communicate:: 传达；感染；显露			...The organizers of the experiment concluded that far fewer students were achieving at high levels on critical thinking than they were doing for written communication or quantitative literacy...::2017.12/CET6/阅读理解/第二套¦...But then most of communication operates without being noticed...::2014.6/CET6/阅读理解/第一套¦...interpersonal communication through the internet is not restricted by space...::2012.6/CET6/写作题/¦...communication through the internet could bring us both convenience and inconvenience...::2012.6/CET6/写作题/¦...and lack communication with people around them...::2012.6/CET6/写作题/¦...intercultural communication has become more and more frequent between Chinese and foreigners...::2010.6/CET6/写作题/¦...It began as a military communication system...::2009.6/CET6/阅读理解/		
chronic	'krɑnɪk	'krɒnɪk	adj:: 慢性的， 久病的； 长久的， 不断的； 积习难改的::a chronic disease or illness is one that continues for a long time and cannot be cured	chronic disease::[医]慢性病¦chronic renal failure::慢性肾功能衰竭；慢性肾衰竭¦chronic bronchitis::慢性支气管炎¦chronic gastritis::慢性胃炎¦chronic cough::慢性咳嗽，久咳（嗽）¦chronic fatigue syndrome::慢性疲劳综合征；慢性疲劳症候群¦chronic atrophic gastritis::[医]慢性萎缩性胃炎¦chronic pharyngitis::[医]慢性咽炎¦chronic stress::慢性压力；慢性应激；长期不断的压力¦chronic pancreatitis::慢性胰炎，慢性胰腺炎¦chronic cervicitis::[医]慢性宫颈炎¦chronic infection::慢性感染；慢性传染¦chronic toxicity::慢性毒性；慢性中毒¦chronic exposure::慢性暴露；持续辐照¦chronic alcoholism::[医]慢性醇中毒¦chronic appendicitis::n. 慢性阑尾炎¦chronic myeloid leukemia::慢性骨髓白血病；慢性粒细胞白血病¦chronic tonsillitis::慢性扁桃体炎¦chronic depression::慢性萧条；[医]慢性抑郁¦chronic renal insufficiency::慢性肾功能不全	chronic arthritis::慢性关节炎¦chronic asthma::慢性哮喘¦chronic heart disease::慢性心脏病	adj::[医]慢性的；长期的；习惯性的::long time, standing, extended	adv::chronically:: 长期地；慢性地；习惯性地		 chron(时间) ＋ ic(…的) → 长时间的 → 慢性的	...and chronic disease management to make sure the seriously ill...::2016.6/CET6/阅读理解/第二套¦...Homes Campaign and its strategy to end chronic homelessness is that...::2014.6/CET6/阅读理解/第三套¦...happy people with little or no sense of meaning in life are found to be similar to those suffering from chronic adversity...::2014.12/CET6/阅读理解/第一套¦...who need chronic care most...::2009.6/CET6/阅读理解/	The old lady has developed a ______ cough which cannot be cured completely in a short time.::3::1)perpetual 2)permanent 3)chronic 4)sustained::句意： 那位老妇人患上了慢性咳嗽， 短期内很难治愈。perpetual： 永久的； permanent： 持久的， 永久的； sustained： 持续不变的， 相同的。	
toxic	'tɑksɪk	'tɒksɪk	adj:: 有毒的， 因中毒引起的::containing poison, or caused by poisonous substances	toxic gas::n. 毒气¦toxic effect::毒性作用；毒效¦highly toxic::剧毒；高毒性的¦toxic chemicals::有毒化学品；有毒化学物质¦toxic waste::有毒废物，毒废料¦toxic substance::有毒物¦toxic reaction::毒性反应；中毒反应¦toxic material::有毒物质¦toxic shock syndrome::中毒性休克综合症¦toxic agent::毒剂；有毒媒介；毒性药物	fumes from a toxic waste dump::有毒废料堆产生的毒气¦a highly toxic pesticide::毒性很强的杀虫剂	adj::[内科][毒物]有毒的；中毒的::poisonous, virous	adj::toxicant:: 有毒的¦adj::toxicologic:: 毒物学的；毒素的¦n::toxicity:: [毒物] 毒性¦n::toxicology:: [毒物] 毒物学，[毒物] 毒理学¦n::toxicant:: 有毒物；[毒物] 毒药¦n::toxicologist:: 毒理学家		 “逃(一)个是(一)个” → 酒里有毒， 快逃 → 有毒的	...They might eat something toxic and damage their health...::2017.6/CET6/阅读理解/第三套¦...car accidents and drowning than from toxic chemical exposure...::2009.6/CET6/阅读理解/¦...dozens of toxic sites across the country have been cleaned up...::2009.12/CET6/听力题/¦...sometimes deadly levels of chemicals and other toxic substances...::2009.12/CET6/听力题/¦...she conducted field research on toxic substances in the environment...::2009.12/CET6/听力题/		
contest	kən'tɛst	'kɒntest	n:: 竞赛， 争夺::a competition or a situation in which two or more people or groups are competing with each other¦vt:: 争夺， 与…竞争； 对…提出质疑， 辩驳::to say formally that you do not accept something or do not agree with it	speech contest::演讲比赛¦contest for::和...对抗（后接物）¦beauty contest::选美比赛¦singing contest::歌唱比赛¦contest with::争夺¦no contest::无赛事；无竞争；不抗辩；无争议¦close contest::势均力敌的竞争(指竞选等)¦enter the contest::加入竞赛；参加比赛¦fishing contest::钓鱼比赛	Stone decided to hold a contest to see who could write the best song.::斯通决定举行一场比赛，看谁能够写出最佳歌曲。¦I only entered the contest for fun.::我只是为了好玩才参加这次比赛的。¦It is clear that the election will be a close contest .::显然这次选举将是一场难分高下的角逐。¦the 1975 Liberal leadership contest::1975年自由党的领导权之争	vt::争辩；提出质疑::argue against, chop logic¦vi::竞争；争辩::cope, rival¦n::竞赛；争夺；争论::competition, match, combat	adj::contestable:: 争论的；可争的¦n::contestant:: 竞争者；争辩者¦n::contestation:: 争论；主张		 con(共同) ＋ test(测试) → 共同测试 → 竞赛	...which culminates in a national game-show-style contest held each May...::2017.6/CET6/阅读理解/第三套¦...Companies have also taken it upon themselves to contest each other's green claims...::2016.6/CET6/阅读理解/第一套¦...Faced with competition and contest for better universities...::2009.12/CET6/写作题/		
author	'ɔθɚ	'ɔːθə	n:: 著作家， 作者::someone who has written a book	original author::原著者¦main author::主要作者¦corresponding author::n. 通讯作者；联系人¦other author::其他作者	Nothomb is a Belgian author.::诺东是位比利时作家。¦It’s clear that the author is a woman.::显然，这位作者是女性。	n::[图情]作者；作家；创始人::writer, pen	n::authorship:: （书等的）原创作者，来源；作者的身份；著述业¦n::authoress:: 女作家，女作者			...The author admits using technology as an escape from the task at hand...::2017.12/CET6/阅读理解/第一套¦...what does the author want to say by mentioning the word"harm"in asimovs laws...::2017.12/CET6/阅读理解/第三套¦...what does the author think about working from anywhere and at anytime...::2017.12/CET6/阅读理解/第三套¦...what does the author say about asimov's robots...::2017.12/CET6/阅读理解/第二套¦...what does the author think of asimovs three laws of robotics...::2017.12/CET6/阅读理解/第二套¦...what does the author want to say by mentioning the word "harm" in asimov's laws...::2017.12/CET6/阅读理解/第二套¦...The author attributes his tech addiction chiefly to his habit of putting off doing what he should 45...::2017.12/CET6/阅读理解/第一套¦...what does the author think of asimov's three laws of robotics...::2017.12/CET6/阅读理解/第三套¦...what does the author say about asimov s robots...::2017.12/CET6/阅读理解/第三套¦...Lead author Liat Tikotzky wrote in an email that the research team also didn't measure fathers' sleep...::2016.6/CET6/听力题/第二套		
lever	'lɛvɚ	'liːvə	n::杠，杠杆；途径，手段，工具::a long thin piece of metal that you use to lift something heavy by putting one end under the object and pushing the other end down¦vt:: 撬动， 撬起::to move something with a lever	release lever::解锁手柄；分离杆¦lever principle::杠杆原理¦brake lever::制动杆¦lever handle::手柄；杠杆手柄；杆式手柄；手柄操纵杆¦hand lever::手柄；手制动杆；柄；手杆¦control lever::控制杆；操纵杆¦lever type::adj. 杠杆式¦shift lever::变速杆¦gear lever::[机]变速杆¦lever arm::杠杆臂；活动臂¦connecting lever::连接棒；连接杆；连接杠杆¦lever rule::杠杆定则（定律）¦valve lever::阀门杆；阀杠杆	Pull this lever to open the gate.::拉此横杆开启大门。	n::[机]杠杆；控制杆::Control arm, heaver	n::leverage:: 手段，影响力；杠杆作用；杠杆效率¦n::leveraging:: 杠杆作用；举债经营¦v::leveraging:: 利用贷款进行投机（leverage的ing形式）		 lev(举起， 变轻) ＋ er → 用来举起东西的工具 → 杠杆	...The levers and light were set up in exactly the same way except that this time it was only Doris who could see the light indicating which lever to press first...::2012.6/CET6/阅读理解/¦...the dolphins were supposed to press the left-hand lever followed by the right-hand one...::2012.6/CET6/阅读理解/		
preserve	prɪ'zɝv	prɪ'zɜːv	vt:: 保护， 维持； 保存， 保藏； 腌制::to save something or someone from being harmed or destroyed	preserve food::保藏食物	We must encourage the planting of new trees and preserve our existing woodlands.::我们必须鼓励栽种新树木，同时也要保护现有的林地。	vt::保存；保护；维持；腌；禁猎::maintain, save, secure, corn, sustain¦n::保护区；禁猎地；加工成的食品::conservation area, conservation district	adj::preservative:: 防腐的；有保存力的；有保护性的¦adj::preservable:: 可保存的；可保管的；能储藏的¦n::preservation:: 保存，保留¦n::preservative:: 防腐剂；预防法；防护层¦n::preserving:: 保留，保存¦n::preserver:: 保护者，保护人；保护剂，防腐剂；储藏柜		 pre(前面) ＋ serve(服务) → 提前提供服务 → 保护， 保藏	...one we ought to take steps to preserve as we would a historic building or a significant work of art...::2014.6/CET6/阅读理解/第三套¦...Only in this way can we preserve a beautiful...::2013.6/CET6/写作题/第二套¦...the issue is how to preserve it as a valued skill in the general population...::2013.6/CET6/阅读理解/第一套¦...Louis sees the project as a way to preserve history as it happens...::2010.6/CET6/阅读理解/¦...We think it happens to help people preserve their beliefs...::2010.6/CET6/阅读理解/		
establish	ɪˈstæblɪʃ	ɪ'stæblɪʃ	vt:: 建立， 设立； 确立； 证实::to start a company, organization, system, etc that is intended to exist or continue for a long time	establish oneself in::在…落户，定居在¦establish as::确立为…；使成为…¦establish a business::创业；设立商店¦unable to establish::不能成立	The city of Boerne was established by German settlers in the 1840s.::博恩市是德国移民于19世纪40年代建立的。¦Our goal is to establish a new research centre in the North.::我们的目标是在北方建立一个新的研究中心。	vt::建立；创办；安置::build, found, constitute, put, station	adj::established:: 确定的；已制定的，已建立的¦n::establishment:: 确立，制定；公司；设施			...That's why we establish or reestablish connection by greeting strangers and friends with a handshake...::2013.6/CET6/阅读理解/第三套¦...But our reporter says it will take days to clear the track and to establish the numbers of the dead and injured...::2009.6/CET6/听力题/		
expansion	ɪk'spænʃən	ɪk'spænʃn	n:: 扩大； 扩充； 扩张； 膨胀::when something increases in size, range, amount etc	thermal expansion::热膨胀¦business expansion::业务扩张，营业扩充；经济高涨¦expansion coefficient::膨胀系数，膨胀率；展开系数¦expansion joint::伸缩缝；补偿器；伸缩接头；膨胀节或缝¦market expansion::市场扩展阶段¦thermal expansion coefficient::热膨胀系数¦expansion project::扩建计划¦series expansion::级数展开¦expansion ratio::[机]膨胀比¦economic expansion::经济扩张¦expansion valve::膨胀阀；安全阀¦linear expansion::长度增加；线性膨胀¦expansion rate::膨胀率；扩充率¦coefficient of thermal expansion::热膨胀系数¦expansion plan::展开图；扩充方案；扩展计划¦volume expansion::体积膨胀；音量扩展¦expansion agent::膨胀剂，发泡剂¦asymptotic expansion::渐近展开¦heat expansion::热膨胀¦taylor expansion::泰勒展开；泰勒展开式	The industry underwent a period of rapid expansion.::该产业经历了一轮快速扩张。	n::膨胀；阐述；扩张物::inflation, exposition	adj::expanded:: 扩充的；展开的¦adj::expansive:: 广阔的；扩张的；豪爽的¦adj::expandable:: 可膨胀的；可张开的¦adj::expansionist:: 扩张主义的¦adj::expansible:: 能扩张的；会膨胀的¦adj::expansile:: 可扩张的；扩大的；膨胀性的¦adv::expansively:: 辽阔地；可扩张地¦n::expanse:: 宽阔；广阔的区域；苍天；膨胀扩张¦n::expansionist:: 领土扩张论者；扩张主义者¦n::expansiveness:: 豪爽；广阔；可膨胀性¦n::expansionism:: 扩张主义；扩张政策；膨胀主义¦n::expansivity:: 扩大性；膨胀系数；可膨胀性¦vi::expand:: 发展；张开，展开¦vt::expand:: 扩张；使膨胀；详述¦vt::expanded:: 扩大（expand的过去式）			...It’s also pushing ahead in 2016 with an expansion of Bluemercury...::2017.6/CET6/阅读理解/第二套¦...an expansion of the first law that allows robots to determine what's in the greater good...::2017.12/CET6/阅读理解/第二套¦...American scientists complain about lack of sufficient money and equipment for their expansion in Antarctica...::2016.12/CET6/阅读理解/第一套¦...Chinese officials say the expansion in Antarctica prioritises scientific research...::2016.12/CET6/阅读理解/第一套¦...The rapid expansion of urban areas will have a huge impact on biodiversity hotspots and on carbon emissions in those urban areas...::2014.12/CET6/阅读理解/第二套¦...improved farming techniques and technologies have helped to significantly increase crop yields along with a 12% expansion of farmed land use...::2013.12/CET6/阅读理解/第三套¦...A further expansion of farming area will adversely impact on the world's natural ecosystems...::2013.12/CET6/阅读理解/第三套¦...With the admission expansion of colleges...::2011.6/CET6/写作题/		
wrench	rɛntʃ	rentʃ	vt::猛拧，猛扭；挣脱；使扭伤::to twist and pull something roughly from the place where it is being held¦n:: 痛苦， 难受； 猛扭， 猛拉； 扳手::especially AmE a metal tool that you use for turning  nut s 	monkey wrench::n. 活动扳手；螺旋钳¦torque wrench::扭力扳手；转矩扳手；定力矩扳手¦pipe wrench::管扳钳；管子钳¦impact wrench::拧紧扳手，套筒板手；冲头¦socket wrench::[机械]套筒扳手	I wrenched the packet from his grasp.::我用力夺过他攥在手里的纸袋。¦The door had been wrenched open.::门被猛地拉开了。	n::扳手，[机]扳钳；扭伤；痛苦；歪曲；猛扭::violence, smart, strain, hurt¦vt::扭伤；猛扭；曲解；折磨::harry, worry, trouble, tear¦vi::扭伤；猛扭；猛绞::rick	n::wrenching:: 苗木铲根；修截苗根¦v::wrenching:: 猛扭；歪曲；抢取（wrench的ing形式）		 “润湿” → 地很湿、 很滑 → 扭伤脚 → 使扭伤			
relevant	'rɛləvənt	'reləvənt	adj:: 有关的， 切题的::directly relating to the subject or problem being discussed or considered	relevant information::相关信息¦relevant data::有关数据¦relevant experience::相关工作经验¦relevant issues::相关问题¦relevant document::相关文件；关联文件¦relevant works::有关工程¦relevant cost::相关成本¦relevant parameter::相应参数；关联参数¦relevant authority::有关当局；监管当局¦relevant character::相关字符；关联字符	Relevant documents were presented in court.::法庭上出示了相关的文件。¦We received all the relevant information.::我们收到了所有相关信息。	adj::有关的；中肯的；有重大作用的::concerned, involved	adv::relevantly:: 贴切地；得要领地		 re(一再) ＋ lev(举) ＋ ant(…的) → 不要一再抬高， 要切题一些 → 切题的	...the relevant authorities should set up favorable regulations to encourage invention...::2016.12/CET6/写作题/第二套¦...moving objects have two characteristics relevant to understanding the dynamics of energy systems: inertia and momentum...::2015.12/CET6/阅读理解/第二套¦...challenge the tenure system—or all of the above—universities are slowly realizing that to stay competitive and relevant they must adapt to a rapidly changing world...::2012.6/CET6/阅读理解/¦...We try to make the experience relevant to individual lives...::2011.6/CET6/阅读理解/		
expand	ɪk'spænd	ɪk'spænd	v:: 扩大， 膨胀::to become larger in size, number, or amount, or to make something become larger	expand market::开拓市场¦expand into::扩大为¦expand domestic demand::扩大内需¦expand on::详述¦expand all::全部展开；显示所有文件；扩展所有的	Water expands as it freezes.::水结冰时会膨胀。¦Sydney’s population expanded rapidly in the 1960s.::20世纪60年代，悉尼的人口迅速增加。¦exercises that expand the chest muscles::扩展胸肌的运动¦his expanding waistline::他那逐渐增大的腰围	vt::扩张；使膨胀；详述::dwell on, enlarge on¦vi::发展；张开，展开::grow, go way	adj::expanded:: 扩充的；展开的¦adj::expansive:: 广阔的；扩张的；豪爽的¦adj::expandable:: 可膨胀的；可张开的¦adj::expansionist:: 扩张主义的¦adj::expansible:: 能扩张的；会膨胀的¦adv::expansively:: 辽阔地；可扩张地¦n::expansion:: 膨胀；阐述；扩张物¦n::expanse:: 宽阔；广阔的区域；苍天；膨胀扩张¦n::expansionist:: 领土扩张论者；扩张主义者¦n::expansiveness:: 豪爽；广阔；可膨胀性¦n::expansionism:: 扩张主义；扩张政策；膨胀主义¦n::expansivity:: 扩大性；膨胀系数；可膨胀性¦vt::expanded:: 扩大（expand的过去式）		 ex(向外) ＋ pand(分散) → 向外分散 → 扩大	...our current smartphone lifestyle will expand to create our own smart home lifestyle too...::2017.12/CET6/阅读理解/第三套¦...world looks to expand modern energy access to the billion or so people without it...::2016.12/CET6/阅读理解/第三套¦...As some countries expand operations in Antarctica...::2016.12/CET6/阅读理解/第一套¦...Nations are also pressing ahead with space research and satellite projects to expand their global navigation abilities...::2016.12/CET6/阅读理解/第一套¦...improve educational opportunities and medical insurance and expand social security...::2014.12/CET6/文本题/第二套¦...But Bowman's supporters argue that Monsanto is trying to expand the scope of patents in ways that would enrich big corporations and hurt small farmers...::2013.12/CET6/阅读理解/第三套¦...The space dreamers end up benefiting all of us-not just because of the way they expand human knowledge...::2013.12/CET6/阅读理解/第一套¦...What does Tracey Weber think is the best way to expand c-textbook sales...::2012.12/CET6/阅读理解/第三套¦...we hope to expand the frontiers of human knowledge...::2011.12/CET6/阅读理解/		
gaze	ɡeɪz	geɪz	n&vi:: 凝视， 盯， 注视::to look at someone or something for a long time, giving it all your attention, often without realizing you are doing so	gaze at::盯住；凝视¦at gaze::◎【纹章学】(鹿或类似鹿的动物)从旁看去似在盯着人看的，侧身正视的¦gaze out::向外注视	Patrick sat gazing into space  (= looking straight in front, not at any particular person or thing ).::帕特里克坐着，茫然地看着前方。	vi::凝视；注视::watch, regard¦n::凝视；注视::regard, immediate attention			 “盖茨” → 比尔·盖茨令世人瞩目 → 注视			
proclaim	prə'klem	prə'kleɪm	vt:: 宣告， 宣布， 声明； 显示::to say publicly or officially that something important is true or exists		The President proclaimed the republic’s independence.::总统宣布共和国独立。	vt::宣告，公布；声明；表明；赞扬::indicate, sound, post, state, publish	n::proclamation:: 公告；宣布；宣告；公布		 pro(在前) ＋ claim(呼喊) → 在前面喊 → 宣告， 声明			
magistrate	'mædʒɪs'tret	'mædʒɪstreɪt	n:: 地方行政官， 地方法官； 治安官::someone, not usually a lawyer, who works as a judge in a local court of law, dealing with less serious crimes		She will face a local magistrate on Tuesday.::她将在星期二面见一位地方治安法官。	n::地方法官；文职官员；治安推事::jurat	n::magistracy:: 地方行政官的职位；地方行政长官¦n::magistrature:: 长官的职位；地方行政长官		 magi(看作magn， 大) ＋ strate(看作state， 州) → 州里的大官 → 地方行政官			
retrieve	rɪ'triv	rɪ'triːv	vi:: 重新得到， 取回， 收回； 挽回， 补救； 检索::to find something and bring it back	retrieve data::检索数据¦beyond retrieve::不可恢复；不可挽回	She bent down to retrieve her earring.::她俯身去捡回耳环。	vt::[计]检索；恢复；重新得到::restore, repair¦n::[计]检索；恢复，取回::recovery, restoration, renewal	adj::retrievable:: 可取回的；可补偿的；可检索的¦n::retrieval:: 检索；恢复；取回；拯救¦n::retriever:: （训练成能寻回猎物的）猎犬；取回的人		 re(重新) ＋ trieve(=find， 找到) → 重新找到 → 挽回	...when the birds forget to retrieve their food--and they do sometimes--a seedling has a chance to grow...::2016.12/CET6/阅读理解/第三套	As we know, computers are used to store and ______ information efficiently.::4::1)reclaim 2)reconcile 3)reassure 4)retrieve::句意： 正如我们所知， 电脑用于高效地储存、 检索信息。reclaim： 收回； 开垦； reconcile： 使和解， 使顺从； reassure： 使安心， 向…再保证。	
survey	ˈsɝˌve; (for v.) sɝˈve	'sɜːveɪ	v:: 俯瞰， 眺望； 全面审视， 调查； 测量， 勘定::to ask a large number of people questions in order to find out their attitudes or opinions¦n::[sə'veɪ]::a set of questions that you ask a large number of people in order to find out about their opinions or behaviour	questionnaire survey::问卷调查¦survey data::测量数据，测量资料¦field survey::n. 实地调查；实地考察¦geological survey::地质调查；地质勘查；地质测量¦market survey::市场调查¦general survey::综合评述；一般检验¦sample survey::抽样检查；先行甸；样品鉴定¦survey method::调查法，鉴定法¦survey report::检验报告¦sampling survey::抽样调查；样本甸¦engineering survey::工程测量¦make a survey::做调查；进行测量，勘察¦seismic survey::地震勘测¦survey result::调查结果¦survey research::调查研究¦detailed survey::详细调查；详细勘测；碎部测量¦brief survey::简短的调查；简单的调查¦geologic survey::地质调查，地质勘探；地质测量；地质调查所¦epidemiological survey::流行病学调查；列病学甸¦land survey::土地测量	Of the 100 companies surveyed, 10% had a turnover of £50 m to £99 m.::被调查的 100 家公司中，10% 的公司营业额在 5,000 万到 9,900 万英镑之间。	n::调查；测量；审视；纵览::investigation, measurement, probe, research¦vt::调查；[测][油气]勘测；俯瞰::examine, check into	n::surveyor:: 测量员；检验员¦n::surveying:: （土地）测量；考察		 sur(下) + vey(道路) → 下基层， 亲自到路上走走 → 调查	...Results of USA WEEKEND'S Teens & Parents survey reveal a generation of young people who get along well with their parents and approve of the way they're being raised...::2016.6/CET6/阅读理解/第一套¦...The survey shows us that today's teens are affectionate...::2016.6/CET6/阅读理解/第一套¦...the same month the survey was taken...::2016.6/CET6/阅读理解/第一套¦...And the survey found flat demand for fitness monitors...::2016.12/CET6/阅读理解/第二套¦...Consumers are becoming increasingly bored with what companies have to offer: A survey...::2016.12/CET6/阅读理解/第二套¦...The household survey has a larger problem...::2015.6/CET6/阅读理解/第三套¦...The payroll survey also doesn't capture the number of self-employed...::2015.6/CET6/阅读理解/第三套¦...The payroll survey can easily double-count someone: if you are one person with two jobs...::2015.6/CET6/阅读理解/第三套¦...Look at any global survey of gender equality and Sweden will be near the top...::2014.6/CET6/阅读理解/第一套¦...who used data from a large national survey of college freshmen to evaluate the effect of single-sex versus coeducational high schools...::2014.12/CET6/阅读理解/第三套		
jeopardize	'dʒɛpɚdaɪz	'dʒepədaɪz	vt:: 危及， 危害::to risk losing or spoiling something important		large-scale military offensives which could jeopardize the UN peace process::可能会破坏联合国和平进程的大规模军事进攻	vt::危害；使陷危地；使受危困::harm, compromise	vt::jeopardise:: 危及（等于jeopardize）；使…受危险		 “皆怕代死” → 危急时刻， 人人皆怕代人受死 → 危及， 危害	...like drifting icebergs that could jeopardize offshore platforms...::2016.12/CET6/阅读理解/第一套¦...Its disappearance would jeopardize the intellectual and emotional development of generations growing up online...::2014.6/CET6/阅读理解/第三套¦...at a time when political and religious nonsense so jeopardize the rule of reason in this allegedly enlightened democracy and around the world...::2014.6/CET6/阅读理解/第一套¦...your teacher could jeopardize a student's chance of getting a scholarship or getting into a top college...::2010.6/CET6/阅读理解/	The disagreement over trade restrictions could seriously ______ relations between the two countries.::2::1)tumble 2)jeopardize 3)manipulate 4)intimidate::句意： 两国在贸易限制上的分歧可能会危及它们之间的关系。 tumble： 跌倒； 弄乱； manipulate： 操作， 处理； intimidate： 胁迫。	
spy	spaɪ	spaɪ	vi::当间谍；暗中监视::If you spy on someone, you watch them secretly¦n::间谍::someone whose job is to find out secret information about another country, organization, or group¦vt:: 看见， 发现::to suddenly see someone or something, especially after searching for them	spy on::暗中监视；侦查¦spy out the land::侦察地形；查看情况¦spy out::秘密监视¦spy plane::间谍飞机¦spy satellite::间谍卫星	That day he spied on her while pretending to work on the shrubs.::那天他假装修剪灌木，却秘密地监视着她。	vt::侦察；发现；暗中监视::detect, scout around¦vi::侦察；[军]当间谍::scout around, keek¦n::[军]间谍；密探::illegal, espionage	n::spying:: 间谍活动；侦探¦n::spymaster:: 间谍组织的首脑¦v::spying:: 从事间谍活动；发现；仔细察看；暗中监视（spy的ing形式）			...No spy agency or criminal organization could actively gather the type of data that we voluntarily post for them...::2014.12/CET6/阅读理解/第二套¦...Social media allows government agencies to spy on their own citizens...::2014.12/CET6/阅读理解/第二套		
displace	dɪs'ples	dɪs'pleɪs	vt:: 取代， 替代； 迫使…离开家园， 使离开原位::to take the place or position of something or someone		Coal has been displaced by natural gas as a major source of energy.::作为一种主要能源，煤的地位已为天然气所取代。¦immigrants who displace US workers in the job market::在就业市场上取代美国工人的移民	vt::取代；置换；转移；把…免职；排水::shift, replace by	n::displacement:: 取代，移位；[船] 排水量		 dis(分离) ＋ place(位置) → 使从位置上离开 → 取代， 替代	...But renewable energy will have to displace fossil fuels to a much greater extent in the future to avoid unacceptable climate risks...::2017.6/CET6/阅读理解/第二套¦...they often displace the wildlife that was already living there...::2014.12/CET6/阅读理解/第二套		
predominant	prɪ'dɑmənənt	prɪ'dɒmɪnənt	adj:: 占主导地位的， 显著的::more powerful, more common, or more easily noticed than others		the predominant group in society::社会中的主导群体¦In this painting, the predominant colour is black.::这幅画的主色调是黑色。	adj::主要的；卓越的；[计]支配的；有力的；有影响的::remarkable, excellent, primary, major, prominent	adv::predominantly:: 主要地；显著地¦n::predominance:: 优势；卓越¦n::predomination:: 优势；卓越；支配¦vi::predominate:: 占主导（或支配）地位；占优势¦vt::predominate:: 支配，主宰；在…中占优势		 pre(前) ＋ dominant(统治的) → 在前面统治的 → 占主导地位的			
recipe	'rɛsəpi	'resəpi	n:: 烹饪法， 食谱； 方法， 秘诀， 诀窍::a set of instructions for cooking a particular type of food	secret recipe::秘方；秘密配方¦recipe for disaster::造成灾难的因素¦formulating of recipe::配方设计¦recipe book::配方书；食谱书	a recipe book::一本烹饪书	n::食谱；[临床]处方；秘诀::secret, tips			 re ＋ cipe(抓) → 为做饭提供抓的要点 → 食谱	...the coca-cola recipe is a closely guarded secret...::2017.12/CET6/阅读理解/第一套¦...Each recipe has a list of ingredients...::2016.6/CET6/听力题/第三套¦...and you've got a recipe for overwork...::2016.12/CET6/阅读理解/第三套¦...rapid deforestation combined with the massive burning of fossil fuels is an explosive recipe for an irreversible disaster...::2015.6/CET6/阅读理解/第一套		
ideology	,aidi'ɔlədʒi, ,idi-	ˌaɪdi'ɒlədʒi	n:: 思想， 思想意识::a set of beliefs on which a political or economic system is based, or which strongly influence the way people behave	political ideology::政治意识形态	the ideologies of fascism and terrorism::法西斯主义和恐怖主义的意识形态¦a new ideology based on individualism::基于个人主义的新思想体系		adj::ideological:: 思想的；意识形态的¦adv::ideologically:: 思想上；意识形态上¦n::ideologue:: 思想家，理论家，空想家¦n::ideologist:: 思想家；理论家		 ideo(看作idea， 思想) ＋ logy(…学) → 思想(体系)	...America has been increasingly clinging to the ideology of uncontrolled free markets and dismissing the role of government---following Ronald Regan’s idea that "government is not the solution to our problem; government is the problem"...::2012.6/CET6/阅读理解/		
