internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师::a job that lasts for a short time, that someone, especially a student, does in order to gain experience	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。	n::实习生；（美）实习期；实习医师职位::trainee, probationer	n::intern:: 实习生，实习医师¦n::interne:: 实习医师¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁					
poise	pɔɪz	pɒɪz	n::平衡；姿势；镇静::If someone has poise, they are calm, dignified, and self-controlled¦v::使平衡；保持姿势::to put or hold something in a carefully balanced position, especially above something else		What amazed him even more than her appearance was her poise.::比她的长相更让他惊讶的是她的沉着镇定。	n::平衡；姿势；镇静::balance, attitude¦vt::使平衡；保持...姿势::balance, equilibrize¦vi::平衡；准备好；悬着::hang, balance of, get ready	adj::poised:: 泰然自若的，镇定的；平衡的，均衡的；摆好姿势不动的，静止的					
poison	'pɔɪzn	'pɒɪz(ə)n	v::污染；使中毒，放毒于；败坏；阻碍::to give someone poison, especially by adding it to their food or drink, in order to harm or kill them¦n::毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂::a substance that can cause death or serious illness if you eat it, drink it etc¦adj::有毒的::	deadly poison::n. 致命毒药¦poison gas::毒气；（尤指用于化学战争中的）毒瓦斯¦rat poison::杀鼠剂，老鼠药；鼠毒¦poison pill::毒药丸（比喻公司为避免被对方兼并而向对方索取极高代价的阻挠措施）¦poison ivy::毒葛；接触毒漆引起的皮疹¦food poison::食物中毒¦blood poison::血毒	She was accused in 1974 of poisoning her second husband, Charles.::1974 年她被控毒死了她的第二任丈夫查尔斯。¦He killed several people by poisoning their tea.::他在茶里下毒杀死了几个人。	vt::污染；使中毒，放毒于；败坏；阻碍::slow, pollute¦n::毒药，[毒物]毒物；酒；有毒害的事物；[助剂]抑制剂::wine, liquor, drink¦adj::有毒的::toxic, virous, venenous	adj::poisonous:: 有毒的；恶毒的；讨厌的¦n::poisoning:: 中毒¦n::poisoner:: 投毒者；毒害者¦v::poisoning:: 毒害（poison的ing形式）					
poisonous	'pɔɪzənəs	'pɒɪzənəs	adj::有毒的；恶毒的；讨厌的::containing poison or producing poison	poisonous gas::毒气；有毒气体¦poisonous substance::有毒物，毒性物质¦poisonous plant::有毒植物	Some mushrooms are extremely poisonous.::一些蘑菇有剧毒。¦poisonous gases such as hydrogen sulfide::硫化氢等有毒气体¦poisonous substances::有毒物质¦She was bitten on the ankle by a poisonous snake .::她被毒蛇咬了脚踝。	adj::有毒的；恶毒的；讨厌的::toxic, evil, rank, vicious, venomous	adj::poison:: 有毒的¦n::poison:: 毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂¦n::poisoning:: 中毒¦n::poisoner:: 投毒者；毒害者¦v::poisoning:: 毒害（poison的ing形式）¦vi::poison:: 放毒，下毒¦vt::poison:: 污染；使中毒，放毒于；败坏；阻碍					
poke	pok	pəʊk	v::刺，捅；戳；伸出；刺探；闲荡::to quickly push your finger or some other pointed object into something or someone¦n::戳；刺；袋子；懒汉::to quickly push your fingers, a stick etc into something or someone	poke fun at::取笑，嘲弄¦poke into::探听；干涉	One of the nurses poked her head around the door.::其中一名护士从门里探出头来。	vi::刺，捅；戳；伸出；刺探；闲荡::moon, run through¦vt::刺，捅；戳；拨开::stick, pink¦n::戳；刺；袋子；懒汉::soldier, spine	n::poker:: 拨火棍；纸牌戏；（用棍）戳的人¦vt::poker:: 烙制					
poker	'pokɚ	'pəʊkə	n::拨火棍；纸牌戏；（用棍）戳的人::a card game that people usually play for money¦vt::烙制::	poker face::一本正经的面容；面无表情的人¦poker room::扑克室（网络扑克游戏网站）	Can you play poker ?::你会玩扑克吗？		n::poke:: 戳；刺；袋子；懒汉¦vi::poke:: 刺，捅；戳；伸出；刺探；闲荡¦vt::poke:: 刺，捅；戳；拨开					
polar	'polɚ	'pəʊlə	adj::极地的；两极的；正好相反的::close to or relating to the North Pole or the South Pole¦n::极面；极线::	polar bear::北极熊¦polar coordinate::极坐标；极座标；极坐标系统¦polar region::极地；近极区域¦polar ice::极地冰¦polar solvent::[化]极性溶剂¦polar fleece::摇粒绒¦polar group::极性基团¦polar body::极体¦polar angle::极角¦polar cap::[地]极地冰冠；[天]火星表面的极冠；高山冰冠¦polar axis::[天]极轴¦polar molecule::极性有极分子	As our climate warms up, the polar ice caps will begin to melt.::随着地球气候逐渐变暖，极地的冰冠将开始融化。	adj::[数]极地的；两极的；正好相反的::dipolar, diametrical	n::polarity:: [物] 极性；两极；对立¦n::polarization:: 极化；偏振；两极分化¦vi::polarize:: 极化；偏振；两极分化¦vt::polarize:: （使）极化；（使）偏振；（使）两极分化¦vt::polarise:: 极化（等于polarize）					
polarity	pə'lærəti	pə(ʊ)'lærɪtɪ	n::[物] 极性；两极；对立::a state in which people, opinions, or ideas are completely different or opposite to each other	reverse polarity::[电子]反极性；逆偏振¦opposite polarity::相反极性¦polarity reversal::反极性；极性变换；极性倒转¦negative polarity::负极性¦polarity effect::极性效应；极化效应¦reversed polarity::反极性	Several people have asked me about the origins of the polarity concept I began exploring last year.::有几个人曾问我有关极性概念的由来，极性概念是我去年开始研究的。	n::[物]极性；两极；对立::antagonism, opponency	adj::polar:: 极地的；两极的；正好相反的¦n::polar:: 极面；极线¦n::polarization:: 极化；偏振；两极分化¦vi::polarize:: 极化；偏振；两极分化¦vt::polarize:: （使）极化；（使）偏振；（使）两极分化¦vt::polarise:: 极化（等于polarize）					
pole	pol	pəʊl	n::杆；极点；电极::a long stick or post usually made of wood or metal, often set upright in the ground to support something¦v::用竿支撑::to push a boat along in the water using a pole	north pole::n. 北极¦south pole::[地]南极，南极地带¦growth pole::增长极；增长点；发展轴心¦magnetic pole::[物]磁极；磁北极¦positive pole::阳极；[物]正极¦pole assignment::极点配置¦pole vault::撑竿跳，撑杆跳高¦bamboo pole::竹枝¦negative pole::n. 阴极，负极¦up the pole::adv. 进退两难¦electric pole::电极；电杆；电力高压线杆¦pole figure::极像图¦shaded pole::罩极，蔽极；屏蔽磁极¦surveyor's pole::测量标杆¦pole plate::极板¦single pole::单极¦totem pole::图腾柱；阶级，等级¦fishing pole::鱼杆，钓竿；钓鱼杆¦telephone pole::电话线杆¦salient pole::凸极	a telephone pole::电话线杆	n::[建]杆；极点；电极::electrode, climax	n::poler:: 辕马；撑船者					
polemic	pə'lɛmɪk	pə'lemɪk	n::争论；辩论者::a written or spoken statement that strongly criticizes or defends a particular idea, opinion, or person¦adj::好争论的::		Before long, the dispute degenerated into fierce polemics.::不久争论就演变为激烈的论战。	n::争论；辩论者::controversy, combat¦adj::好争论的::disputative, litigious	adv::polemically:: 争论地；好争论地¦n::polemicist:: 善辩论者；辩论家¦vi::polemicize:: 参加辩论；发表辩论文					
police	pə'lis	pə'liːs	n::警察，警方；治安::the people who work for an official organization whose job is to catch criminals and make sure that people obey the law¦v::监督；管辖；维持治安；为…配备警察::to keep control over a particular area in order to make sure that laws are obeyed and that people and property are protected, using a police or military force¦adj::警察的；有关警察的::	police station::派出所；警察局；公安局¦police officer::n. 警官；警员¦police force::警察；警察机关¦traffic police::交通警察¦police department::（美）警察局¦police car::警察巡逻车¦police office::警察局¦riot police::防暴警察¦police chief::n. 警察局长¦local police station::当地警察派出所¦go to the police::报案¦state police::（美）州警察¦police power::警察权，治安权；警察部队¦police dog::警犬¦secret police::秘密警察¦security police::秘密警察¦metropolitan police::都市警察¦military police::宪兵；宪兵队¦police state::n. 警察国家；极权国家¦chief of police::警察局长	Police surrounded the courthouse.::警察围在法院大楼四周。	n::警察，警方；治安::pig, copper, bobby, finest¦vt::监督；管辖；维持治安；为…配备警察::oversee, to monitor¦adj::警察的；有关警察的::constabulary	n::policy:: 政策，方针；保险单					
policeman	pə'lismən	pə'liːsmən	n::警察，警员；[分化] 淀帚（橡皮头玻璃搅棒）::A policeman is a man who is a member of the police force	traffic policeman::n. 交通警察		n::警察，警员；[分化]淀帚（橡皮头玻璃搅棒）::pig, copper, bobby, finest						
policewoman	pə'liswʊmən	pə'liːswʊmən	n::女警察；女警官::a female police officer		IS that policewoman short or tall?::那个女警察是矮还是高？¦A policewoman shot at the helicopter.::一名女警察向直升飞机射击。¦In 1984, Libyan gunmen murdered a British policewoman on the streets of London.::1984年，在伦敦的街上，利比亚持枪歹徒杀害了一名英国女警察。							
policy	'pɑləsi	'pɒləsɪ	n::政策，方针；保险单::a way of doing something that has been officially agreed and chosen by a political party, a business, or another organization	monetary policy::货币政策¦economic policy::经济政策¦foreign policy::外交政策¦public policy::国家政策¦national policy::国家政策¦quality policy::质量方针；品质政策¦industrial policy::产业政策；工业政策¦open policy::开放政策；预定保险单；开口保险单¦fiscal policy::财政政策¦insurance policy::保险单，保单¦policy support::政策倾斜，政策支持¦tax policy::税收政策¦trade policy::贸易政策¦policy making::制定政策¦security policy::安全策略，安全政策¦housing policy::房屋政策；住宅政策¦control policy::控制策略¦financial policy::财政政策；金融政策¦basic policy::基本方针¦privacy policy::隐私权政策；隐私策略	an insurance policy::保险单	n::政策，方针；[保险]保险单::deal, programm	adj::police:: 警察的；有关警察的¦n::police:: 警察，警方；治安¦n::policyholder:: 投保人；保险客户¦vt::police:: 监督；管辖；维持治安；为…配备警察					
polio	'polɪo	'pəʊlɪəʊ	n::小儿麻痹症（等于poliomyelitis）；脊髓灰质炎::a serious infectious disease of the nerves in the  spine  , that often results in someone being permanently unable to move particular muscles		Gladys was crippled by polio at the age of 3.::格拉迪丝3岁时因小儿麻痹症而瘸了。	n::小儿麻痹症（等于poliomyelitis）；脊髓灰质炎::infantile paralysis, tephromyelitis						
Polish	'pɑlɪʃ	'pɒlɪʃ	n::磨光，擦亮；上光剂，擦亮剂；优雅，精良::¦v::擦亮，变光滑::¦adj::波兰的::relating to Poland, its people, or its language	nail polish::指甲油，趾甲油¦shoe polish::鞋油¦polish off::草草完成；打败¦polish up::改善；润色；使完美；使醉¦high polish::高度磨光¦spit and polish::n. （陆、海军等）过分注意整洁和闪亮的仪容；对服装过分的擦洗¦wax polish::上光蜡；蜡光剂¦mirror polish::镜面抛光	The Polish clergy use their influence to polonize the people.::波兰的教士们运用他们的影响去使人民波兰化。	n::[机]磨光，擦亮；上光剂，擦亮剂；优雅，精良::grace, buffing¦vt::[机]磨光，使发亮::furbish¦adj::波兰的::Polak	adj::polite:: 有礼貌的，客气的；文雅的；上流的；优雅的¦adj::polished:: 擦亮的；优美的；圆滑的¦n::politeness:: 有礼貌；优雅¦n::polishing:: [机] 抛光；[机] 磨光¦n::polisher:: 磨光器；磨亮的人；[机] 磨光机¦n::politesse:: 优雅；礼貌；（法）客气¦v::polished:: 擦亮（polish的过去式和过去分词）¦v::polishing:: [机] 磨光；擦亮；修正（polish的ing形式）					
politburo	pə'litbjuərəu, 'pɔlit-		n::（共产党中央委员会的）政治局；类似政治局的决策控制机构::the most important decision-making committee of a Communist party or Communist government			n::（共产党中央委员会的）政治局；类似政治局的决策控制机构::Political Bureau	adj::political:: 政治的；党派的¦adv::politically:: 政治上¦n::politician:: 政治家，政客¦vi::politicize:: 参与政治¦vt::politicize:: 使具有政治性					
polite	pə'laɪt	pə'laɪt	adj::有礼貌的，客气的；文雅的；上流的；优雅的::behaving or speaking in a way that is correct for the social situation you are in, and showing that you are careful to consider other people’s needs and feelings	polite society::上流社会；文雅社会	She’s always very polite.::她总是很有礼貌。¦polite, well-behaved children::懂礼貌、守规矩的孩子¦a clear but polite request::明确但客气的请求¦It’s not polite to talk with your mouth full.::满嘴食物时讲话是不礼貌的。	adj::有礼貌的，客气的；文雅的；上流的；优雅的::civil, elegant, gentle, mild, courteous	adj::polish:: 波兰的¦adv::politely:: 有礼貌地；客气地；委婉地；殷勤地¦n::polish:: 磨光，擦亮；上光剂，擦亮剂；优雅，精良¦n::politeness:: 有礼貌；优雅¦vi::polish:: 擦亮，变光滑¦vt::polish:: 磨光，使发亮					
political	pə'lɪtɪkl	pə'lɪtɪk(ə)l	adj::政治的；党派的::Political means relating to the way power is achieved and used in a country or society	political party::政党¦political system::政治制度；政治体系¦political power::政治权力；政治力；政治力量¦political work::政治工作；政治课¦political science::政治学¦political situation::政治局势¦political economy::政治经济学¦political life::政治生活¦political theory::政治学理论¦political philosophy::政治哲学¦political bureau::政治局¦political reform::政治改革，政制改革；变法¦political ideology::政治意识形态¦socialist political civilization::社会主义政治文明建设¦political structure::政治结构¦political economics::政治经济学¦political leader::政治领袖¦political status::政治地位¦political issue::政治问题¦political risk::政治风险	All other political parties there have been completely banned.::那里的其他所有政党都已经完全被取缔了。¦The government is facing another political crisis.::该政府正面临着另一场政治危机。	adj::政治的；党派的::governmental, clannish	adj::politic:: 精明的；有策略的；狡猾的；审慎的¦adv::politically:: 政治上¦n::politics:: 政治，政治学；政治活动；政纲¦n::politician:: 政治家，政客¦n::polity:: 政体；国体；政治组织¦n::politburo:: （共产党中央委员会的）政治局；类似政治局的决策控制机构¦vi::politic:: 拉选票¦vi::politicize:: 参与政治¦vi::politick:: 进行政治活动；谈论政治¦vt::politicize:: 使具有政治性					
politician	,pɑlə'tɪʃən	pɒlɪ'tɪʃ(ə)n	n::政治家，政客::someone who works in politics, especially an elected member of the government		politicians who are trying to get the minority vote::努力争取少数族群选票的政治家¦a British Labour politician::英国工党政治家	n::政治家，政客::statesman	adj::political:: 政治的；党派的¦adv::politically:: 政治上¦n::politics:: 政治，政治学；政治活动；政纲¦n::polity:: 政体；国体；政治组织¦n::politburo:: （共产党中央委员会的）政治局；类似政治局的决策控制机构¦n::politico:: 政客¦vi::politicize:: 参与政治¦vi::politick:: 进行政治活动；谈论政治¦vt::politicize:: 使具有政治性					
politics	'pɑlətɪks	'pɒlɪtɪks	n::政治，政治学；政治活动；政纲::ideas and activities relating to gaining and using power in a country, city etc	international politics::国际政治¦world politics::世界政治；国际政治；世界政治季刊¦power politics::强权政治¦party politics::党派政治¦new politics::新政治（由麦高文、麦卡锡等美国总统候选人提出的强调选民参与的政治）¦identity politics::认同政治，身份政治¦play politics::弄权；搞阴谋诡计¦politics and law committee::政法委	a good understanding of politics in China::对中国政治很好的了解¦modern American politics::现代美国政治¦Politics have always interested Anita.::阿妮塔一直对政治感兴趣。	n::政治，政治学；政治活动；政纲::department of political science	adj::political:: 政治的；党派的¦adv::politically:: 政治上¦n::politician:: 政治家，政客¦n::polity:: 政体；国体；政治组织¦vi::politicize:: 参与政治¦vi::politick:: 进行政治活动；谈论政治¦vt::politicize:: 使具有政治性					
poll	pol	pəʊl	n::投票；民意测验；投票数；投票所::the process of finding out what people think about something by asking many people the same question, or the record of the result¦v::投票；剪短；对…进行民意测验；获得选票::to ask a lot of people the same questions in order to find out what they think about a subject¦adj::无角的；剪过毛的；修过枝的::	opinion poll::民意测验；选举投票¦go to the polls::去投票处投票¦public opinion poll::民意测验¦gallup poll::n. 盖洛普民意测验¦poll tax::人头税¦straw poll::n. 测验民意的投票	A recent poll found that 80% of Californians support the governor.::最近的一项民意调查发现80%的加利福尼亚人支持州长。¦Polls indicate that education is the top issue with voters.::民意调查显示，教育是选民心中的头等大事。¦Labour is ahead in the polls.::工党在民意调查中处于领先地位。¦The latest public opinion poll showed that 25% of us consider ourselves superstitious.::最新的民意调查显示我们中有25%的人认为自己迷信。	n::投票；民意测验；投票数；投票所::vote, referendums¦vt::投票；剪短；对…进行民意测验；获得选票::crop, cast one's vote¦vi::投票::cast one's vote, ballot¦adj::无角的；剪过毛的；修过枝的::hummel, hornless	adj::politic:: 精明的；有策略的；狡猾的；审慎的¦vi::politic:: 拉选票					
pollen	'pɑlən	'pɒlən	vt::传授花粉给::¦n::[植] 花粉::a fine powder produced by flowers, which is carried by the wind or by insects to other flowers of the same type, making them produce seeds	bee pollen::蜂花粉¦pollen tube::n. 花粉管¦pine pollen::松花粉¦pollen grain::花粉粒¦pollen mother cell::花粉母细胞	The problem occurs because plants need to transfer pollen by wind and insect to fertilization and reproduce.::发生这样的问题是因为植物需要通过风和昆虫传递花粉进行受精繁殖。		n::pollinator:: 授花粉器¦n::pollinium:: [植] 花粉块¦n::pollinosis:: 枯草热，花粉病¦vt::pollenate:: 给…授花粉					
pollster	'polstɚ	'pəʊlstə	n::民意测验专家，民意调查人；整理民意测验结果的人::someone who works for a company that prepares and asks questions to find out what people think about a particular subject									
pollutant	pə'lutənt	pə'l(j)uːt(ə)nt	n::污染物::a substance that makes air, water, soil etc dangerously dirty, and is caused by cars, factories etc	pollutant discharge::污染物排放¦pollutant emission::污染物排放；污染发散物¦atmospheric pollutant::大气污染物¦pollutant source::污染源¦chemical pollutant::化学污染物¦persistent pollutant::持久性污染物	a dumping ground for toxic pollutants::有毒污染物堆放场	n::[环境]污染物::contamination, fomite	adj::polluted:: 受污染的；被玷污的¦n::pollution:: 污染¦n::polluter:: 污染者；污染源；污染物质¦v::polluted:: 污染（pollute的过去式和过去分词）¦vt::pollute:: 污染；玷污；败坏					
pollute	pə'lut	pə'luːt	v::污染；玷污；败坏::to make air, water, soil etc dangerously dirty and not suitable for people to use		beaches polluted by raw sewage::受未经处理的污水污染的海滩¦The factory pollutes the air and water.::那家工厂污染了空气和水。	vt::污染；玷污；败坏::cloud, poison	adj::polluted:: 受污染的；被玷污的¦n::pollution:: 污染¦n::pollutant:: 污染物¦n::polluter:: 污染者；污染源；污染物质¦v::polluted:: 污染（pollute的过去式和过去分词）					
pollution	pə'luʃən	pə'luːʃ(ə)n	n::污染::the process of making air, water, soil etc dangerously dirty and not suitable for people to use, or the state of being dangerously dirty	environmental pollution::n. 环境污染¦air pollution::大气污染，空气污染¦water pollution::水污染¦pollution control::污染控制¦environment pollution::[法]环境污染¦pollution source::污染源¦noise pollution::n. 噪音污染¦pollution prevention::污染预防；防止污染¦secondary pollution::二次污染¦reduce pollution::降低污染¦industrial pollution::工业污染¦water pollution control::水污染控制；水污染防治¦atmospheric pollution::大气污染¦soil pollution::土壤污染¦indoor air pollution::空内空气污染¦white pollution::白色污染¦air pollution control::空气污染控制；大气污染控制¦pollution of the environment::环境污染¦pollution index::污染指数¦pollution load::污染负荷；污染度；污染量	California’s tough anti-pollution laws::加利福尼亚州严厉的反污染法	n::[环境]污染::contamination, impureness	adj::polluted:: 受污染的；被玷污的¦n::pollutant:: 污染物¦n::polluter:: 污染者；污染源；污染物质¦v::polluted:: 污染（pollute的过去式和过去分词）¦vt::pollute:: 污染；玷污；败坏					
polo	'polo	'pəʊləʊ	n::马球；水球::a game played between two teams of players who ride on horses and hit a small ball with long-handled wooden hammers	marco polo::n. 马可波罗（意大利旅行家）¦water polo::水球¦polo shirt::球衣；马球衫¦marco polo bridge::卢沟桥	Football or polo?::足球还是水球？¦Having just moved from South Africa, he was storing his polo gear in one of our units.::他刚从南非般到此地， 要将他的马球工具储存在我们的一个单元里。	n::马球；水球::center forward						
polyester	,pɑlɪ'ɛstɚ	,pɒlɪ'estə	n::聚酯::an artificial material used to make cloth	unsaturated polyester::不饱和聚酯¦polyester fiber::n. 聚酯纤维¦polyester resin::[化]聚酯树脂¦unsaturated polyester resin::不饱和聚酯树脂¦polyester film::聚酯薄膜¦polyester fabric::[化]聚酯棉料；聚酯织物¦polyester fibre::涤纶；[化]聚酯纤维¦polyester yarn::涤纶纱；聚酯纱线¦polyester polyol::聚酯多元醇；多元醇聚酯树脂¦polyester putty::聚酯油灰¦polyester pongee::春亚纺	a blue polyester shirt::蓝色涤纶衬衫							
polytechnic	'pɑlə'tɛknɪk	,pɒlɪ'teknɪk	adj::各种工艺的；综合技术的::¦n::工艺学校；理工专科学校::a word used in the names of high schools or colleges in the US, where you can study technical or scientific subjects	polytechnic university::工艺大学¦polytechnic institute::（多科性）工业学院¦polytechnic school::工艺学校；多元技术学校¦polytechnic college::理工学院	Baltimore Polytechnic Institute::巴尔的摩理工学院		adj::polysynthetic:: 多词素综合的；多数综合的					
pompous	'pɑmpəs	'pɒmpəs	adj::自大的；浮夸的；华而不实的；爱炫耀的::someone who is pompous thinks that they are important, and shows this by being very formal and using long words – used to show disapproval		He seems rather pompous.::他看上去相当自负。¦the book’s pompous style::该书浮夸的文风	adj::自大的；浮夸的；华而不实的；爱炫耀的::arrogant, purple	adv::pompously:: 傲慢地；盛大壮观地¦n::pomp:: 盛况；浮华；壮丽；夸耀¦n::pomposity:: 自大；炫耀；浮夸¦n::pompousness:: 豪华；傲慢					
pond	pɑnd	pɒnd	vt::筑成池塘::¦vi::筑成池塘::¦n::池塘::a small area of fresh water that is smaller than a lake, that is either natural or artificially made	lotus pond::荷花池，荷塘；莲花池¦oxidation pond::氧化塘；氧化池¦fish pond::鱼塘，鱼池¦stabilization pond::稳定塘；氧化池，稳定池¦tailing pond::尾矿池¦settling pond::沉淀池¦tailings pond::[矿]尾矿池；尾煤沉淀池¦water pond::水盘	The path descends to  the pond.::小路下斜通到池塘。¦This pond often catches in winter.::这个池塘在冬天常常结冰。¦Wild flowers and grasses rimmed the little pond.::各种野花和野草环绕着这个小池塘。	n::[水文]池塘::tank, mere						
ponder	'pɑndɚ	'pɒndə	v::仔细考虑；衡量::to spend time thinking carefully and seriously about a problem, a difficult question, or something that has happened¦n::(Ponder)人名；(英)庞德::	ponder over::深思，沉思；考虑	He continued to ponder the problem as he walked home.::他一边往家走一边继续思考那个问题。	vt::仔细考虑；衡量::mull over, reflect on¦vi::考虑；沉思::allow, think about, think of	adj::ponderous:: 笨重的；沉闷的；呆板的¦adj::ponderable:: 有重量的；可称量的；有价值的¦n::ponderable:: 值得考虑的事物					
pony	'poni	'pəʊnɪ	n::矮种马；小型马::a small horse¦adj::小型的；每日摘要的::¦v::付清::	pony up::[美俚]付账；交出	My guess is that after years of being the trick pony, he wanted to see what it was like to be the ringmaster.::在我看来，可能是当了这么多年会变戏法的小马之后，他现在很想看看当马戏团主事什么感觉。	adj::小型的；每日摘要的::pocket, miniative¦vt::付清::pay in full, settle up¦vi::付清::pay in full, settle up						
pool	pul	puːl	n::联营；撞球；水塘；共同资金::a small area of still water in a hollow place¦v::联营，合伙经营::	swimming pool::游泳池¦molten pool::熔池¦oil pool::油池¦weld pool::焊池¦indoor swimming pool::室内游泳池¦gene pool::基因库¦talent pool::人才库¦plunge pool::n. 瀑布下的水潭¦indoor pool::室内游泳池；游泳馆¦pool table::（有六个落袋的）台球台；桌球台¦connection pool::[计算机]连接池¦car pool::汽车合伙；汽车合用组织¦patent pool::专利联营；专利权共享互用的一组企业¦dirty pool::[英国俚语]欺诈(或不正当、不道德)行为，欺骗的手法，不公平的竞技¦labor pool::劳动力储备¦data pool::数据库；数据池¦buffer pool::缓冲池；缓冲器组¦resource pool::资源库¦reflecting pool::倒影池¦item pool::题库；项目池	pools of water with tiny fish in them::有小鱼的一个个水池¦Mosquitoes breed in stagnant pools of water.::蚊子在死水塘中繁殖。	n::联营；撞球；水塘；共同资金::billiard ball						
poor	pʊr	pɔː; pʊə	adj::贫穷的；可怜的；贫乏的；卑鄙的::used to show sympathy for someone because they are so unlucky, unhappy etc¦n::(Poor)人名；(英、伊朗)普尔::	poor quality::质量差的；品质低劣的¦poor people::贫民，穷人¦poor man::可怜的人，穷人¦poor performance::表现不佳¦poor health::不健康¦poor boy::切开中间夹肉干酪蔬菜等的大三明治¦poor management::n. 管理不善，治理不善；经营粗放¦poor prognosis::不良预后¦poor condition::状况不好；质量不佳¦poor fellow::可怜的家伙，可怜的人¦poor child::可怜的孩子/小孩¦poor thing::可怜的人，可怜的家伙¦poor efficiency::低效率¦poor student::贫困生；学困生¦poor service::差劲的服务¦poor soil::贫瘠土壤¦in poor health::身体不好；虚弱¦poor appetite::食欲不振¦the poor in spirit::温顺谦和的人¦poor eyesight::视力很差；视力差	Poor kid, he’s had a rough day.::可怜的孩子，今天他真倒霉。¦You poor thing , you’ve had a hard time of it, haven’t you?::可怜的东西，你过得很苦，是不是？	adj::贫穷的；可怜的；贫乏的；卑鄙的::mean, base, dirty	adj::poorly:: 身体不舒服的；心情恶劣的¦adv::poorly:: 贫穷地；贫乏地；不充分地¦n::poorness:: 贫穷；拙劣；缺乏	wealthy				
pop	pɑp	pɒp	abbr::卖点广告（Point of Purchase）::	pop music::流行音乐¦in pop::[俚语]被抵押着，在当铺里¦pop star::歌星；流行歌手¦pop up::v. 突然出现¦pop culture::流行文化；通俗文化；波普文化¦pop singer::流行歌手¦pop out::弹出；瞪出¦pop song::流行歌曲；流行曲¦pop quiz::[美俚]突击测验，突击考试¦pop art::流行艺术，波普艺术，通俗艺术¦pop the question::求婚¦pop in::偶尔来访；突然出现¦listening to pop music::听流行音乐¦pop idol::流行偶像¦soda pop::汽水¦pop down::压栈¦pop concert::流行音乐会；通俗音乐会¦pop off::n. 溢放口		n::流行音乐；汽水；砰然声；枪击::world music, fizzwater¦vi::突然出现；爆开；射击；瞪大；发出爆裂声::crop up, break out in¦vt::取出；开枪打；抛出；突然伸出；突然行动::extract, take of¦adj::流行的；通俗的；热门的::popular, fashionable, going, ruling, epidemic¦adv::突然；砰地::short, amain	adj::popular:: 流行的，通俗的；受欢迎的；大众的；普及的¦adj::popping:: 间歇的；凸出的¦adj::popeyed:: 瞪大眼睛的；（美）（因惊讶而）眼睛突出的¦adv::popularly:: 流行地；通俗地；普及地；大众地¦n::popularity:: 普及，流行；名气；受大众欢迎¦n::popping:: 爆音；突然跳出；爆孔；机器舞¦n::popper:: 服药成瘾者；发出啪声的人或物；爆竹；炮手；爆玉米花机¦n::popularization:: 通俗化，大众化；普及¦n::popularisation:: 普及，普通化（等于popularization）¦n::popularizer:: 大众化的人；普及读物；普及者；使普及的人¦v::popping:: 出现；爆开；敲击；抛出（pop的ing形式）¦vi::popularize:: 通俗化¦vi::popularise:: 推广，普及；使…通俗化（等于popularize）；使…受欢迎¦vt::popularize:: 普及；使通俗化					
popcorn	'pɑpkɔrn	'pɒpkɔːn	n::爆米花，爆玉米花::a kind of corn that swells and bursts open when heated, and is usually eaten warm with salt or sugar as a  snack 			n::爆米花，爆玉米花::puffed rice						
pope	pop	pəʊp	n::教皇，罗马教皇；权威，大师::Thepope is the head of the Roman Catholic Church	pope benedict xvi::教皇本笃十六世（现任天主教教宗）¦alexander pope::亚历山大·蒲柏（英国诗人）	The highlight of the pope's visit will be his message to the people.::教皇访问的亮点是，他将给人们传达训诫。	n::教皇，罗马教皇；权威，大师::authority, artist	adj::popish:: 天主教的；教皇制度的¦n::popery:: 罗马天主教					
poplar	'pɔplə		n::白杨；白杨木::a very tall straight thin tree that grows very fast	white poplar::白杨树	The island, the smallest of the Canadian provinces, is home to a variety of showy fall species: maple, oak, birch, quaking aspen and poplar, each contributing its own hue to the polychrome landscape.::这个岛屿是加拿大最小的省份，有着各式各样艳丽的树种：枫树、橡树、桦树、颤杨和白杨，它们各自为那里的多姿多彩风景提供了自己所独有的色调。	n::[林]白杨；[木]白杨木::alamo						
poppy	'pɑpi	'pɒpɪ	n::罂粟花；罂粟属植物；深红色::a plant that has brightly coloured, usually red, flowers and small black seeds¦adj::罂粟科的::	opium poppy::n. 罂粟¦poppy seed::罂粟籽	We were testing their memory for details; for instance, asking if they had seen a picture of bread topped with sesame or poppy seeds.::我们当时是在测试他们对于细节的记忆力；然后问他们之前看到的那张面包图片是撒有芝麻的还是罂粟籽。¦Bamiyan is one of the few success stories in Afghanistan: it is poppy-free, the government functions well, and as she points out, "It is the safest place in Afghanistan.::巴米扬是阿富汗为数不多的成功的地区之一：罂粟免费，政府运转良好，正向他指出的，“这是阿富汗最安全的地方。¦I am the color of passion and of love, the red rose, the poinsettia and the poppy.::我是激情和爱情的颜色，是红玫瑰、猩猩木和罂粟的颜色。	n::[毒物][植]罂粟花；罂粟属植物；深红色::papaver, coquelicot¦adj::罂粟科的::papaveraceous						
